Region	x_coor	y_coor	z_coor
Amygdala_L	-20	-2	-22
Amygdala_R	20	-2	-23
Dorsal_striatum_L	-12	17	-4
Dorsal_striatum_R	13	17	-5
Fusiform_gyrus_L	-33	-37	-16
Fusiform_gyrus_R	27	-60	-8
Hippocampus_L	-26	-12	-22
Hippocampus_R	25	-11	-23
Insula_L	-36	2	4
Insula_R	38	10	4
Intracalcarine_cortex_L	-8	-79	7
Intracalcarine_cortex_R	5	-78	7
lOFC_L	-21	41	-20
lOFC_R	24	32	-18
mOFC_L	-31	19	-19
mOFC_R	27	16	-17
Oral_somatosensory_cortex_R	-42	-17	53
Oral_somatosensory_cortex_L	40	-20	53
Precuneus_L	-7	-59	26
Precuneus_R	13	-62	28
Ventral_striatum_L	-10	17	7
Ventral_striatum_R	10	16	7
vlPFC_L	-42	46	-1
vlPFC_R	43	48	-6
vlThalamus_L	-14	-20	0
vlThalamus_R	14	-20	0
vmPFC_L	-5	43	-8
vmPFC_R	6	42	-4
