"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R","NA"
"Amygdala_L",1,0.152797361114865,0.0512576641047114,0.0738724419990174,0.139786957586141,-0.0821666438821526,0.000815691114686836,0.242428697995682,0.136027121572572,0.156481199727749,0.032851318132806,0.0165225098221359,0.114702218187508,-0.0303547940465448,0.192094674037982,0.138931156719792,0.0561210725281871,0.0944535377336229,-0.120631206992625,-0.0616579336294846,-0.0710621379463257,0.237471680144417,-0.0976639903756321,-0.0400645012207307,0.0387643095054758,-0.0244513965337639,0.0493075224581255,0.1327164768104
"Amygdala_R",0.152797361114865,1,0.260656176971725,0.207583448467886,0.180283164878457,0.322039791603453,0.589260118426439,0.385413167990516,0.0270647530359549,0.264690275061267,0.414295388343816,0.246966028315983,0.161020439991447,-0.0124190652871381,0.0701758561360857,0.162254639150221,0.115378252153692,0.287266686769221,0.0565854141174355,0.222901961529157,0.0190646795379949,0.276892508383572,0.0683714132564501,0.216016596189431,0.144656412214101,0.168208363390762,0.0713173879768596,0.0880362484519591
"Dorsal_striatum_L",0.0512576641047114,0.260656176971725,1,0.690211333859102,0.363407614639325,0.419492386382399,0.298110382043035,0.244761569435484,0.364055166906558,0.258241731648359,0.279718895503118,0.221153191841851,0.344949677540672,0.379717694193958,0.428767099443024,0.311486023090716,0.553297060205362,0.598450199899528,0.275831166593343,0.0304732121054214,0.321507953285609,0.195408408094429,0.389114801327118,0.168621722913257,0.185539743607339,0.325259689052838,0.354486289711088,0.323706235734137
"Dorsal_striatum_R",0.0738724419990174,0.207583448467886,0.690211333859102,1,0.376253413339241,0.381023440500123,0.258756913131396,0.0761568334197332,0.291940936992379,0.396771558660099,0.36258744269261,0.291499057517333,0.282007321104124,0.211688997802532,0.454673120340397,0.313104902824399,0.364759574712657,0.516269779691236,0.291308697898902,0.201180231823256,0.473461812410125,0.328767311427594,0.476558982281997,0.411085155900745,0.295662584488359,0.327078803656802,0.55892535072381,0.417168595854022
"Fusiform_gyrus_L",0.139786957586141,0.180283164878457,0.363407614639325,0.376253413339241,1,0.492797489063679,0.38124674030258,0.2976315351024,0.254672486564037,0.290099255954748,0.324255035913343,0.218893101517644,0.322901975671544,0.508181057533375,0.408882239591786,0.311309041263031,0.222772758126709,0.279982018425722,0.121479183200957,0.147107445455677,0.211530198711449,0.144610445053698,0.219738225071089,0.197193756048398,0.229311541237154,0.441239964842648,0.118452873243148,0.114625126580695
"Fusiform_gyrus_R",-0.0821666438821526,0.322039791603453,0.419492386382399,0.381023440500123,0.492797489063679,1,0.367832353750023,0.364789797624688,0.351829573575625,0.208909977133011,0.426434765495796,0.454284168419598,0.259248276022342,0.197414900179727,0.35898792167398,0.398074521655989,0.33597834298004,0.442083730254899,0.190507996437809,-0.134736916228105,0.326036959606789,0.289141935507322,0.404015299114039,0.271354981359939,0.176754970195391,0.49399158313203,0.339661318533837,0.287931323795487
"Hippocampus_L",0.000815691114686836,0.589260118426439,0.298110382043035,0.258756913131396,0.38124674030258,0.367832353750023,1,0.327492769380502,0.268748712067737,0.478707204480507,0.48377449178294,0.306437815734628,0.163594849502414,0.134329702808578,0.241192118876094,0.237529433186512,0.173948147759983,0.41324258707046,0.190324485251795,0.318578681423771,0.14148636976929,0.279712232055842,0.214210737950578,0.213508471024394,0.282969745249125,0.529346893168466,0.158599872368159,-0.00506464361390921
"Hippocampus_R",0.242428697995682,0.385413167990516,0.244761569435484,0.0761568334197332,0.2976315351024,0.364789797624688,0.327492769380502,1,0.205153321422453,0.225524584790622,0.317277073609164,0.242734120272349,0.0112646268955975,0.00734631699939191,0.236747303542173,0.364764285039808,0.118609598939681,0.135506141529801,0.0430311030185559,-0.0821275922044972,0.0959021067017149,0.312147542134842,0.139467741570271,0.138418946755656,0.222574720474306,0.230443918635936,0.180595266313024,0.238042301126769
"Insula_L",0.136027121572572,0.0270647530359549,0.364055166906558,0.291940936992379,0.254672486564037,0.351829573575625,0.268748712067737,0.205153321422453,1,0.630754551038021,0.346696455717873,0.139842497319723,0.139020327602497,0.138490447741368,0.29636262820043,0.263329985042915,0.563388384447539,0.510522071525667,0.0208231125898471,-0.0823311363353825,0.22681232724919,0.313387086763842,0.448463776042913,0.384463820276828,0.518674556248825,0.463824853808306,0.28818267618639,0.264938713558533
"Insula_R",0.156481199727749,0.264690275061267,0.258241731648359,0.396771558660099,0.290099255954748,0.208909977133011,0.478707204480507,0.225524584790622,0.630754551038021,1,0.450388988891214,0.105245935789038,0.171301073691845,0.00682032627024378,0.223258482251983,0.204157298699475,0.307975962301505,0.408508629028904,0.0744989708286254,0.269287570225332,0.16914170753132,0.305448671112507,0.220566499134771,0.405054813706803,0.5075442525668,0.496596195301926,0.150283551432803,0.0914444606855973
