"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R","NA"
"Amygdala_L",1,0.294942553833179,0.546440300866801,0.15235090875536,0.430987270488885,0.335431039260709,0.79677713124992,0.503703571238767,0.40441835566153,0.472182728305391,0.447543376328357,0.339461808309917,0.254580823064184,0.383604293214955,0.270034267316313,0.429546962850768,0.419495473716925,0.504095485955286,0.308101732147844,0.674421323706685,0.525706076305475,0.0695730051096383,0.535019196628566,0.111649728334836,0.308983202490093,0.472966357305586,0.516599263371456,0.451335234517727
"Amygdala_R",0.294942553833179,1,-0.018032735076123,-0.0142914246233199,-0.0305784036376701,-0.0880166759242546,0.315728049144133,0.32760764993295,-0.0488329111985796,0.162424415349451,0.0229242273300329,-0.0622419394455511,0.064864236724775,0.13502647712582,-0.225498665178282,-0.188195540143473,-0.00755241892140382,0.0974453766386751,0.153462088041506,0.19225955378417,-0.0950397496801695,-0.289842796783795,0.149059502585633,-0.140214321301887,0.299193962523089,-0.0148314198733977,-0.0977719673359956,-0.0170243300726079
"Dorsal_striatum_L",0.546440300866801,-0.018032735076123,1,0.625374221202474,0.612295966068028,0.271362860044183,0.567487322146434,0.274547873620838,0.697832296799106,0.603789135756577,0.320882639489181,0.438585379228967,0.360749439339495,0.501741720147132,0.534839924614682,0.57094957285807,0.535576984051038,0.772167448295384,0.430812279619656,0.624850539661506,0.423857284462406,0.289915632811252,0.584844160557915,0.215737543720914,0.161803405724752,0.136970824876931,0.885755107945764,0.756751795121725
"Dorsal_striatum_R",0.15235090875536,-0.0142914246233199,0.625374221202474,1,0.348938686434476,0.232901948454631,0.357337712658748,0.19632236083371,0.353067948624835,0.423991715298459,0.262881002967702,0.319483652268001,0.149075460623944,0.291321470373185,0.284915174218175,0.203821331002228,0.371467208299187,0.555707609904778,0.267597951973834,0.402270781631515,0.367455157097143,0.426349038929881,0.310028368311595,0.169690058753831,0.129023177691824,0.0362802102064594,0.649914587885831,0.546772692527715
"Fusiform_gyrus_L",0.430987270488885,-0.0305784036376701,0.612295966068028,0.348938686434476,1,0.476565408759255,0.543347432894653,0.433503640706913,0.602554122999056,0.427439001054747,0.245253179600617,0.434181874130164,0.0842882841581588,0.0971635495024127,0.510709946267827,0.646902862383054,0.260037166432677,0.492910389003684,0.183149354194473,0.37767400605124,0.407584107563531,0.360023364363833,0.417552637659799,-0.0733108274744909,0.108677451626475,0.286790004338735,0.620595261060721,0.552509938250748
"Fusiform_gyrus_R",0.335431039260709,-0.0880166759242546,0.271362860044183,0.232901948454631,0.476565408759255,1,0.465922282413568,0.511920206041969,0.315885122632771,0.330242974332928,0.630020840409484,0.504255336263303,0.266418647752035,0.352295567077977,0.245942302717972,0.343451143779675,0.341997727878613,0.310951304861741,0.311415477351703,0.343488070479015,0.244277890522987,0.355396496283869,0.285241578487866,-0.153942738973183,0.252898876223465,0.458529944482557,0.228729733986284,0.330901364689844
"Hippocampus_L",0.79677713124992,0.315728049144133,0.567487322146434,0.357337712658748,0.543347432894653,0.465922282413568,1,0.645025208808433,0.486590984702281,0.70529286267247,0.693569303399064,0.602160836582951,0.40634385432517,0.498701820451203,0.300887346568949,0.45544615394759,0.571435485715419,0.671661585896806,0.434426832122982,0.753619089014873,0.649937290901674,0.31513878059334,0.727893068145444,0.13379441313503,0.399164626596842,0.491565495821357,0.591178850157955,0.637103183378718
"Hippocampus_R",0.503703571238767,0.32760764993295,0.274547873620838,0.19632236083371,0.433503640706913,0.511920206041969,0.645025208808433,1,0.450348331212261,0.465181098870766,0.505787062822545,0.324345677895839,0.407838168845694,0.490667296573067,0.10875342712012,0.309132518927614,0.453556028230506,0.449124693114048,0.290641726223282,0.47381984382446,0.373187952064443,0.37456292787589,0.516212571693678,-0.211371303253487,0.280150264678939,0.506907147658667,0.334220417985492,0.440898003281206
"Insula_L",0.40441835566153,-0.0488329111985796,0.697832296799106,0.353067948624835,0.602554122999056,0.315885122632771,0.486590984702281,0.450348331212261,1,0.666816370306847,0.38178314984225,0.447802374557474,0.576652791486043,0.593901174719043,0.318403781863416,0.561158502371776,0.398248831594736,0.569734357318851,0.180140453836585,0.473898530204297,0.392628154149067,0.380141301095808,0.676049369618196,0.104858283568101,0.154346006711146,0.348718584899356,0.646070027122264,0.713252201128162
"Insula_R",0.472182728305391,0.162424415349451,0.603789135756577,0.423991715298459,0.427439001054747,0.330242974332928,0.70529286267247,0.465181098870766,0.666816370306847,1,0.642000420330847,0.641861213945786,0.613451586784282,0.770024639285509,0.146238921730444,0.251209353354075,0.585750289869439,0.727485035811278,0.421329885509957,0.653362913074613,0.562467832942427,0.32674879826021,0.727216028439821,0.307009155053669,0.180971242613552,0.339916218891274,0.528885479560852,0.539538585567332
