"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R","NA"
"Amygdala_L",NA,0.0103174531235761,0.00203439482416501,0.000442235159892057,0.554751542971697,0.185099709681141,2.38770583433912e-05,0.0201851566269216,0.0322456955393726,3.11853076695456e-09,0.893052908446339,0.00305942380144342,3.70399930793575e-06,1.33399456063721e-05,0.0554477343177724,0.727880051041917,0.666520302241507,0.00429423340306512,0.297485082075166,0.000854482129662326,6.86092880952671e-06,0.0240048955679906,0.408283997649694,0.219858264849699,4.25171446476469e-05,2.47822220522664e-08,0.211914369189115,0.25065203625726
"Amygdala_R",0.0103174531235761,NA,0.0126318091842981,0.00273074666800066,0.805783242053905,2.39920257869564e-05,1.90545645928353e-09,6.66133814775094e-16,0.257920272668416,0.0161821259148229,0.0198720743840448,9.29877398812007e-05,0.925703189070467,0.0665460685881776,0.0916019335728926,0.000484200035946181,0.0976525504373589,0.770004844956899,0.605626020305734,0.00246400984121875,0.426431504270286,0.400740441061059,0.0100582285219919,0.0112418030076056,0.403619280491255,0.0389858789728363,0.713911478088163,0.000482512533039881
"Dorsal_striatum_L",0.00203439482416501,0.0126318091842981,NA,0,9.84162178419012e-06,0.0312411244717286,0.00169429486063488,0.000579867163402081,2.96504335195458e-06,4.90639751049571e-10,0.00068440630126898,0.0102576628950755,4.97286190004331e-09,3.06471787947515e-07,2.55224275096388e-05,4.11551529859722e-05,4.36367330600707e-05,7.92610421740392e-12,0.0584099902238679,1.97978078375627e-10,1.84052773022358e-12,0.00246667694503611,6.15534290204778e-11,7.08177899548801e-05,5.00970251557931e-05,3.95129577945852e-08,2.7351970022238e-08,0.00143642251437681
"Dorsal_striatum_R",0.000442235159892057,0.00273074666800066,0,NA,0.0618678965992339,0.165539014043649,0.000238269781189127,9.55813470404632e-05,6.91594461130762e-05,5.51117163372083e-06,0.096803530443982,0.00121798442779841,0.00287796212415881,0.00355537829066677,6.28680521774783e-06,0.00475358957631711,0.308203433962149,4.35093521382601e-05,0.762451099652901,0,1.31687396542901e-07,5.36286346441983e-08,0.00220336729353976,0.0927401505023568,0.00938300638011036,0.00014737586095892,0.0427164692402662,0.1083138096251
"Fusiform_gyrus_L",0.554751542971697,0.805783242053905,9.84162178419012e-06,0.0618678965992339,NA,0.00809599934049432,0.578347137050311,0.607762980032083,0.015497471390892,0.0534217500585381,0.0246006350317201,0.110510720003398,1.08317171236827e-05,0.000305112143544006,0.0255784659860294,0.901884158371924,0.0394045639742453,2.30319600635909e-06,0.00740351782252402,0.000864461492658286,2.62541161566432e-06,0.0633946778448449,1.23307858292954e-05,0.0289459448537093,1.61319780511704e-05,7.75131070440693e-11,0.00205851404729951,0.0879706235359079
"Fusiform_gyrus_R",0.185099709681141,2.39920257869564e-05,0.0312411244717286,0.165539014043649,0.00809599934049432,NA,0.171547849465248,0.00177735680727853,0.404894502942392,4.40211615515551e-06,8.56407338334364e-06,8.91601370511808e-09,0.454082265681535,0.95382947323165,0.0147323101025336,0.00177345073610091,0.173861133619344,0.0191241537900328,0.185475861311105,7.64119384346618e-05,0.00372209436553539,0.205318823888564,0.3652330754826,0.0375919320096165,0.326970788626075,0.167256622555076,0.128430815043972,0.274168548890559
"Hippocampus_L",2.38770583433912e-05,1.90545645928353e-09,0.00169429486063488,0.000238269781189127,0.578347137050311,0.171547849465248,NA,9.9475983006414e-14,0.344518161521409,0.0261946207646881,0.000196287270621376,3.46445612642299e-07,0.0570886301320255,0.0115622559364521,0.0045493062690678,0.00702407913691849,0.0196672439282608,0.749603917122111,0.0246477511163077,0.000286548085881577,0.0541410222739398,0.0100448708085668,0.0115576457070441,0.125075931748222,0.699459878401747,0.00045135825313336,0.693151698367217,6.27171386455849e-05
"Hippocampus_R",0.0201851566269216,6.66133814775094e-16,0.000579867163402081,9.55813470404632e-05,0.607762980032083,0.00177735680727853,9.9475983006414e-14,NA,0.589669666518875,0.000659047655800826,3.40201370612192e-05,3.64154603360589e-07,0.34555041228955,0.00913460447638847,6.12442094660715e-05,0.000262975153835665,0.00391195831151547,0.937164734475729,0.391659010680678,0.00030934428624052,0.0223190464610954,0.489213775156313,0.348117587001662,0.359040574070577,0.938278584309633,0.00219603151659786,0.586919922000589,0.0310034126424013
"Insula_L",0.0322456955393726,0.257920272668416,2.96504335195458e-06,6.91594461130762e-05,0.015497471390892,0.404894502942392,0.344518161521409,0.589669666518875,NA,3.14156403113941e-08,0.118237479977938,0.99874800408118,0.00524784364319242,0.0259794644537616,0.00251930948982326,0.567485059028237,8.21565038222616e-14,0,0.292663002671426,3.22463639117476e-05,3.77977409173891e-05,0.185681873799745,3.90798504668055e-14,2.1493917756743e-13,4.77227146689074e-11,1.82475915733171e-05,2.22146077888397e-06,0
"Insula_R",3.11853076695456e-09,0.0161821259148229,4.90639751049571e-10,5.51117163372083e-06,0.0534217500585381,4.40211615515551e-06,0.0261946207646881,0.000659047655800826,3.14156403113941e-08,NA,0.00910943106054063,2.54510881259051e-08,3.48210349443434e-12,4.7670756231355e-12,0.000102968965000283,0.0215478317111184,3.16622599449978e-06,3.06421554796543e-14,0.151376675893869,3.90429007253168e-05,4.0449865679193e-12,0.0224407236971933,3.0664635828348e-06,4.21108689407923e-06,2.20103598769228e-06,1.04551558521848e-08,0.00089478684674793,0.000285786024325496
"Intracalcarine_cortex_L",0.893052908446339,0.0198720743840448,0.00068440630126898,0.096803530443982,0.0246006350317201,8.56407338334364e-06,0.000196287270621376,3.40201370612192e-05,0.118237479977938,0.00910943106054063,NA,1.83742479009652e-08,0.175318535429912,0.528570147732287,0.00602707679232295,4.14835257962487e-05,0.0654015072901779,0.0135506834988726,0.00028886872181344,0.0121447565852819,0.466330941779941,0.593694301898073,0.037230181169295,0.00540977497180961,0.781146465415326,0.0378408665754431,0.0395352140130025,0.178968837579515
"Intracalcarine_cortex_R",0.00305942380144342,9.29877398812007e-05,0.0102576628950755,0.00121798442779841,0.110510720003398,8.91601370511808e-09,3.46445612642299e-07,3.64154603360589e-07,0.99874800408118,2.54510881259051e-08,1.83742479009652e-08,NA,1.30657538366385e-06,8.76056344356613e-07,0.0103982255829829,0.059381090422606,0.366629073572685,0.166841257934582,0.132895927668943,0.0002962946239915,0.0954570314105978,3.68524196172615e-05,0.212818598087561,0.667221725531605,0.435651562474475,0.04494504113453,0.293257658126932,0.0422934271416451
"lOFC_R",3.70399930793575e-06,0.925703189070467,4.97286190004331e-09,0.00287796212415881,1.08317171236827e-05,0.454082265681535,0.0570886301320255,0.34555041228955,0.00524784364319242,3.48210349443434e-12,0.175318535429912,1.30657538366385e-06,NA,0,0.965072469105341,0.775224631068453,0.00927070242649197,8.04496696105161e-06,0.0879916927157196,0.000470190455822639,2.67470694481631e-08,7.58307114878676e-08,1.02560804782215e-06,0.000400516935472606,0.00026106058202191,1.08213766836229e-08,3.08696108408668e-06,0.0467196808076564
"mOFC_L",1.33399456063721e-05,0.0665460685881776,3.06471787947515e-07,0.00355537829066677,0.000305112143544006,0.95382947323165,0.0115622559364521,0.00913460447638847,0.0259794644537616,4.7670756231355e-12,0.528570147732287,8.76056344356613e-07,0,NA,0.0671711150739118,0.414274504403154,0.0163072655571144,4.56138922744209e-06,0.166239923697652,0.199639404036736,7.10141123683172e-09,0.0304821453444206,0.00540794228976749,0.657355484946555,7.89159204650502e-08,1.74420700105316e-10,0.566289887102938,0.803955447546416
"mOFC_R",0.0554477343177724,0.0916019335728926,2.55224275096388e-05,6.28680521774783e-06,0.0255784659860294,0.0147323101025336,0.0045493062690678,6.12442094660715e-05,0.00251930948982326,0.000102968965000283,0.00602707679232295,0.0103982255829829,0.965072469105341,0.0671711150739118,NA,1.5774848094452e-10,0.0146746350399665,0.00110928146138889,0.000960440595967782,0.0276880460945388,0.00113569961494431,0.100848897418104,0.00630879874066514,0.0456710237634181,0.259333284301315,0.173752714721554,0.604138984008019,0.286134058157082
"Oral_somatosensory_cortex_L",0.727880051041917,0.000484200035946181,4.11551529859722e-05,0.00475358957631711,0.901884158371924,0.00177345073610091,0.00702407913691849,0.000262975153835665,0.567485059028237,0.0215478317111184,4.14835257962487e-05,0.059381090422606,0.775224631068453,0.414274504403154,1.5774848094452e-10,NA,0.072218719038444,0.00197586751559919,0.494085218767557,0.00802720454759065,0.0673337352201371,0.0677471613291249,0.167343892878751,0.659800154867517,0.807344016160953,0.0858239800214124,0.426622908064584,0.186058926376765
"Oral_somatosensory_cortex_R",0.666520302241507,0.0976525504373589,4.36367330600707e-05,0.308203433962149,0.0394045639742453,0.173861133619344,0.0196672439282608,0.00391195831151547,8.21565038222616e-14,3.16622599449978e-06,0.0654015072901779,0.366629073572685,0.00927070242649197,0.0163072655571144,0.0146746350399665,0.072218719038444,NA,0,0.14164825327172,0.186889593848277,0.033669574267581,0.581434928603155,0,7.19424519957101e-14,1.66817720836931e-06,0.0199898540093515,0.000113488200894629,8.06998912139534e-12
