"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R","NA"
"Amygdala_L",NA,0.00157408553817606,0.0814059321682064,0.0161936636707083,0.00313007662019116,0.161689976551867,6.72439331128594e-05,0.000288182349823973,0.00108793420571685,0.827054542201008,0.572756039410803,0.0528917218792682,0.397944604688314,0.754372697918864,0.964911053259359,0.0492911558927287,0.0738390897865024,0.818721457459617,0.339780406578511,0.0892507579456332,0.634541081971122,0.242298755729626,0.876514664766257,0.651066913920435,0.68902753425352,0.41574999597545,0.194484129317557,0.00323149548193236
"Amygdala_R",0.00157408553817606,NA,0.0800790733951842,0.0588478904537246,0.00205096636515556,0.507547526149219,2.72776616774273e-05,0.00018022371801063,0.000528044153076834,0.295291475839822,0.266798987815295,0.0536466003898879,0.521219491763126,0.285415957030734,0.0969846767601237,0.217668222383063,0.0217271364265152,0.977379841904667,0.010358450258722,0.000272268116263241,0.0263289355338481,3.18761403010903e-05,0.805559615778006,0.621504407563269,0.999652758190527,0.175995363176434,0.472332325902923,0.122680359165176
"Dorsal_striatum_L",0.0814059321682064,0.0800790733951842,NA,4.21512436035165e-05,0.969834399344914,0.0553320831956321,0.00515987125005246,0.0144112361844211,1.78495297120662e-06,0.0254336183485053,0.0812537840852152,0.708677387729457,0.00128121809465997,0.867237396469767,0.706036524783881,0.0147746485614464,5.02260497592388e-06,0.00746185022598667,0.00111255778015629,0.000105148012456979,0.13898334996128,9.42641565981894e-05,0.0350027613394062,0.0325288509412465,0.000560099406152759,0.0015562613893696,0.113744682381204,0.000121907168470603
"Dorsal_striatum_R",0.0161936636707083,0.0588478904537246,4.21512436035165e-05,NA,0.204824846821862,0.129267742859697,1.29863864106738e-07,6.88112641955563e-06,1.36810823114786e-07,0.113336477234843,0.00377859867501629,0.711734502428459,0.402292896901631,0.0500990302521638,0.0913868837207832,0.0291117577853481,2.30956567648377e-07,0.00260706519476472,0.0138350862016967,5.9400364627038e-09,0.0591905509565644,0.00342869272845503,0.0303353981651084,0.652166281075429,0.000576855868170023,0.00216310532960762,8.48237354356129e-06,0.0943023478618852
"Fusiform_gyrus_L",0.00313007662019116,0.00205096636515556,0.969834399344914,0.204824846821862,NA,0.10934868815842,0.00174627682526629,0.000604175900230874,0.0540831958892141,0.0326708632129469,0.211485648073768,0.0283515199183406,0.332349519326749,0.946196041634049,0.146844622136393,0.00639424685462409,0.00450422061778966,0.203968041474815,0.40417620654139,0.3518547633711,0.109902022937139,0.334048127178725,0.302281677305914,0.252726442194336,0.670055168144439,0.304664557795288,0.190570356643212,0.703733676730694
"Fusiform_gyrus_R",0.161689976551867,0.507547526149219,0.0553320831956321,0.129267742859697,0.10934868815842,NA,0.543482976214107,0.0364104916334012,0.0781162327369518,0.363987066969169,1.04027810077234e-05,0.00133056401223053,0.258260674439297,0.430386795331769,0.0676655803833337,0.000150822839460441,0.276183951012289,0.00250416248969865,0.0627016026028486,0.00122614865674242,0.0608017494465685,0.788362642554196,0.530657667326897,0.404876453582585,0.333429092712659,0.562953149561761,0.061503440073134,0.778693086450154
"Hippocampus_L",6.72439331128594e-05,2.72776616774273e-05,0.00515987125005246,1.29863864106738e-07,0.00174627682526629,0.543482976214107,NA,1.09930765779254e-06,1.00711977124579e-05,0.59572312111827,0.690158434066435,0.550369558287262,0.253205319946311,0.354791170978918,0.504812565380372,0.0044819800147966,7.75355688253931e-06,0.271622063614489,0.163785620571965,4.98747565771396e-05,0.0866750584488267,0.00282716633482627,0.48984905957676,0.759379219621413,0.00548282298286695,0.0114565698013813,0.00440644019407532,0.00249497215564287
"Hippocampus_R",0.000288182349823973,0.00018022371801063,0.0144112361844211,6.88112641955563e-06,0.000604175900230874,0.0364104916334012,1.09930765779254e-06,NA,0.000509857462078767,0.892094612792708,0.0116930896836909,0.583180959743144,0.178156827455482,0.11961022952206,0.845268913069419,0.075575411340854,4.10982150236272e-05,0.000286615506220667,0.20512826647949,6.84377887694154e-10,0.000597889866237544,2.8120980204438e-06,0.32409311065585,0.171667668809427,0.40905198990818,0.0316526305216356,0.0259170088671079,0.022589269572818
"Insula_L",0.00108793420571685,0.000528044153076834,1.78495297120662e-06,1.36810823114786e-07,0.0540831958892141,0.0781162327369518,1.00711977124579e-05,0.000509857462078767,NA,0.00223652312158706,0.162310314382014,0.894186681287642,0.779731829224005,0.409768276747069,0.357604415841688,0.00863361756928027,3.57087232272235e-06,0.852548076306098,5.17843917302585e-06,8.76535393321554e-05,0.782491557863669,0.0169219097372686,6.70543869540907e-07,0.00339569365410952,5.64694111826469e-05,2.10160830960149e-08,0.0126643730235982,0.0100365668181075
"Insula_R",0.827054542201008,0.295291475839822,0.0254336183485053,0.113336477234843,0.0326708632129469,0.363987066969169,0.59572312111827,0.892094612792708,0.00223652312158706,NA,0.61956628494486,0.836850676952669,0.963832859497362,0.0968861604902613,0.475528801150568,0.984753809740055,0.615670846869818,0.0438575655247331,0.0449950094551848,0.831046381994046,0.0901056602771511,0.871254094572626,0.00505519119817421,0.082328429262351,0.000234733341570204,6.12657724552435e-09,0.0217454511718473,0.0326141270635005
