"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"Amygdala_L",1,0.596245047398184,0.328853574721956,0.109867820897664,0.312953566364812,0.179796047947039,0.385507625123276,0.493661340671086,0.519390752751196,0.134414101408973,0.284044664721736,0.286487241914278,0.284767483068149,-0.0590520234341994,0.0544740439439717,0.00079712144969949,0.265227843518893,0.475481157390431,0.189707465074935,0.375477364672821,0.358781493221896,0.215546691771709,0.174556683160072,0.464306906497064,0.421918148233725,-0.0326555079691023,0.119171005485444
"Amygdala_R",0.596245047398184,1,0.337424438755775,0.397991464019662,0.361667478034087,0.189149798328495,0.351171982403178,0.589138759431688,0.552614938357901,0.426627460580786,0.268815118568978,0.247152386241716,0.247952441142175,0.0803935725123665,0.057462766959367,0.133062984947769,0.157995909870137,0.496422555939691,0.315975401910335,0.231314590569542,0.296091811752286,-0.101961597956401,0.142283208066084,0.555480716294753,0.40785405377807,-0.136749821446561,0.298071447558604
"Dorsal_striatum_L",0.328853574721956,0.337424438755775,1,0.680356633454695,0.546208488938075,0.405561860830399,0.407873472953709,0.447020188824442,0.34845313575667,0.704881282377282,0.464694445520724,0.599908149261736,0.739482384556134,0.582680298861479,0.218173587058274,0.04352080513895,0.622184709698484,0.713525144522709,0.554880952456267,-0.062741700417397,0.0335930821169217,0.231162133407286,0.664700031767077,0.304811397294764,0.387381313204353,0.237931050137747,0.331714231547917
"Dorsal_striatum_R",0.109867820897664,0.397991464019662,0.680356633454695,1,0.387841004031346,0.422190029480114,0.35401704625446,0.378364923289931,0.323266529113251,0.654698546003871,0.404267472192488,0.45076494607869,0.56272443772458,0.536255454088668,0.0838862823344363,0.0226446357610299,0.41364110753609,0.547012131158638,0.482008393346944,-0.23371157442274,0.0430857819040138,0.0647346841404371,0.493603563949971,0.282245597747107,0.259514128008445,0.242979499710112,0.51783589681407
"Fusiform_gyrus_L",0.312953566364812,0.361667478034087,0.546208488938075,0.387841004031346,1,0.503578727031989,0.409338418266775,0.635142559489029,0.257173792016133,0.454415132636684,0.482210420698291,0.371687053561453,0.60957865063801,0.332005413199769,0.256925796273408,0.336038050645692,0.35765983761644,0.457998230127505,0.382111817846705,0.178357439930696,-0.0336488305172934,-0.00529474923845491,0.397143292602356,0.332575871625434,0.235743199995125,0.103729520391354,0.240490639946392
"Fusiform_gyrus_R",0.179796047947039,0.189149798328495,0.405561860830399,0.422190029480114,0.503578727031989,1,0.322264601581485,0.439060136097257,0.110708872634141,0.4344724764092,0.457417006937162,0.44897891729204,0.4289247460633,0.243710136650247,0.303789488917497,0.243836034384316,0.284525374778783,0.313439782105603,0.408733503247677,0.144445901558697,0.137176221474122,-0.100656687667219,0.425113292475413,0.107899663215687,0.102177483745536,0.17925162973791,0.129863955634983
"Hippocampus_L",0.385507625123276,0.351171982403178,0.407873472953709,0.35401704625446,0.409338418266775,0.322264601581485,1,0.609255136967795,0.314707385658351,0.244796102826897,0.319421134775337,0.372690016832063,0.321605852672466,0.0607402503361599,0.223967084140555,0.31321286136493,0.315947515959915,0.466557961855929,0.433902146898388,0.140224695096804,0.207288651946786,-0.0392780817811052,0.187249778436127,0.237424537284283,0.259521749323964,0.0553637198554472,0.254995641822737
"Hippocampus_R",0.493661340671086,0.589138759431688,0.447020188824442,0.378364923289931,0.635142559489029,0.439060136097257,0.609255136967795,1,0.257218028451363,0.347423982291119,0.49287529801688,0.509439249142512,0.551649419638386,0.185923085526428,0.181509371571365,0.18887221924536,0.42122815468125,0.510322293435785,0.443291986204421,0.226373408361685,0.0754327255863977,0.0599953942469789,0.346953765661969,0.435033837766414,0.442417444177154,0.0317506176895494,0.288044809432195
"Insula_L",0.519390752751196,0.552614938357901,0.34845313575667,0.323266529113251,0.257173792016133,0.110708872634141,0.314707385658351,0.257218028451363,1,0.558266808954984,0.274693337876679,0.218994634682723,0.223993370923495,0.0311784520338561,0.167478100531007,0.131817273544846,0.295476181108104,0.58046239332617,0.146676885292586,-0.0567823499058228,0.322571218207098,0.104768936654574,0.13640405233087,0.363645977992491,0.445499322942889,-0.00747583317987141,0.22679947233348
"Insula_R",0.134414101408973,0.426627460580786,0.704881282377282,0.654698546003871,0.454415132636684,0.4344724764092,0.244796102826897,0.347423982291119,0.558266808954984,1,0.381686858213731,0.511416878002709,0.575834928317765,0.54355691775699,0.191898581460559,0.123113718792738,0.445888461759312,0.528527126175149,0.441581396807745,-0.253773115324611,0.00945098933732097,-0.0549764629504022,0.416417624463015,0.304793808535822,0.324130995762538,0.00673978019845976,0.197753410755753
"Intracalcarine_cortex_L",0.284044664721736,0.268815118568978,0.464694445520724,0.404267472192488,0.482210420698291,0.457417006937162,0.319421134775337,0.49287529801688,0.274693337876679,0.381686858213731,1,0.801870771688241,0.731336427296345,0.320123587463556,0.382832345631921,0.356932190448584,0.472363727798174,0.486852194633287,0.396178912542415,0.15624872964542,0.104464344672152,0.151947342773383,0.518025045505449,0.301785369393514,0.398657602240696,0.298962967760185,0.284289195296071
"Intracalcarine_cortex_R",0.286487241914278,0.247152386241716,0.599908149261736,0.45076494607869,0.371687053561453,0.44897891729204,0.372690016832063,0.509439249142512,0.218994634682723,0.511416878002709,0.801870771688241,1,0.702331159207229,0.396496550067426,0.384401483026504,0.218606377062053,0.513360494721423,0.526760850985097,0.507004723293739,0.00140091187887786,0.0584030772531847,0.132481754326825,0.531000631332505,0.333296688372129,0.420968297459342,0.234750113890696,0.289504269557484
"lOFC_R",0.284767483068149,0.247952441142175,0.739482384556134,0.56272443772458,0.60957865063801,0.4289247460633,0.321605852672466,0.551649419638386,0.223993370923495,0.575834928317765,0.731336427296345,0.702331159207229,1,0.637263069367634,0.282219344618995,0.178331381204842,0.608612199938208,0.550529716791861,0.495850869908864,0.0252762428234652,-0.14560853560631,0.326430121415109,0.680938064866903,0.275516820518458,0.456085242131548,0.207830176906849,0.25432025642346
"mOFC_L",-0.0590520234341994,0.0803935725123665,0.582680298861479,0.536255454088668,0.332005413199769,0.243710136650247,0.0607402503361599,0.185923085526428,0.0311784520338561,0.54355691775699,0.320123587463556,0.396496550067426,0.637263069367634,1,0.164610286455714,-0.0301465569074583,0.338526328560847,0.339045220677452,0.326412321796118,-0.258794950431549,-0.363964571096876,0.146719667443276,0.641478786872015,0.238713693650731,0.210250190780399,0.0823681363552571,0.199994732201527
"mOFC_R",0.0544740439439717,0.057462766959367,0.218173587058274,0.0838862823344363,0.256925796273408,0.303789488917497,0.223967084140555,0.181509371571365,0.167478100531007,0.191898581460559,0.382832345631921,0.384401483026504,0.282219344618995,0.164610286455714,1,0.721411350045108,0.112869208940977,0.251305467960639,0.456680814505299,0.222339780559648,0.199837116524702,0.131493218271848,0.352257382372834,0.0219992225458492,-0.0414167278217901,0.192176673724756,0.148724587793587
"Oral_somatosensory_cortex_L",0.00079712144969949,0.133062984947769,0.04352080513895,0.0226446357610299,0.336038050645692,0.243836034384316,0.31321286136493,0.18887221924536,0.131817273544846,0.123113718792738,0.356932190448584,0.218606377062053,0.178331381204842,-0.0301465569074583,0.721411350045108,1,0.065224504774122,0.16402010539884,0.361685584340511,0.316339236790916,0.210808358489826,-0.0713363852508968,0.124155069744414,-0.00100628419757701,-0.0929705304880427,0.0986318883513891,0.066582105228674
"Oral_somatosensory_cortex_R",0.265227843518893,0.157995909870137,0.622184709698484,0.41364110753609,0.35765983761644,0.284525374778783,0.315947515959915,0.42122815468125,0.295476181108104,0.445888461759312,0.472363727798174,0.513360494721423,0.608612199938208,0.338526328560847,0.112869208940977,0.065224504774122,1,0.553502423734439,0.255440816789273,-0.0934216691173743,0.0314564880084163,0.550717361327801,0.521815108350795,0.252116431597294,0.460788284024525,0.328408019645394,0.164337355821054
"Precuneus_L",0.475481157390431,0.496422555939691,0.713525144522709,0.547012131158638,0.457998230127505,0.313439782105603,0.466557961855929,0.510322293435785,0.58046239332617,0.528527126175149,0.486852194633287,0.526760850985097,0.550529716791861,0.339045220677452,0.251305467960639,0.16402010539884,0.553502423734439,1,0.429154872953452,0.0580945764884385,0.322590274911303,0.315694345236339,0.555228188602623,0.484935968169147,0.576037849937008,0.197253262382454,0.383520084126498
"Precuneus_R",0.189707465074935,0.315975401910335,0.554880952456267,0.482008393346944,0.382111817846705,0.408733503247677,0.433902146898388,0.443291986204421,0.146676885292586,0.441581396807745,0.396178912542415,0.507004723293739,0.495850869908864,0.326412321796118,0.456680814505299,0.361685584340511,0.255440816789273,0.429154872953452,1,-0.0387064991292279,0.0975767187261166,-0.0518001285786746,0.525280294058072,0.302627297043527,0.244263755841781,0.0736875686668417,0.195218114627304
"Ventral_striatum_L",0.375477364672821,0.231314590569542,-0.062741700417397,-0.23371157442274,0.178357439930696,0.144445901558697,0.140224695096804,0.226373408361685,-0.0567823499058228,-0.253773115324611,0.15624872964542,0.00140091187887786,0.0252762428234652,-0.258794950431549,0.222339780559648,0.316339236790916,-0.0934216691173743,0.0580945764884385,-0.0387064991292279,1,0.252788804067195,0.103467110795727,0.102318195485239,0.154852519741305,-0.147354255837177,0.156132299833466,0.0274551436928718
"Ventral_striatum_R",0.358781493221896,0.296091811752286,0.0335930821169217,0.0430857819040138,-0.0336488305172934,0.137176221474122,0.207288651946786,0.0754327255863977,0.322571218207098,0.00945098933732097,0.104464344672152,0.0584030772531847,-0.14560853560631,-0.363964571096876,0.199837116524702,0.210808358489826,0.0314564880084163,0.322590274911303,0.0975767187261166,0.252788804067195,1,-0.0271283526048411,0.0110670628874332,0.0335000292988076,0.124299813935492,0.0315335835363117,0.269226368833755
"vlPFC_L",0.215546691771709,-0.101961597956401,0.231162133407286,0.0647346841404371,-0.00529474923845491,-0.100656687667219,-0.0392780817811052,0.0599953942469789,0.104768936654574,-0.0549764629504022,0.151947342773383,0.132481754326825,0.326430121415109,0.146719667443276,0.131493218271848,-0.0713363852508968,0.550717361327801,0.315694345236339,-0.0518001285786746,0.103467110795727,-0.0271283526048411,1,0.426332318067706,0.0657560396551633,0.370480650006107,0.428771561816607,0.198338647986218
"vlPFC_R",0.174556683160072,0.142283208066084,0.664700031767077,0.493603563949971,0.397143292602356,0.425113292475413,0.187249778436127,0.346953765661969,0.13640405233087,0.416417624463015,0.518025045505449,0.531000631332505,0.680938064866903,0.641478786872015,0.352257382372834,0.124155069744414,0.521815108350795,0.555228188602623,0.525280294058072,0.102318195485239,0.0110670628874332,0.426332318067706,1,0.232352093725111,0.278780041719021,0.345919660718597,0.311513482116565
"vlThalamus_L",0.464306906497064,0.555480716294753,0.304811397294764,0.282245597747107,0.332575871625434,0.107899663215687,0.237424537284283,0.435033837766414,0.363645977992491,0.304793808535822,0.301785369393514,0.333296688372129,0.275516820518458,0.238713693650731,0.0219992225458492,-0.00100628419757701,0.252116431597294,0.484935968169147,0.302627297043527,0.154852519741305,0.0335000292988076,0.0657560396551633,0.232352093725111,1,0.406815731965116,-0.0590828334932478,0.0327191271821309
"vlThalamus_R",0.421918148233725,0.40785405377807,0.387381313204353,0.259514128008445,0.235743199995125,0.102177483745536,0.259521749323964,0.442417444177154,0.445499322942889,0.324130995762538,0.398657602240696,0.420968297459342,0.456085242131548,0.210250190780399,-0.0414167278217901,-0.0929705304880427,0.460788284024525,0.576037849937008,0.244263755841781,-0.147354255837177,0.124299813935492,0.370480650006107,0.278780041719021,0.406815731965116,1,0.140287821489337,0.246860212749265
