"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"Amygdala_L",NA,0.130131918991715,6.21902233977067e-06,2.58422931009861e-05,5.42708109287915e-05,0.00448836465300584,0.00044597122172263,0.303308866037209,0.000841181060728724,0.000352849942651279,0.0113198492355195,0.00752514286850481,0.0142721045583587,0.0058236068324331,8.7604001297592e-07,1.61388772843551e-05,0.000214457785358668,0.000802619690013273,0.740207178665413,3.17787576387119e-06,0.0036684741884212,0.00012480223514455,0.00818268416458467,1.16440422703867e-06,1.22758104132981e-05,1.41173612466794e-05,0.00081850281993523
"Amygdala_R",0.130131918991715,NA,0.00424952890214847,0.144127636562627,9.71252782229204e-05,4.83438658216429e-07,0.00590842828412219,0.0787841279043648,2.34635327212018e-06,2.4816751972967e-05,0.000122960042953757,0.000177709545838844,0.00512516929601681,0.0115014629842496,7.14641695420681e-05,8.90615651583104e-05,0.00305968677629376,0.000602924125716608,0.301059602632278,0.120560982067966,0.145235747232947,0.312052611319484,0.056455288278431,2.478379371329e-05,5.57553096891539e-06,0.00681292391990729,0.00955384849123986
"Dorsal_striatum_L",6.21902233977067e-06,0.00424952890214847,NA,0.00030470760635315,0.000179719387646937,0.0362237411078463,0.0288831935412746,0.00254208002125056,0.000337541450756484,3.14566896504331e-05,0.0547400401470348,0.0130672750300316,0.0135637401170621,0.0673284906833977,2.17336367946963e-05,3.98281335423079e-06,1.41681060750187e-06,1.64644579356832e-05,0.673962138942676,0.000367710798022447,5.64715286461848e-05,0.144629447268334,0.00772497656373927,3.19566336579591e-05,0.00104930579495743,3.05627517960261e-07,0.000305899222939665
"Dorsal_striatum_R",2.58422931009861e-05,0.144127636562627,0.00030470760635315,NA,0.00101045453297521,0.372532612602262,2.06419961745752e-06,0.711441733874566,1.08905872810983e-05,1.07660547143951e-11,0.0376398058827467,0.0230936349922466,0.0753095949008433,0.00690130578865755,0.0146777659417394,0.0390048767734592,8.44429193236351e-10,1.47730335964269e-07,0.00338014847990431,1.2286540673756e-09,4.46675855314549e-05,0.000271213909860846,4.20224889108312e-07,2.67450741331388e-07,1.46796245159564e-07,4.03699296214199e-11,3.61279894889321e-11
"Fusiform_gyrus_L",5.42708109287915e-05,9.71252782229204e-05,0.000179719387646937,0.00101045453297521,NA,6.34847729941157e-11,9.29833237073296e-08,0.0096954331664687,3.69173145386981e-08,2.79364755773059e-08,3.63284719417933e-06,4.161968547578e-10,0.00513734696262125,5.72688563238444e-10,4.75508521446955e-12,6.9164673988098e-11,0.000680114839471724,0.000418007275341248,0.568477426271555,0.0175324679094577,0.0973126783639038,0.170020619193491,0.0248602444881847,1.6800198623379e-06,5.67164093467909e-11,0.000116118071155302,0.000186253430865424
"Fusiform_gyrus_R",0.00448836465300584,4.83438658216429e-07,0.0362237411078463,0.372532612602262,6.34847729941157e-11,NA,6.45250889790283e-05,0.0181777648911188,5.75574354177988e-07,0.000237302234042946,1.14262981298907e-08,3.1112323739535e-07,0.000524104629425093,5.33730750273964e-05,3.72297748185701e-11,2.74426703583686e-10,0.0323143420529486,0.00428826359452827,0.847383712329345,0.285889219995573,0.462626004456181,0.209909206679576,0.314131658298489,1.88806165413169e-06,4.58531217439884e-08,0.0545570240531563,0.0743803824871103
"Hippocampus_L",0.00044597122172263,0.00590842828412219,0.0288831935412746,2.06419961745752e-06,9.29833237073296e-08,6.45250889790283e-05,NA,0.0314025048461399,2.18874692592408e-07,9.62260138237525e-09,0.000190850308169122,2.3378356333037e-06,0.00717703609542131,3.13153691045009e-06,1.50032520846999e-05,7.93842363697728e-05,0.000758760903014633,0.000111317251028975,0.00300692288217785,0.00403460450724857,0.0959406186588736,0.0144058223138517,0.00072332621905824,7.91583303882959e-06,5.40497868684042e-10,6.78992369440579e-07,4.62908709675247e-05
"Hippocampus_R",0.303308866037209,0.0787841279043648,0.00254208002125056,0.711441733874566,0.0096954331664687,0.0181777648911188,0.0314025048461399,NA,0.00816559401275052,0.154401296103976,0.244256821578823,0.0154052241536309,0.00107031663937951,0.0779813958423607,0.00259848947419106,0.00161018803047419,0.262728191326481,0.013682776051565,0.621908225067775,0.190158109772958,0.00103540615234254,0.921638112252475,0.163592308202021,0.103805436499297,0.10467352984334,0.0100508179691303,0.0391485777262095
"Insula_L",0.000841181060728724,2.34635327212018e-06,0.000337541450756484,1.08905872810983e-05,3.69173145386981e-08,5.75574354177988e-07,2.18874692592408e-07,0.00816559401275052,NA,7.105427357601e-14,6.42376799131483e-06,7.86218046222587e-08,4.2691013537155e-05,0.000214519329062135,3.31757382010522e-07,5.90542497125313e-08,1.06315889425446e-09,3.77475828372553e-15,0.224743676024487,2.87217220047431e-05,6.02285944304448e-05,0.000271578269092299,3.61282884320246e-06,5.55111512312578e-15,1.64313007644523e-14,1.22448653439022e-08,1.5146861542803e-09
"Insula_R",0.000352849942651279,2.4816751972967e-05,3.14566896504331e-05,1.07660547143951e-11,2.79364755773059e-08,0.000237302234042946,9.62260138237525e-09,0.154401296103976,7.105427357601e-14,NA,5.90536877100867e-05,1.92419823497048e-06,0.000214615721861655,5.82610289345808e-06,3.94585628316069e-05,3.79565803001469e-05,3.97903932025656e-13,6.40421049524775e-12,0.00579007211408822,7.61746665522978e-07,0.000392734140367335,0.00032028803499573,1.93486799915377e-08,2.19657625422087e-11,1.27124977211679e-11,5.77315972805081e-15,5.40900657597376e-13
"Intracalcarine_cortex_L",0.0113198492355195,0.000122960042953757,0.0547400401470348,0.0376398058827467,3.63284719417933e-06,1.14262981298907e-08,0.000190850308169122,0.244256821578823,6.42376799131483e-06,5.90536877100867e-05,NA,2.03769667805886e-10,0.0151216588467942,1.65597170678211e-05,4.26107326045866e-06,6.89934271447257e-06,0.00917954734926174,0.0024786602064677,0.868499980362228,0.0931063410137392,0.326405288853834,0.0473278359511422,0.0633715679173399,0.000117994458187276,6.24812106053696e-07,0.0132813417140323,0.00990568118517032
"Intracalcarine_cortex_R",0.00752514286850481,0.000177709545838844,0.0130672750300316,0.0230936349922466,4.161968547578e-10,3.1112323739535e-07,2.3378356333037e-06,0.0154052241536309,7.86218046222587e-08,1.92419823497048e-06,2.03769667805886e-10,NA,0.000739670693816752,6.6306495627444e-08,4.96683467687831e-08,2.55280352412512e-09,0.00159623989616509,9.68096963267495e-05,0.940286306909711,0.176886916019355,0.15991688904456,0.246371331610732,0.0149051831760514,0.000331520350263403,1.73653360788784e-05,0.000150974624684164,0.000287685056968856
"lOFC_R",0.0142721045583587,0.00512516929601681,0.0135637401170621,0.0753095949008433,0.00513734696262125,0.000524104629425093,0.00717703609542131,0.00107031663937951,4.2691013537155e-05,0.000214615721861655,0.0151216588467942,0.000739670693816752,NA,0.000191089649396403,5.13168936624453e-05,7.3438712735463e-06,0.00138197888756464,3.41025883163759e-05,0.139079508407554,0.0884515056519075,0.0950839569106043,0.100530316614745,0.0783409923688763,0.000459760543861432,0.000527260285720033,0.00254199905176411,0.0301617063498312
"mOFC_L",0.0058236068324331,0.0115014629842496,0.0673284906833977,0.00690130578865755,5.72688563238444e-10,5.33730750273964e-05,3.13153691045009e-06,0.0779813958423607,0.000214519329062135,5.82610289345808e-06,1.65597170678211e-05,6.6306495627444e-08,0.000191089649396403,NA,3.80478886796709e-06,3.8059757978548e-06,0.0215752937459313,0.0200359730549353,0.788402504770956,0.0535967786373721,0.343910996732974,0.138203608387983,0.00577533721557977,0.00211744985447737,1.07523461290171e-06,0.00496528755759362,0.013240773545228
"mOFC_R",8.7604001297592e-07,7.14641695420681e-05,2.17336367946963e-05,0.0146777659417394,4.75508521446955e-12,3.72297748185701e-11,1.50032520846999e-05,0.00259848947419106,3.31757382010522e-07,3.94585628316069e-05,4.26107326045866e-06,4.96683467687831e-08,5.13168936624453e-05,3.80478886796709e-06,NA,0,0.0014921077420873,0.000913157194947001,0.963095896417614,0.0315578845942266,0.0280055133112111,0.41850938434502,0.252531774415911,1.26826777302469e-07,9.31993904274009e-09,0.000229185637073748,0.00302371924118217
"Oral_somatosensory_cortex_L",1.61388772843551e-05,8.90615651583104e-05,3.98281335423079e-06,0.0390048767734592,6.9164673988098e-11,2.74426703583686e-10,7.93842363697728e-05,0.00161018803047419,5.90542497125313e-08,3.79565803001469e-05,6.89934271447257e-06,2.55280352412512e-09,7.3438712735463e-06,3.8059757978548e-06,0,NA,9.34290095926382e-05,0.000141121167478886,0.87451088409895,0.0676146069601637,0.103181735114315,0.22511846042255,0.132873675351786,3.60906151186668e-07,6.47861160274488e-08,0.000246092853651625,0.00364604172746574
