"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"Amygdala_L",1,0.229024919794418,-0.025371995268173,-0.156977253478068,0.0740433987279529,0.0471736515921463,-0.0361887338591345,-0.0614543380235736,0.0440773141321225,0.0103137984010497,-0.267887922270238,-0.153278470898582,-0.235291173653382,-0.0418950877160469,-0.070092746820178,0.0172920898305582,0.0295072253367047,-0.0199224937501423,0.150307310000582,0.0694998071173363,0.250379996252727,-0.418683654401412,-0.268029294682833,0.0432491260193958,0.0536915603844548,-0.201425015901343,-0.0435949032722616
"Amygdala_R",0.229024919794418,1,0.254032446432798,-0.13308371538314,0.0325375598908315,0.135333112347766,0.524014787398321,0.54853715012919,0.334365369314561,0.241739600450627,-0.0493452387733958,-0.129498993213118,0.10197581910426,0.135021229895893,0.214069396845805,0.133503598464111,0.255910803605902,-0.107389401455505,0.0144658701494543,0.159669165658658,-0.00569354916360587,-0.0988554477354547,-0.0158246900235797,0.132675504560842,0.0810356730867836,0.265871850207572,0.241585718364401
"Dorsal_striatum_L",-0.025371995268173,0.254032446432798,1,0.590145728777849,0.00416950159461158,0.285431080818562,0.262387866033812,0.118209865696622,0.311011484301782,0.204843404163766,0.252807354243287,0.285770407856236,0.272386085795657,0.327326250197483,0.153577622065455,0.130488528289388,0.618918770939479,0.488458092894393,0.213076094535361,0.261237325640739,-0.0389776839183155,0.244271935511435,0.190867748006443,0.211187521625833,0.00667347080549167,0.229858082513651,0.300760775035512
"Dorsal_striatum_R",-0.156977253478068,-0.13308371538314,0.590145728777849,1,-0.0362440469176149,0.161798936284672,-0.026219231488599,-0.136896204024948,-0.0565868831062161,0.202477441361384,0.0818526900763987,0.238092251060244,0.289964609739285,0.195228370283534,0.0338555846157405,-0.0243956507750482,0.423376172539107,0.501038530162145,0.0200464925940348,-0.0828045603910638,-0.00613070596875146,0.211485670433272,0.128338900837375,0.335449846138239,-0.160335984220915,0.0585046155989635,-0.0622169915528156
"Fusiform_gyrus_L",0.0740433987279529,0.0325375598908315,0.00416950159461158,-0.0362440469176149,1,0.156546230027733,0.350692786590678,0.37438718735046,-0.05454906698584,-0.0665352192528167,0.275585993408583,0.153830260383038,0.296194003552523,0.036106269374855,0.473757622373341,0.117992848402627,0.0801641957610498,0.0835746757821762,0.109864793603381,0.136644703369048,-0.0645191838782249,0.128868970517436,-0.0556573960118682,-0.11189839322775,0.364243988321396,0.227578548357241,0.0991130847652286
"Fusiform_gyrus_R",0.0471736515921463,0.135333112347766,0.285431080818562,0.161798936284672,0.156546230027733,1,0.0411715749434539,0.0759077540984595,0.270554247434065,-0.114965416633572,0.339533022249659,0.40119121479286,0.288758476837952,0.231529629283061,0.363921393572944,0.0457604020055148,0.0671595835025409,0.0396185429483206,0.0173257132917906,0.282542938624155,0.197511076310759,-0.0831443650799978,-0.0163386018887885,-0.312945372760892,0.135963437115887,0.17171598980113,0.0933560096475572
"Hippocampus_L",-0.0361887338591345,0.524014787398321,0.262387866033812,-0.026219231488599,0.350692786590678,0.0411715749434539,1,0.85562426775684,0.192807710936317,0.360602835735456,0.236837294419229,0.197819795192856,0.291242999707058,0.316313767369999,0.304041066867324,0.0853322749279583,0.295038981764643,0.087456785835881,0.283427835478498,0.389424419469832,0.0498364442542736,0.326991509079993,-0.0619274537726662,0.195960136562803,0.21756809337055,0.197488331627644,0.247787787548675
"Hippocampus_R",-0.0614543380235736,0.54853715012919,0.118209865696622,-0.136896204024948,0.37438718735046,0.0759077540984595,0.85562426775684,1,0.224907369247971,0.242906430924189,0.165372648898384,0.0336601797008848,0.357164501953884,0.173531508307114,0.349158072224259,0.128267790865958,0.154590076906816,0.0874179440598892,0.209836461831869,0.281822748828823,0.121487273653611,0.298723867056984,0.00353803016084555,0.203229871301578,0.316801336663387,0.245583819097712,0.245570810635013
"Insula_L",0.0440773141321225,0.334365369314561,0.311011484301782,-0.0565868831062161,-0.05454906698584,0.270554247434065,0.192807710936317,0.224907369247971,1,0.217959500333759,0.129282636160684,0.0606616028152344,0.0624193811150375,0.468565940743457,-0.0143060574480261,-0.280933750241607,0.227287197627536,0.119108845736628,0.277026175089585,0.356938484666073,-0.147492758819155,0.213927934823044,-0.0664304113180876,0.16914312428121,0.39102374516828,0.315167904378003,0.272539051998037
"Insula_R",0.0103137984010497,0.241739600450627,0.204843404163766,0.202477441361384,-0.0665352192528167,-0.114965416633572,0.360602835735456,0.242906430924189,0.217959500333759,1,0.035264291448419,-0.00988556996264449,0.132200012345618,0.24848292563152,-0.158670585108613,-0.255384873654433,0.110145035487927,0.0885756705803022,0.160734234497835,-0.192676692439166,-0.0108771819780388,0.172430630613821,0.116969900305459,0.486353808701713,-0.0605594672733433,0.0938104234209989,0.143203189730028
