"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"Amygdala_L",NA,4.82350107855467e-07,0.173240773163334,0.215548231326239,0.00249430554590879,0.0803417748039064,0.000100056623249634,1.49988732545125e-09,0.00421366045390092,0.0191622371732414,0.00593889755024524,0.00415449154678349,0.0632172183499091,0.199041684802273,0.832303229565191,9.76960632876889e-05,0.91033116745082,0.126457944837635,0.0165638788658591,0.135577996856603,0.000810464456995508,0.193286507429894,0.110139398646949,0.0746928818034389,0.0200980700522342,0.204248204264506,0.211924456453892
"Amygdala_R",4.82350107855467e-07,NA,0.0181424500585465,0.0534260870565182,0.00250693376357369,0.538601747328995,0.000192765534250627,3.44053896483842e-10,0.02959924393818,0.39859980434114,0.012664515951949,0.00526415754099463,0.0388988922526323,0.360721055938548,0.911656719843517,0.00939407215632881,0.802919588926703,0.0734381286263299,0.106602420326165,0.0123421135109889,0.000728165320034169,0.141397548496411,0.0875985816398819,0.104366507757338,0.00488677396527937,0.0222252455782583,0.0450919283692488
"Dorsal_striatum_L",0.173240773163334,0.0181424500585465,NA,6.50889285804812e-05,0.23915465000078,0.358103777659043,0.729986151130658,0.175445903204766,0.0118872377330366,0.987388578379598,0.0134891132123993,0.0111941317668771,0.0809393966780507,0.23840951531298,0.915518656306607,0.0224739055100722,0.254899373778328,0.000436652563371442,0.160613012133186,0.0182897093216048,0.570177431173309,0.141259526165961,0.249520187298046,0.463308359937823,0.308053245953891,0.00447923691602226,0.00131722454108818
"Dorsal_striatum_R",0.215548231326239,0.0534260870565182,6.50889285804812e-05,NA,0.491792435167148,0.830557884033521,0.533735201333316,0.51874286150276,0.00538215132324371,0.111909922825936,0.198715883411834,0.000485766055513981,0.000105130970112999,0.527451741595595,0.125769127472237,0.0414125224077257,0.000373080161587769,2.39491636744305e-07,0.00053432197533132,0.471602127018984,0.90377653660298,0.0540962199072428,0.498067680074461,0.0110951374919481,0.147927041026446,0.00116221324906585,0.0137117532737776
"Fusiform_gyrus_L",0.00249430554590879,0.00250693376357369,0.23915465000078,0.491792435167148,NA,0.00142207575449271,2.28613765700381e-05,0.000314648782151927,0.505375357262961,0.189221167043726,0.00552904623037564,0.00536986866949851,0.104910516036512,0.506554377367332,0.0202108304125379,0.023295023901108,0.373015539566722,0.43614565923791,0.360596195030614,0.109532822454794,0.0168838226769013,0.608806250340335,0.314939907913676,3.01264028705894e-05,0.0183390443349802,0.736102367944607,0.189931963984671
"Fusiform_gyrus_R",0.0803417748039064,0.538601747328995,0.358103777659043,0.830557884033521,0.00142207575449271,NA,0.805838479269589,0.26007058395187,0.905584573329159,0.930505292261419,0.0028352806955132,0.00297759977163792,0.598014361632611,0.457996322618146,0.173104835971372,0.0842381155521483,0.209865237149121,0.308415692480498,0.644092890954012,0.648229681648981,0.866186008862033,0.617259150501007,0.729615050076124,0.0350017379809242,0.376897194376562,0.486472527209795,0.355891633897868
"Hippocampus_L",0.000100056623249634,0.000192765534250627,0.729986151130658,0.533735201333316,2.28613765700381e-05,0.805838479269589,NA,1.25777457631315e-05,0.0146676932808034,0.00112466630309438,0.0492412927256547,0.0115683803946087,0.108280582108387,0.462728077093358,0.027626171192745,0.00851581217488606,0.804277174736227,0.108309559649317,0.0407151404806427,0.00703480240554977,8.10527079830869e-06,0.161492755997886,0.0288278590817848,0.00368856137075291,0.00222383663715853,0.0991252212858011,0.00813981146186826
"Hippocampus_R",1.49988732545125e-09,3.44053896483842e-10,0.175445903204766,0.51874286150276,0.000314648782151927,0.26007058395187,1.25777457631315e-05,NA,0.142659540675119,0.455098878912963,0.00120959743780347,0.00480270434190633,0.203664497889875,0.110865440663245,0.869346025798033,0.0331696261687981,0.646077276148393,0.1584946943731,0.314268966645793,0.0269095281176477,0.00904029181727717,0.714967069105536,0.392410999014092,0.0448736330758854,0.0147790458724031,0.0560636222555964,0.217831595033156
"Insula_L",0.00421366045390092,0.02959924393818,0.0118872377330366,0.00538215132324371,0.505375357262961,0.905584573329159,0.0146676932808034,0.142659540675119,NA,0.002780989953727,0.0383064126005208,0.0121533531323919,0.00883782079607931,0.130542055717417,0.104543501135653,0.000143793651600443,0.879372416152739,0.0363579090844324,0.00133711420839178,0.00392150266584146,0.0771907394018954,0.0136070248259705,0.000601861433152884,0.00335509251470167,6.2804529993743e-05,0.0649904736200719,7.79307912024407e-05
"Insula_R",0.0191622371732414,0.39859980434114,0.987388578379598,0.111909922825936,0.189221167043726,0.930505292261419,0.00112466630309438,0.455098878912963,0.002780989953727,NA,0.259778823375328,0.0605427515443453,0.0195199557394843,0.532321421348607,0.00138912403734048,0.00261258676543941,0.446460869038058,0.0943107297981389,0.00111121148781623,0.0515232422192202,0.0217016190088741,0.148663319494716,0.0619490745301552,0.0653430313640353,0.00807319025957098,0.0670944579360522,0.0107080731588516
"Intracalcarine_cortex_L",0.00593889755024524,0.012664515951949,0.0134891132123993,0.198715883411834,0.00552904623037564,0.0028352806955132,0.0492412927256547,0.00120959743780347,0.0383064126005208,0.259778823375328,NA,1.30629329575527e-09,0.0326916620725493,0.0019119781783532,0.469231356864516,0.00264465289452054,0.638572786642704,0.0939179670328534,0.172781613382025,0.152166760624623,0.161552557102835,0.00625868537608709,0.0160961747045072,0.0119916265669118,0.0137040204428944,0.120412942337194,0.116471301553507
"Intracalcarine_cortex_R",0.00415449154678349,0.00526415754099463,0.0111941317668771,0.000485766055513981,0.00536986866949851,0.00297759977163792,0.0115683803946087,0.00480270434190633,0.0121533531323919,0.0605427515443453,1.30629329575527e-09,NA,3.14009443058705e-05,0.00119019969733891,0.225194529232178,3.49788266560402e-05,0.00245719735412164,0.00231779709502078,0.00065866834758177,0.874254033195387,0.186420815180956,4.89595896788764e-05,0.321928362420378,0.00158882209836397,0.00785755687003986,0.0209901795174154,0.151492216299322
"lOFC_R",0.0632172183499091,0.0388988922526323,0.0809393966780507,0.000105130970112999,0.104910516036512,0.598014361632611,0.108280582108387,0.203664497889875,0.00883782079607931,0.0195199557394843,0.0326916620725493,3.14009443058705e-05,NA,0.0673095849410754,0.0427859623785378,0.0711541028676064,0.00687331929727719,0.00238617928749996,0.000696173077595175,0.848743279755131,0.748487459647754,0.00101258512146618,0.200159123307712,0.00358314424920758,0.00131600215289929,0.00535308334453344,0.00429323931443193
"mOFC_L",0.199041684802273,0.360721055938548,0.23840951531298,0.527451741595595,0.506554377367332,0.457996322618146,0.462728077093358,0.110865440663245,0.130542055717417,0.532321421348607,0.0019119781783532,0.00119019969733891,0.0673095849410754,NA,0.485537574286462,0.283463414967625,0.00655028004337299,0.0287489763714697,0.675725859504221,0.0223479547456353,0.815499733009988,0.00211793399409732,0.346556017372356,0.263740341243564,0.360930716718932,0.252069339436277,0.87065459018406
"mOFC_R",0.832303229565191,0.911656719843517,0.915518656306607,0.125769127472237,0.0202108304125379,0.173104835971372,0.027626171192745,0.869346025798033,0.104543501135653,0.00138912403734048,0.469231356864516,0.225194529232178,0.0427859623785378,0.485537574286462,NA,0.112721274195937,0.248528051093883,0.263477402877739,0.00425277242828992,0.0756904974883845,0.985974233822717,0.398585540360596,0.786941212414405,6.80295849075918e-05,0.0333229715399694,0.135505735005252,0.105515940478233
