"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R","NA"
"Amygdala_L",1,0.862707899767812,0.416637652327486,0.455035045110345,0.260190285791474,0.232322753752298,0.8578259296003,0.747580847681414,0.508389925568101,0.512946184971483,0.358546050711402,0.267224219105144,0.032545183097584,0.11664184133452,0.476389834678212,0.463863316099587,0.301201533508563,0.344845909260096,0.311866212596966,0.530658578784241,0.519903941321123,0.507823904147448,0.233936308181177,0.197854578650144,0.470202815663799,0.466848072223122,0.342578003674022,0.330763188539199
"Amygdala_R",0.862707899767812,1,0.414422209854018,0.409467218353921,0.284733452167402,0.2027274587705,0.91985913860509,0.897966684376588,0.4582142647943,0.416507529466934,0.256098574296879,0.205766751731158,0.0648767832189739,0.133474178074187,0.49613142307082,0.403370174074898,0.194391924388152,0.253617864984419,0.394306690268683,0.535943405716319,0.46802498974269,0.434930330873622,0.220518216863068,0.314020946668848,0.486452342833217,0.543746671211167,0.334305244846731,0.29814589947701
"Dorsal_striatum_L",0.416637652327486,0.414422209854018,1,0.881981356371896,0.148278069469665,-0.0446516397290082,0.302133867947239,0.256569491579369,0.70466280407619,0.714784383391721,0.176974442885087,0.101651920365691,-0.0422055991786177,-0.0604760429159803,0.233887993829193,0.319264698574206,0.763409044615714,0.822560571445029,0.382483218328374,0.626530755241959,0.648108693059926,0.61660612228862,0.389319404349794,0.417231603985467,0.47829218190821,0.536223180781907,0.840570318053375,0.783092196389728
"Dorsal_striatum_R",0.455035045110345,0.409467218353921,0.881981356371896,1,0.00914951001523196,-0.103307583294644,0.320107344834861,0.239393542421008,0.646103514151178,0.689365300344235,0.216330660249227,0.0806786707438659,0.00357974924427688,0.0104882057032463,0.236635643678588,0.311151778116886,0.712325480950363,0.7326877922915,0.500252058275493,0.684623039520636,0.633632432064771,0.613387703102607,0.479312833848531,0.500959522663341,0.383255295626278,0.424037215881595,0.839279822271297,0.811309771640079
"Fusiform_gyrus_L",0.260190285791474,0.284733452167402,0.148278069469665,0.00914951001523196,1,0.381998233123528,0.305497725987664,0.36351639413812,0.125945713503788,0.0700544162443504,0.304399848430196,0.352318848879582,-0.14849213727037,-0.167887178355357,0.35416297880403,0.252349670084987,0.0433026980917538,0.0808068050248212,0.090306617335009,0.0184835414530375,-0.0466147971389451,-0.10954865360967,0.183349621999928,0.0789618294363603,0.300280268649946,0.498392855646535,0.0891040842980957,0.156733122187604
"Fusiform_gyrus_R",0.232322753752298,0.2027274587705,-0.0446516397290082,-0.103307583294644,0.381998233123528,1,0.272468436474378,0.286053374623748,-0.0867820586396665,-0.00415533599299016,0.713691645267142,0.706718643411804,-0.383179220429085,-0.0844694151939133,0.597699996797527,0.535005760838298,-0.141676111497756,-0.0287694672258818,0.0792636606475788,0.0809446477356918,0.0304188587507259,0.0561329757081121,0.00738683110019219,-0.0602985498674501,0.135937109925725,0.153680895918655,-0.0841526126250808,-0.102467245642447
"Hippocampus_L",0.8578259296003,0.91985913860509,0.302133867947239,0.320107344834861,0.305497725987664,0.272468436474378,1,0.89765120722984,0.410561928099127,0.288403265667307,0.217083470858931,0.187480768391815,0.03175149052043,0.143592421271211,0.515866723057273,0.431230443068504,0.147932325214857,0.179257360289028,0.37518301760185,0.428282481055583,0.379183244964002,0.315327425016124,0.268361089846137,0.323758139909332,0.374690863439788,0.44498138083954,0.27203913406348,0.25941412250075
"Hippocampus_R",0.747580847681414,0.897966684376588,0.256569491579369,0.239393542421008,0.36351639413812,0.286053374623748,0.89765120722984,1,0.29863509813203,0.251175318331947,0.246599010730546,0.26113727119944,0.0145759745889928,0.087320951090558,0.544847577846101,0.393489393567628,0.00843252455943244,0.0719291641834286,0.361929072367953,0.380818095716043,0.274259230432998,0.239241857069215,0.195157382414138,0.281316767725339,0.402238219161847,0.498383237608302,0.199108878672057,0.155340488122348
"Insula_L",0.508389925568101,0.4582142647943,0.70466280407619,0.646103514151178,0.125945713503788,-0.0867820586396665,0.410561928099127,0.29863509813203,1,0.74073084347273,0.0938784367450325,0.0117351185246271,0.0865897837201824,-0.0409861573310928,0.122105965699433,0.220910097860102,0.753593506192259,0.765529382976203,0.2846605428553,0.519318246165506,0.581715787776579,0.489588049267521,0.424596349637293,0.384931744828317,0.48991068016572,0.506311393269046,0.663135679891374,0.681379537679383
"Insula_R",0.512946184971483,0.416507529466934,0.714784383391721,0.689365300344235,0.0700544162443504,-0.00415533599299016,0.288403265667307,0.251175318331947,0.74073084347273,1,0.296668394382004,0.214485400069301,0.0624312479626885,0.0368852601093479,0.266574299472036,0.404063773917393,0.686097615122775,0.732245941158534,0.241806611092848,0.457483202698872,0.603829645158744,0.612933358900371,0.357016216962402,0.257554505370358,0.649711727525914,0.595375711505051,0.683572228336609,0.654617560507243
