"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R","NA"
"Amygdala_L",NA,0.0342656927753699,0.264703481375418,1.90889479334544e-07,0.000145310705538026,0.00232119964221678,0.00014004122438438,0.765788330227188,0.25887420762259,0.0146145957981103,0.00201094285897607,3.47421842405993e-08,0.327400216066241,0.787712665489916,0.000232185105776272,2.19436468995582e-10,0.00267723433870515,0.280468648472875,0.0159948467298361,6.6780854179882e-09,9.62547595761976e-06,0.00369362953701424,0.446443258697568,0.880463808054224,0.00326426652949308,0.122267343028945,0.00117109005599825,0.000215190246114272
"Amygdala_R",0.0342656927753699,NA,0.000776864405607869,0.0245181833350681,7.47966133474165e-11,0.0173250758081709,0,0.0768118289307673,3.34907657162375e-10,1.20348175869367e-13,4.01382241288495e-06,1.32353683568454e-10,0.281853238249636,0.626729398953694,1.50997987446999e-08,1.37667655053519e-14,7.7046393458069e-05,0.00364969308780916,0.0635050370218431,0.000110050764026592,8.2787243937732e-05,2.58973731348533e-09,0.568233921368719,0.032055022413553,0,0.00396473400520891,1.92852788483133e-05,1.63227352656392e-06
"Dorsal_striatum_L",0.264703481375418,0.000776864405607869,NA,0,0.00206186277466935,0.0157055061681479,0.0044898694096962,0.161952770845089,0,5.20369844991819e-08,0.0393955864015165,0.0417975768470513,0.0630515394065942,0.0337617482743626,0.0137771012715657,0.2517178666281,0,0,0.0385465710161015,0.00545047512994978,2.66453525910038e-15,7.91344767492319e-12,0,0,0.037933689906205,0.570007486069414,0,0
"Dorsal_striatum_R",1.90889479334544e-07,0.0245181833350681,0,NA,0.00304828366701715,0.00859540718143803,0.0340828638502906,0.000831179316516106,4.90278644591502e-05,2.60651723911209e-05,3.15106656323394e-08,1.25574217690883e-10,0.103704028241749,0.776837665277256,5.2036043403092e-05,1.63698955146785e-06,0,8.57935944509336e-12,0.03277983855616,7.09432512735475e-13,2.13964401751809e-10,6.2274724488276e-08,4.42708245276258e-05,2.13073492183469e-09,0.00213275606890306,0.000683665856783033,0,0
"Fusiform_gyrus_L",0.000145310705538026,7.47966133474165e-11,0.00206186277466935,0.00304828366701715,NA,0.000569113549586664,1.59557683954148e-07,0.481331239737079,1.98190689881805e-05,1.2344991260349e-06,9.5294181050587e-06,0.00101999395915042,0.575264864125204,0.611084568436466,5.85509418726815e-12,1.75347148445582e-06,0.295367773056634,0.0436435104191222,0.0417337289339141,0.904077425981254,0.38947917081054,0.0229812351564551,0.592874956173757,0.00174924213799654,0.000322261713292082,0.381269219200328,0.0135195624177495,5.98628171433191e-05
"Fusiform_gyrus_R",0.00232119964221678,0.0173250758081709,0.0157055061681479,0.00859540718143803,0.000569113549586664,NA,8.16225531607984e-10,0.00446649916875952,7.04989777666754e-08,5.98002647400619e-09,1.19419790767239e-06,1.53990020734796e-09,0.00231201103217993,2.07830963050437e-05,1.82497306155938e-09,1.04838360215354e-11,4.19568584038021e-05,0.000244719343649225,0.00990453041059514,0.00514129530690743,8.97504293106977e-13,6.75424559131166e-05,0.456637520685264,0.335719721186427,3.42808739395295e-07,0.000113939105499394,0.000147086295165799,0.0352929177639016
"Hippocampus_L",0.00014004122438438,0,0.0044898694096962,0.0340828638502906,1.59557683954148e-07,8.16225531607984e-10,NA,4.57550572541265e-07,6.66133814775094e-16,2.22044604925031e-16,1.05670057815033e-07,8.65973959207622e-14,0.0488827165084866,6.65492729901018e-06,0,4.44089209850063e-16,4.56942929649706e-06,0.000368547525752216,0.56371322683336,1.46766986786062e-07,1.06137321154165e-13,4.44089209850063e-16,0.579973886012461,0.827990305169061,4.44089209850063e-15,1.35094598618934e-07,5.45519185379817e-12,3.31303051659404e-09
"Hippocampus_R",0.765788330227188,0.0768118289307673,0.161952770845089,0.000831179316516106,0.481331239737079,0.00446649916875952,4.57550572541265e-07,NA,2.55966359219428e-11,0.0344425334935692,0.272652553746888,0.290041325468285,0.00182020832490792,0.4370924771182,0.211775356530926,0.164373925310336,0.961533084654227,0.00344155496108112,8.90508723760952e-06,0.351332553545689,0.000732354349294084,0.00442230680457167,0.0366588080392305,0.240010490796958,1.92569707553325e-05,1.76438419430269e-10,0.551339568006522,0.23043549389555
"Insula_L",0.25887420762259,3.34907657162375e-10,0,4.90278644591502e-05,1.98190689881805e-05,7.04989777666754e-08,6.66133814775094e-16,2.55966359219428e-11,NA,0,4.09232147013938e-06,4.24087431838416e-11,0.124257610938114,0.512263273781115,0.000664685838292378,8.1648732508377e-07,3.67705865755852e-13,0,0.00619684598218129,0.00261232032901471,0,0,5.25114840499441e-10,6.12014483536427e-09,4.13002965160558e-14,5.47756775493013e-08,0,5.40190114861616e-12
"Insula_R",0.0146145957981103,1.20348175869367e-13,5.20369844991819e-08,2.60651723911209e-05,1.2344991260349e-06,5.98002647400619e-09,2.22044604925031e-16,0.0344425334935692,0,NA,3.21431770089475e-12,1.11910480882216e-12,0.111321989529376,0.000344483897401382,2.11287749507516e-05,4.33638902563871e-10,9.89716308907873e-10,9.25161436349242e-08,0.118218686885209,6.56503635898531e-07,1.35059785577596e-09,2.18047802036381e-12,0.0101561008924869,0.0192813583384273,0,3.79406284167771e-10,4.27808495517823e-07,6.81215084341602e-11
