"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R","NA"
"Amygdala_L",1,0.05730312935724,0.215842418684951,0.327056593810736,0.27599571617328,0.131774514533297,0.297340097074819,0.473855875310974,0.097230492705976,0.0218912981503149,0.159490000480166,0.25357896164275,0.0196144899584465,0.1694014678156,0.0860622492394224,0.038396431849269,0.165381886814865,0.237814868384893,0.223288533537349,0.275858588775455,0.184914230270763,0.126307061199498,0.214018771124343,0.215393662468181,0.111397661542755,0.087077064598085,0.214999121607526,0.0014854312704782
"Amygdala_R",0.05730312935724,1,0.257153014839851,0.129679510145468,-0.145610099188981,0.0903146062277548,0.124963929529486,0.226766003190322,0.251599387925042,0.302087951986508,-0.0422900158706595,0.0395896019066143,-0.357171157136304,0.0741725243990151,0.082890210680488,0.185516742202027,0.2028085842544,0.13734726589388,0.122455680769709,0.0220239541134299,0.183825267948913,0.413129766144924,0.26640163250496,0.30362134255981,0.185427910848296,0.14527244377606,0.117715216836501,0.413204768781493
"Dorsal_striatum_L",0.215842418684951,0.257153014839851,1,0.702889697712923,0.363061649092947,0.256742658114662,0.247290051534128,0.411362880167004,0.458601296079781,0.541035843691068,0.218923125293708,0.222622573638933,0.0883500659384055,0.316152472035163,0.356482412026743,0.288337955643121,0.655983474066811,0.617036700362696,0.0999027086461321,0.170197832411722,0.164746457861857,0.344456700611514,0.299692571482152,0.128038088471131,0.277283901104015,0.355276019774827,0.205385441855883,0.538462757381757
"Dorsal_striatum_R",0.327056593810736,0.129679510145468,0.702889697712923,1,0.263110358140511,0.0627997957845822,0.31979526027456,0.314534234371408,0.312030270554221,0.387238851344006,0.196508861276792,0.21575779055218,0.0910779122600695,0.135836306336615,0.183521664915074,0.0884507885486102,0.438939879361724,0.413651404886853,-0.00313342266376061,0.116121542432575,0.199256991464039,0.336985052861459,0.323447169145709,0.00062459918103016,0.0429782541156577,0.0356419121424479,0.312986727980063,0.371799116620463
"Fusiform_gyrus_L",0.27599571617328,-0.145610099188981,0.363061649092947,0.263110358140511,1,0.361941059717456,0.338578012341691,0.326860819386533,0.172245259162863,0.0338162142222601,0.193705715855874,0.236262402102029,0.434657579264653,0.241114309208236,0.374167498536944,0.0769313953679109,0.35610219078,0.399974955498577,0.0828693251961178,0.302398332789092,-0.0714165635003245,0.0425800950231517,0.0974751774907262,0.0877704889116879,0.284429997537258,0.424982092750106,0.267061625695835,0.202424931548742
"Fusiform_gyrus_R",0.131774514533297,0.0903146062277548,0.256742658114662,0.0627997957845822,0.361941059717456,1,0.261494615498237,0.243342682640117,0.475789750801483,0.20754620781705,0.568281031566188,0.607710352271786,-0.139706400402998,0.587379438463925,0.246251798876667,0.0771784513988913,0.502411818245844,0.407234906360248,0.548041259355856,0.513657577850442,-0.0167822140352512,0.238239146663662,0.276640937287437,0.353519399516478,0.498275743737536,0.349358037588295,0.200586638788395,0.384309804020476
"Hippocampus_L",0.297340097074819,0.124963929529486,0.247290051534128,0.31979526027456,0.338578012341691,0.261494615498237,1,0.471622188410208,0.168262135055894,0.021378624321569,0.294137012075467,0.359927178004488,-0.115269025211869,0.278141531784477,0.000807178579083338,0.102077310867575,0.166080584015992,0.262528331162787,0.138169452381086,0.236311375815626,0.016413353078736,0.080887229598027,0.220758965339099,0.292785055871831,0.215349881401089,0.129043157330357,0.238721009641845,0.220366041473518
"Hippocampus_R",0.473855875310974,0.226766003190322,0.411362880167004,0.314534234371408,0.326860819386533,0.243342682640117,0.471622188410208,1,0.276168698087564,0.0748648426163046,0.0360607570677348,0.152456673034623,0.0203389100063838,0.204443318133981,0.38093251062319,0.111110312377116,0.37122484247372,0.344093039517389,0.123421228916164,0.265876341722684,-0.0473240703148419,0.35417081687243,0.190586973002954,0.324412055583997,0.0918502330936422,0.190985296664883,0.355896053400201,0.26998588233681
"Insula_L",0.097230492705976,0.251599387925042,0.458601296079781,0.312030270554221,0.172245259162863,0.475789750801483,0.168262135055894,0.276168698087564,1,0.56984439471141,0.417884497037632,0.49181825694085,-0.0121550588092483,0.546446300992267,0.404481609637939,0.339784805470272,0.733104588467371,0.591444457976609,0.21370507281531,0.158944025038987,0.0753103733773303,0.439580183737886,0.219399496536605,0.0617971204656093,0.355592841466104,0.454085714347135,0.121319633310426,0.422400029362023
"Insula_R",0.0218912981503149,0.302087951986508,0.541035843691068,0.387238851344006,0.0338162142222601,0.20754620781705,0.021378624321569,0.0748648426163046,0.56984439471141,1,0.221113899399691,0.175368640989661,-0.00945869805844285,0.437651833565331,0.219118147839701,0.413429469241488,0.544880445379995,0.47365505863194,0.101664620722109,0.0763634563466985,0.0380857132238737,0.460687274439765,0.395657473464475,0.107396054635559,0.374851597681753,0.181285538852381,0.0842407926323092,0.578858099566534
