"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R","NA"
"Amygdala_L",NA,0.50915520660029,0.0119285194095742,0.000108056639661402,0.00119473910746093,0.127634746969355,0.000461418206078035,6.43857056559227e-09,0.261917078802595,0.801026471181938,0.0646428195287652,0.00300147825690522,0.82135520928394,0.0495087029031869,0.320954976640776,0.658387301362198,0.0552484564956013,0.00547910346471792,0.00923563752620415,0.00120177805149724,0.031786732246303,0.144355577366689,0.0126847121354767,0.0121108387297668,0.198339933444984,0.315260569879902,0.0122731439006634,0.986357901311627
"Amygdala_R",0.50915520660029,NA,0.00260503046851612,0.133856481390509,0.0919697456716091,0.297535211825756,0.148706559734525,0.00817321307041619,0.00324375125042486,0.000369625699351506,0.626248145484163,0.648468368502776,2.11398371456895e-05,0.392566944847645,0.339179622988473,0.0312243341367062,0.0183202324539182,0.112166684356785,0.157095834221007,0.799845993014978,0.0328249872667623,6.36536978237956e-07,0.00178917494907904,0.000343794742874381,0.0313067169673884,0.0927341785036604,0.173911797520818,6.33274903627523e-07
"Dorsal_striatum_L",0.0119285194095742,0.00260503046851612,NA,0,1.50617286263088e-05,0.00264800974584367,0.0038330656346901,7.18179232084282e-07,2.22379195058409e-08,1.24837917780951e-11,0.0107405870211994,0.00945246134495203,0.308210785776416,0.000187356561968111,2.19850391418586e-05,0.000695481332836589,0,1.55431223447522e-15,0.248968919876497,0.0484323640452664,0.0562041353628917,4.29658409659694e-05,0.000413588471754656,0.1388911738088,0.00113042967152177,2.35425918795329e-05,0.0168618167746493,1.62749813625851e-11
"Dorsal_striatum_R",0.000108056639661402,0.133856481390509,0,NA,0.00204821035121538,0.469313052393517,0.00015625243777917,0.000202941918270749,0.000229446634239405,3.48731032939753e-06,0.0223530135172103,0.0119627166488347,0.29345402169471,0.116208397932399,0.0331195196181786,0.307657428018363,1.00733768215733e-07,6.14176844937475e-07,0.971227643266808,0.179853535824108,0.0205085033892718,6.42743471728213e-05,0.000129949737126545,0.994263496565768,0.620637220155045,0.681511704662498,0.000218964593793558,8.99693932088219e-06
"Fusiform_gyrus_L",0.00119473910746093,0.0919697456716091,1.50617286263088e-05,0.00204821035121538,NA,1.60733574507965e-05,5.90362324457416e-05,0.000109149838735778,0.0457540335874222,0.697004928328503,0.0243795990309386,0.00580205155919322,1.38248912762151e-07,0.0048454734749761,7.80387643839475e-06,0.375151410198075,2.24651526086195e-05,1.53783193557189e-06,0.339301752538796,0.000364256642278349,0.410439142327896,0.623880615226106,0.260712683620012,0.311407553117575,0.00082764770707433,2.78237112683044e-07,0.00174096190967976,0.0185464465905478
"Fusiform_gyrus_R",0.127634746969355,0.297535211825756,0.00264800974584367,0.469313052393517,1.60733574507965e-05,NA,0.00218743416525613,0.00445545996907959,5.47830891761691e-09,0.0157176342332586,6.52811138479592e-13,5.32907051820075e-15,0.106076339260944,6.97220059464598e-14,0.00398870616577662,0.373615227640281,5.33830535331958e-10,9.49540337469301e-07,5.99520433297585e-12,1.87696302944573e-10,0.846808532689086,0.00539368169385179,0.00116212170096142,2.59970885618799e-05,7.76702702154353e-10,3.28054438289982e-05,0.0196642022922906,4.18978706928641e-06
"Hippocampus_L",0.000461418206078035,0.148706559734525,0.0038330656346901,0.00015625243777917,5.90362324457416e-05,0.00218743416525613,NA,7.74938113679013e-09,0.0510830133035807,0.805592851645758,0.000534764916156893,1.80542233931824e-05,0.18309258682864,0.00108938592338381,0.992586675737198,0.238763748608489,0.0542131212079675,0.00209740782367751,0.110013909375708,0.00579161023637909,0.850135697221578,0.351018994639257,0.0100832527642929,0.000568831237614198,0.0121287560163308,0.135791523279888,0.00529810954767806,0.0102208838319524
"Hippocampus_R",6.43857056559227e-09,0.00817321307041619,7.18179232084282e-07,0.000202941918270749,0.000109149838735778,0.00445545996907959,7.74938113679013e-09,NA,0.00118591341648466,0.388151732906421,0.677975670862391,0.0775219799197469,0.814873574712284,0.0173829015219005,5.16586793164464e-06,0.19950719976138,9.31114537827682e-06,4.38268370248629e-05,0.153825363519627,0.00182841151612489,0.585720190981845,2.50600729163608e-05,0.0268174209364149,0.000123724131125158,0.289362602431416,0.026494908692499,2.27295533568039e-05,0.00154123544711937
"Insula_L",0.261917078802595,0.00324375125042486,2.22379195058409e-08,0.000229446634239405,0.0457540335874222,5.47830891761691e-09,0.0510830133035807,0.00118591341648466,NA,5.46451772720502e-13,4.58450320373061e-07,1.38103972702197e-09,0.888722484875237,7.09521330577445e-12,1.14158315955848e-06,5.53369890670119e-05,0,4.2632564145606e-14,0.0128189345044516,0.0655756692816529,0.385326274866705,9.60405266425823e-08,0.010566497882162,0.476451290872519,2.31237914238847e-05,3.17289141626986e-08,0.161010214763319,3.34109682365025e-07
"Insula_R",0.801026471181938,0.000369625699351506,1.24837917780951e-11,3.48731032939753e-06,0.697004928328503,0.0157176342332586,0.805592851645758,0.388151732906421,5.46451772720502e-13,NA,0.00996033387862272,0.0419066135262054,0.913297181771742,1.10848023648913e-07,0.0106690138535415,6.23597117499486e-07,8.36442026752593e-12,6.54708998126807e-09,0.240677671585823,0.378697430355147,0.660980208290239,1.88377375920368e-08,2.03755913208425e-06,0.215043768698261,7.48813786155544e-06,0.0353584817048496,0.331341224800429,1.92734717074927e-13
