"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"Amygdala_L",1,0.456615959599703,0.274231665958483,0.186658791905786,0.431456832561516,0.191685643774439,0.341813604018781,0.240206728055699,0.174128968267855,0.387218428468506,0.309357701623903,0.34941054267539,0.0708302995066751,0.014462044894839,0.083597579445612,0.181299106678868,-0.052335412529966,0.13121619577546,-0.188650760608986,0.0572289234080225,0.450675164693895,-0.0857044774803271,-0.0807271150660517,0.152953995378848,-0.0818746730120222,-0.110354151836594,-0.273470215079209
"Amygdala_R",0.456615959599703,1,0.127394138062107,0.245601449819116,0.105567884734765,-0.131534973945155,0.131346279077178,0.154774340537602,-0.01585937441548,0.0216547927993384,0.115144347162409,0.111598300102504,-0.0311996669243601,-0.070500359870032,0.0871457718153396,0.000211357274503411,-0.160395761945675,-0.0171765482382469,0.099711627681705,-0.0697646567827826,0.216029831167346,-0.259397461765071,-0.221387769446199,0.083222917098881,0.00875167200957857,0.191524997412048,-0.0745875875382652
"Dorsal_striatum_L",0.274231665958483,0.127394138062107,1,0.589276918614699,0.24667760801431,-0.0941756707339414,0.476987970500545,0.57993551951238,0.613276854916529,0.541313716380023,0.532676662561358,0.439053078034664,0.1839797773335,0.348257459222369,0.127509628131234,0.265120007317673,0.271370724743403,0.534402555262412,0.309923962393398,0.49222810840213,0.620677331391372,0.041180859888448,0.0928490160043886,0.392430006406848,0.142986328423787,-0.0314897657136932,-0.130959234974095
"Dorsal_striatum_R",0.186658791905786,0.245601449819116,0.589276918614699,1,0.276189921360037,-0.21396367839492,0.517299035810707,0.447331647753874,0.414043973309402,0.348572153611769,0.408559032997588,0.41121388114272,-0.0592002089675038,-0.10772993378269,0.0673290132949813,0.102194641502483,-0.220426179685987,0.126763039652273,0.338557523977149,0.309388647826435,0.589678363889887,-0.254445381175915,-0.00436413438963856,0.101435783636892,0.124383561963163,-0.0493066130753818,-0.27387195560242
"Fusiform_gyrus_L",0.431456832561516,0.105567884734765,0.24667760801431,0.276189921360037,1,0.190860660532506,0.444305949871332,0.408217865202894,0.289165954455166,0.311038392846123,0.214205233707303,0.333214462852198,0.0400124257705781,0.0105154596100018,0.3094467264986,0.458500689549631,-0.12899600745257,-0.00115168808146232,0.0646110921113254,0.290938368700691,0.338698286479385,-0.0552220436826329,-0.154950122067452,-0.0637910416244254,-0.270219237844607,-0.167363527720698,-0.104320920321531
"Fusiform_gyrus_R",0.191685643774439,-0.131534973945155,-0.0941756707339414,-0.21396367839492,0.190860660532506,1,-0.132464085942411,-0.250934579791087,-0.12846219634458,-0.154893237971836,0.208019171514402,0.140883697406183,0.109871722892949,0.0159372928112462,0.317080747639766,0.33961026102738,-0.0124227115069101,-0.0883263650091899,-0.0333085224641739,0.129563924550306,0.023808475765573,0.0876783526680806,-0.113387830571397,-0.0108667143920891,-0.110252476045486,0.142005495097715,-0.107373788435966
"Hippocampus_L",0.341813604018781,0.131346279077178,0.476987970500545,0.517299035810707,0.444305949871332,-0.132464085942411,1,0.588077854534778,0.486481913935637,0.449098727312397,0.235680551210366,0.313528611453612,-0.0143550135868254,-0.115826712813481,0.0305035050003178,0.21984479407383,-0.0819408905880371,0.0196131167242884,0.024595042343998,0.167194841391833,0.456213874079328,-0.321109439660072,-0.241850989813689,0.118132802371513,-0.00537749618894241,-0.281405263230182,-0.316055505932623
"Hippocampus_R",0.240206728055699,0.154774340537602,0.57993551951238,0.447331647753874,0.408217865202894,-0.250934579791087,0.588077854534778,1,0.457852122193596,0.408602041513953,0.403111105728379,0.418842570830507,0.0193237850609269,0.350097338834237,0.139490158715864,0.221300000119424,0.21917024766617,0.48701874796902,0.160762057035337,0.522886577702587,0.507319205424748,0.00682713921402507,0.0489774354942608,0.475926751431858,0.211617311120486,-0.0483890518186014,-0.202861485707987
"Insula_L",0.174128968267855,-0.01585937441548,0.613276854916529,0.414043973309402,0.289165954455166,-0.12846219634458,0.486481913935637,0.457852122193596,1,0.526103205191814,0.437936715033342,0.410459575572072,0.26536608136178,0.2302483136099,0.0212011791081329,0.116475206453867,0.243257560030376,0.424857920866428,0.14595965936625,0.329215880668023,0.363192492497412,0.0831387467134756,0.058003602115799,0.430031667279977,0.187022540695234,-0.285964237048913,-0.15332252123748
"Insula_R",0.387218428468506,0.0216547927993384,0.541313716380023,0.348572153611769,0.311038392846123,-0.154893237971836,0.449098727312397,0.408602041513953,0.526103205191814,1,0.389982892736343,0.273103486394324,0.426659142487413,0.423002451221324,0.128167540460569,0.255975313315234,0.135860461352804,0.150977006395511,-0.0432245600292535,0.198916764325795,0.325192534735052,0.10313400167178,0.102587566561287,0.422791332387037,0.219017915701161,-0.121515104874156,-0.110680730719252
"Intracalcarine_cortex_L",0.309357701623903,0.115144347162409,0.532676662561358,0.408559032997588,0.214205233707303,0.208019171514402,0.235680551210366,0.403111105728379,0.437936715033342,0.389982892736343,1,0.791662840926502,0.332272758854901,0.447008264977322,0.399135216948259,0.511091149031755,0.192112545224569,0.298616626500334,0.198162813479573,0.36442320154954,0.482176885939676,0.0137479346664872,-0.216175356264913,0.453853514183415,0.293048773206103,-0.0802883478574418,-0.320903593125107
"Intracalcarine_cortex_R",0.34941054267539,0.111598300102504,0.439053078034664,0.41121388114272,0.333214462852198,0.140883697406183,0.313528611453612,0.418842570830507,0.410459575572072,0.273103486394324,0.791662840926502,1,0.112532157314229,0.270156885034271,0.276129701542877,0.441306529301183,0.00692131854903439,0.289016991332117,0.155902942590472,0.210082846650501,0.471340106752746,-0.113305396416588,-0.130733228092034,0.371768532715861,0.214574738318059,-0.193189664981013,-0.361369731265586
"lOFC_R",0.0708302995066751,-0.0311996669243601,0.1839797773335,-0.0592002089675038,0.0400124257705781,0.109871722892949,-0.0143550135868254,0.0193237850609269,0.26536608136178,0.426659142487413,0.332272758854901,0.112532157314229,1,0.45354751432794,0.341840139322651,0.314184708500318,0.265895612783447,0.0727085209162978,-0.076365873044502,0.214768651635451,0.0192792976489776,0.427024686973904,-0.00386767236259712,0.351039321602652,0.142916322562785,0.189370529447449,0.249501273522661
"mOFC_L",0.014462044894839,-0.070500359870032,0.348257459222369,-0.10772993378269,0.0105154596100018,0.0159372928112462,-0.115826712813481,0.350097338834237,0.2302483136099,0.423002451221324,0.447008264977322,0.270156885034271,0.45354751432794,1,0.154086967909596,0.153489837605888,0.598495810036761,0.537354558647761,0.167027417045429,0.416179227847337,0.14747087572505,0.548133783856212,0.206117983887746,0.547624056112878,0.228625786371352,0.205846879049234,0.227565850059631
"mOFC_R",0.083597579445612,0.0871457718153396,0.127509628131234,0.0673290132949813,0.3094467264986,0.317080747639766,0.0305035050003178,0.139490158715864,0.0212011791081329,0.128167540460569,0.399135216948259,0.276129701542877,0.341840139322651,0.154086967909596,1,0.734660810705237,0.0989282315428919,-0.129410958043489,0.155740033061218,0.339703597312022,0.134029804858545,0.197568006033587,-0.349824377959357,0.0808362036610452,-0.0298704332105958,0.351557825739999,-0.0274717164513128
"Oral_somatosensory_cortex_L",0.181299106678868,0.000211357274503411,0.265120007317673,0.102194641502483,0.458500689549631,0.33961026102738,0.21984479407383,0.221300000119424,0.116475206453867,0.255975313315234,0.511091149031755,0.441306529301183,0.314184708500318,0.153489837605888,0.734660810705237,1,0.105908237362895,-0.0959059364021549,0.046981266401498,0.341378697895022,0.195905746839367,0.06382001973966,-0.362220855980315,0.102940215531206,0.0497150741378815,0.145072452728305,-0.167157476129387
"Oral_somatosensory_cortex_R",-0.052335412529966,-0.160395761945675,0.271370724743403,-0.220426179685987,-0.12899600745257,-0.0124227115069101,-0.0819408905880371,0.21917024766617,0.243257560030376,0.135860461352804,0.192112545224569,0.00692131854903439,0.265895612783447,0.598495810036761,0.0989282315428919,0.105908237362895,1,0.599810436260813,0.0717824607066911,0.320281915847893,0.0131902136329057,0.475346114503166,0.144745606528673,0.361870608663704,0.211316195614309,0.383271998565838,0.242512097568127
