"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"Amygdala_L",NA,6.72053151076213e-05,0.884312292444709,0.486579246667468,0.648089841091584,0.908310107984311,0.206119702177615,0.0438142033385547,0.291527444218286,0.00924802139244552,0.989650567792101,0.818458171512382,0.328648951196206,0.0534053607109704,0.16910854420948,0.0367632107596279,0.155865848654583,0.232106648577982,0.923284114344465,0.00832759632574387,0.102295540087118,0.320919305734453,0.634093622265328,0.916824689587974,0.0167231549493034,0.831166872415904,0.062077475386813
"Amygdala_R",6.72053151076213e-05,NA,0.0388386555026168,0.0282041430243698,0.0620907029704285,0.207304726609192,0.000217961176479875,0.000218519864981559,0.0036482421808528,3.69681827372403e-08,0.849163063554553,0.899519004440352,0.0107828465174951,0.00468573770262237,0.0456911416514352,0.937623313082151,0.0120341379694313,0.0563236832729048,0.520250449352745,0.00423074503740528,7.2205710641704e-06,0.519728822571398,0.513217865995484,0.000781417666349427,0.0008074164876124,0.0202489214636166,6.0254127418613e-06
"Dorsal_striatum_L",0.884312292444709,0.0388386555026168,NA,2.22266649529956e-12,0.000190587123888308,0.00148690607842483,0.00239294774647636,0.595766722380637,0.00175623682705561,0.520484392496966,4.29758478226461e-06,8.92447948741548e-06,0.0036832449821369,0.019657493351223,0.0989295687180205,0.00029877854773841,6.72020526466532e-05,3.10084063093186e-06,0.00960635764261841,3.27135125721689e-06,0.000240825805114753,0.692491632377281,0.0436618398997877,0.013303707944615,0.050991444663794,4.7023769464527e-05,0.0639418389530007
"Dorsal_striatum_R",0.486579246667468,0.0282041430243698,2.22266649529956e-12,NA,0.00475113848721409,0.106813137230978,0.00114565309136339,0.142064742821581,0.0012812980997019,0.317573545273849,0.000536046897696707,0.000331985987768624,0.00120555478781803,0.0345443598184305,0.190837076657878,0.00842597540962897,1.99204178308321e-06,3.66257690842531e-10,0.0186421531122087,0.000281389237994034,0.00452033372180249,0.86712952557912,0.05493034703855,0.135735664400758,0.112253725190908,8.67616417465911e-06,0.0234006487309326
"Fusiform_gyrus_L",0.648089841091584,0.0620907029704285,0.000190587123888308,0.00475113848721409,NA,0.186266033105611,0.00526693808665213,0.712196943934375,0.00502279474121625,0.0386458972661048,0.0222300814924017,0.00805403321036868,0.000555358336571388,0.589043821085656,0.00254349213791949,0.000107222791203121,0.0104619659472278,0.00893160221328193,0.911392052502151,0.000378165908968331,0.0614663764073065,0.183972647796889,0.27819051487653,0.18243529233424,0.0555424751595734,0.000502200483156745,0.000111013217168221
"Fusiform_gyrus_R",0.908310107984311,0.207304726609192,0.00148690607842483,0.106813137230978,0.186266033105611,NA,0.977135847857349,0.528123729796915,0.0110411857960824,0.0284074617114261,0.0122560574340307,0.0139955461070791,0.00105846138242782,2.27466722066971e-05,0.00909133520137728,0.00157379133996427,0.0667429825961701,0.0787920565433855,0.42111305631578,0.00390080276539306,0.0032482635871407,0.97704980670434,0.732371192178355,0.0287409792622515,0.101811487953758,0.884460962378161,0.959802171416956
"Hippocampus_L",0.206119702177615,0.000217961176479875,0.00239294774647636,0.00114565309136339,0.00526693808665213,0.977135847857349,NA,6.11734347133464e-06,0.016103200056869,0.0131257984989228,0.934613146838723,0.934636774820636,0.0175333789880883,0.0697088302016207,0.0455408829249053,0.0325935417665577,0.000690794688806395,0.101772800107737,0.13359085188103,0.00139468021458899,0.00641806510692167,0.58862995304706,0.54627413588024,0.273037400161962,0.233791710610965,0.00123401158716252,0.000424449968765339
"Hippocampus_R",0.0438142033385547,0.000218519864981559,0.595766722380637,0.142064742821581,0.712196943934375,0.528123729796915,6.11734347133464e-06,NA,0.119581381958529,1.06357157489967e-05,0.036256196151915,0.041274355754219,0.0266033532692236,0.0114747030924702,0.00108929047093653,0.634044160835973,0.122127693609769,0.900780238583873,0.0134030908840472,0.112649090349038,0.0502321774772974,0.830787330364787,0.346786010093343,0.978485828583342,0.712106529250627,0.032006139584325,0.000627919323167969
"Insula_L",0.291527444218286,0.0036482421808528,0.00175623682705561,0.0012812980997019,0.00502279474121625,0.0110411857960824,0.016103200056869,0.119581381958529,NA,0.000385756764804013,0.043976054458212,0.0127965261934719,7.40276779316318e-05,0.000964180889472477,0.0178137917963126,0.0048351252617802,0.00138986732940416,0.00139356108103339,0.720546847802986,0.00114822986374952,0.00012564086026412,0.545994829703999,0.210797671955524,0.00199718409566518,1.04049706908249e-05,0.138896269213091,0.0041501661929646
"Insula_R",0.00924802139244552,3.69681827372403e-08,0.520484392496966,0.317573545273849,0.0386458972661048,0.0284074617114261,0.0131257984989228,1.06357157489967e-05,0.000385756764804013,NA,0.402739881655807,0.285362247080855,0.00163207685231903,5.71425934161596e-05,6.53789575233432e-06,0.367769548626767,0.0290028471795183,0.512646505768508,0.00516338038618946,0.0300449191088168,0.00538922784865381,0.321152090985557,0.359400247066553,0.100961759850518,0.000634648995543774,0.286510125475605,4.60232402321736e-06
"Intracalcarine_cortex_L",0.989650567792101,0.849163063554553,4.29758478226461e-06,0.000536046897696707,0.0222300814924017,0.0122560574340307,0.934613146838723,0.036256196151915,0.043976054458212,0.402739881655807,NA,0,0.0063878583089092,0.524037678979999,0.6683357749061,0.0359981263011417,0.139539667778271,0.00156881838617418,0.0187124504695495,4.623931945269e-05,0.0196434534521552,0.8986420680429,0.0519221297605934,0.0459596718818733,0.0537840793787718,0.217367870768418,0.375167964361845
"Intracalcarine_cortex_R",0.818458171512382,0.899519004440352,8.92447948741548e-06,0.000331985987768624,0.00805403321036868,0.0139955461070791,0.934636774820636,0.041274355754219,0.0127965261934719,0.285362247080855,0,NA,0.0125386647741483,0.36294867124602,0.877397588153566,0.0450316477140671,0.115649268849689,0.00113965436331975,0.00226134638022479,0.000100888788576281,0.127159699474583,0.849579679465823,0.0592808591504455,0.1430359779115,0.159038285122122,0.713052871446368,0.180986687698758
"lOFC_R",0.328648951196206,0.0107828465174951,0.0036832449821369,0.00120555478781803,0.000555358336571388,0.00105846138242782,0.0175333789880883,0.0266033532692236,7.40276779316318e-05,0.00163207685231903,0.0063878583089092,0.0125386647741483,NA,0.00329517184440786,0.000171548527992282,0.00618739172896587,0.000247523589451015,6.54368554013907e-05,0.817504677107703,2.23126661149653e-05,0.000268384271316036,0.74119435279065,0.71238722000299,0.0449394423392024,0.00319053548868897,0.0247474419141469,0.0124209867953908
"mOFC_L",0.0534053607109704,0.00468573770262237,0.019657493351223,0.0345443598184305,0.589043821085656,2.27466722066971e-05,0.0697088302016207,0.0114747030924702,0.000964180889472477,5.71425934161596e-05,0.524037678979999,0.36294867124602,0.00329517184440786,NA,0.00835942892435249,0.160823913070327,0.00171342452112144,0.0222291350258517,0.682030437975178,0.00151831215320053,0.0479552300635133,0.864607501055324,0.377573741564947,0.020929946953987,0.00259078490370035,0.814671620248457,0.0905593587915576
"mOFC_R",0.16910854420948,0.0456911416514352,0.0989295687180205,0.190837076657878,0.00254349213791949,0.00909133520137728,0.0455408829249053,0.00108929047093653,0.0178137917963126,6.53789575233432e-06,0.6683357749061,0.877397588153566,0.000171548527992282,0.00835942892435249,NA,0.0386664780455925,0.0381911765299705,0.39522975631397,0.0116748721104736,0.000278380231748088,0.179315539471208,0.203864190741582,0.140400516821825,0.343448435026752,0.0133541402502007,0.0862917984861924,1.78886535162626e-05
"Oral_somatosensory_cortex_L",0.0367632107596279,0.937623313082151,0.00029877854773841,0.00842597540962897,0.000107222791203121,0.00157379133996427,0.0325935417665577,0.634044160835973,0.0048351252617802,0.367769548626767,0.0359981263011417,0.0450316477140671,0.00618739172896587,0.160823913070327,0.0386664780455925,NA,0.00519209369637208,0.0329374312043949,0.224025421563743,0.00606912268089976,0.0256634474659749,0.532276842561304,0.158946388433552,0.0253366803646107,0.400233115624447,0.0758247577705846,0.555901517671968
"Oral_somatosensory_cortex_R",0.155865848654583,0.0120341379694313,6.72020526466532e-05,1.99204178308321e-06,0.0104619659472278,0.0667429825961701,0.000690794688806395,0.122127693609769,0.00138986732940416,0.0290028471795183,0.139539667778271,0.115649268849689,0.000247523589451015,0.00171342452112144,0.0381911765299705,0.00519209369637208,NA,1.57654689303399e-09,0.0956456318694316,0.000234610626440368,0.0137843819817594,0.490234638696634,0.0418417234422339,0.341209859981741,0.00066624928915715,0.00698999770249342,0.042975058843171
"Precuneus_L",0.232106648577982,0.0563236832729048,3.10084063093186e-06,3.66257690842531e-10,0.00893160221328193,0.0787920565433855,0.101772800107737,0.900780238583873,0.00139356108103339,0.512646505768508,0.00156881838617418,0.00113965436331975,6.54368554013907e-05,0.0222291350258517,0.39522975631397,0.0329374312043949,1.57654689303399e-09,NA,0.000185745045789165,0.00017042989517857,0.0173652041078411,0.592718870464652,0.0137843651344567,0.214783534985153,0.00121371524754066,0.00226099761028098,0.102161011529789
"Precuneus_R",0.923284114344465,0.520250449352745,0.00960635764261841,0.0186421531122087,0.911392052502151,0.42111305631578,0.13359085188103,0.0134030908840472,0.720546847802986,0.00516338038618946,0.0187124504695495,0.00226134638022479,0.817504677107703,0.682030437975178,0.0116748721104736,0.224025421563743,0.0956456318694316,0.000185745045789165,NA,0.162678934375251,0.54000975354391,0.0332681176647824,2.49734159796233e-07,0.9780260661875,0.372930488548734,0.564994742225956,0.0381092234599985
"Ventral_striatum_L",0.00832759632574387,0.00423074503740528,3.27135125721689e-06,0.000281389237994034,0.000378165908968331,0.00390080276539306,0.00139468021458899,0.112649090349038,0.00114822986374952,0.0300449191088168,4.623931945269e-05,0.000100888788576281,2.23126661149653e-05,0.00151831215320053,0.000278380231748088,0.00606912268089976,0.000234610626440368,0.00017042989517857,0.162678934375251,NA,0.00153381309587775,0.555534900752789,0.304921607841975,0.00842248949769564,0.000229676885360686,0.00383802309150205,0.0155457963308365
"Ventral_striatum_R",0.102295540087118,7.2205710641704e-06,0.000240825805114753,0.00452033372180249,0.0614663764073065,0.0032482635871407,0.00641806510692167,0.0502321774772974,0.00012564086026412,0.00538922784865381,0.0196434534521552,0.127159699474583,0.000268384271316036,0.0479552300635133,0.179315539471208,0.0256634474659749,0.0137843819817594,0.0173652041078411,0.54000975354391,0.00153381309587775,NA,0.925472675838014,0.236345788707973,0.00420327521932329,0.0819885240585274,0.035187937404455,0.0181994226224758
"vlPFC_L",0.320919305734453,0.519728822571398,0.692491632377281,0.86712952557912,0.183972647796889,0.97704980670434,0.58862995304706,0.830787330364787,0.545994829703999,0.321152090985557,0.8986420680429,0.849579679465823,0.74119435279065,0.864607501055324,0.203864190741582,0.532276842561304,0.490234638696634,0.592718870464652,0.0332681176647824,0.555534900752789,0.925472675838014,NA,0.0101954596463212,0.0834550006304813,0.611692021171419,0.88314603648104,0.0612725126571225
"vlPFC_R",0.634093622265328,0.513217865995484,0.0436618398997877,0.05493034703855,0.27819051487653,0.732371192178355,0.54627413588024,0.346786010093343,0.210797671955524,0.359400247066553,0.0519221297605934,0.0592808591504455,0.71238722000299,0.377573741564947,0.140400516821825,0.158946388433552,0.0418417234422339,0.0137843651344567,2.49734159796233e-07,0.304921607841975,0.236345788707973,0.0101954596463212,NA,0.747555253476449,0.0277326543234655,0.102149505554321,0.991056227863679
"vlThalamus_L",0.916824689587974,0.000781417666349427,0.013303707944615,0.135735664400758,0.18243529233424,0.0287409792622515,0.273037400161962,0.978485828583342,0.00199718409566518,0.100961759850518,0.0459596718818733,0.1430359779115,0.0449394423392024,0.020929946953987,0.343448435026752,0.0253366803646107,0.341209859981741,0.214783534985153,0.9780260661875,0.00842248949769564,0.00420327521932329,0.0834550006304813,0.747555253476449,NA,0.000507792650116912,0.0494713249747003,0.0818339354414386
"vlThalamus_R",0.0167231549493034,0.0008074164876124,0.050991444663794,0.112253725190908,0.0555424751595734,0.101811487953758,0.233791710610965,0.712106529250627,1.04049706908249e-05,0.000634648995543774,0.0537840793787718,0.159038285122122,0.00319053548868897,0.00259078490370035,0.0133541402502007,0.400233115624447,0.00066624928915715,0.00121371524754066,0.372930488548734,0.000229676885360686,0.0819885240585274,0.611692021171419,0.0277326543234655,0.000507792650116912,NA,0.0413374109997839,0.0038190131301854
"vmPFC_L",0.831166872415904,0.0202489214636166,4.7023769464527e-05,8.67616417465911e-06,0.000502200483156745,0.884460962378161,0.00123401158716252,0.032006139584325,0.138896269213091,0.286510125475605,0.217367870768418,0.713052871446368,0.0247474419141469,0.814671620248457,0.0862917984861924,0.0758247577705846,0.00698999770249342,0.00226099761028098,0.564994742225956,0.00383802309150205,0.035187937404455,0.88314603648104,0.102149505554321,0.0494713249747003,0.0413374109997839,NA,2.10381770227031e-07
"vmPFC_R",0.062077475386813,6.0254127418613e-06,0.0639418389530007,0.0234006487309326,0.000111013217168221,0.959802171416956,0.000424449968765339,0.000627919323167969,0.0041501661929646,4.60232402321736e-06,0.375167964361845,0.180986687698758,0.0124209867953908,0.0905593587915576,1.78886535162626e-05,0.555901517671968,0.042975058843171,0.102161011529789,0.0381092234599985,0.0155457963308365,0.0181994226224758,0.0612725126571225,0.991056227863679,0.0818339354414386,0.0038190131301854,2.10381770227031e-07,NA
