"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"Amygdala_L",NA,6.60265220275846e-09,0.594504695125067,0.620933695373669,0.335226488540936,0.785840242723801,2.97184936215444e-07,4.7957172011337e-07,0.922127230121795,0.855238836529092,0.0058500301194675,0.160863531166056,0.733619562758503,0.650733827380502,0.107386854007602,0.997180395880403,0.862190640393526,0.0995764442840286,0.775490145842305,0.604823158169581,0.0664717310405167,0.0334955577145188,0.099721354429156,0.163308447069183,0.0110611597394241,0.819149794599639,0.215178942969231
"Amygdala_R",6.60265220275846e-09,NA,0.889570401056767,0.487391207506917,0.154769016794345,0.795196203207683,0.000556368890642478,2.68045284634866e-07,0.983861825716602,0.984240550584949,0.0756705089426659,0.560047428703,0.893126665466866,0.0878685163942521,0.14091893513249,0.871908460051323,0.819915927129179,0.198578530610138,0.181040720008514,0.22916008975549,0.0047559081110351,0.12347501518824,0.0300987667818056,0.610893861439331,0.366416240630424,0.107182743933078,0.501432821241888
"Dorsal_striatum_L",0.594504695125067,0.889570401056767,NA,3.48344721246008e-06,0.618183502225657,0.978281264704782,0.269299715784158,0.943432086205915,0.830131118350929,0.202256590169466,0.175613092797994,0.0682222786138698,0.000546649239741459,0.0516892679736856,0.302614832317772,0.000369823920883583,1.83514538656393e-05,0.000109892618363361,0.48179843138648,0.522910713064901,0.117584471774487,0.00891440294183798,0.0928430147543775,0.114047482672098,0.0429921914727371,0.888506001109292,8.05761981581554e-08
"Dorsal_striatum_R",0.620933695373669,0.487391207506917,3.48344721246008e-06,NA,0.0914008810143647,0.0288325602510042,0.874394811309154,0.364908715209266,0.993276030473179,0.0023457074748261,0.0318614699723514,0.00402738640801603,0.0220234462883768,0.0201141919785828,0.381370276432066,0.0221979433158457,0.00040450428907679,0.00806390949047842,0.244892398396223,0.0805188204100016,0.000252554946979178,0.159155684556892,0.517371082540903,0.249316416189565,0.728797554607268,0.00532423325485532,0.000350081141506031
"Fusiform_gyrus_L",0.335226488540936,0.154769016794345,0.618183502225657,0.0914008810143647,NA,6.119630957091e-05,0.00456252441903615,0.00445318007441631,0.261833886265239,0.636216508750495,0.492988060253935,0.543768742841791,0.266950650860098,0.376963697382954,0.00449822226381924,0.00845201056002809,0.974372080495563,0.645359211654565,0.933081916783453,0.0485912079782134,0.27198013998275,0.869921398942042,0.847275537885904,0.655395520106616,0.460444521697238,0.00163819876303339,0.946933596778738
"Fusiform_gyrus_R",0.785840242723801,0.795196203207683,0.978281264704782,0.0288325602510042,6.119630957091e-05,NA,0.131331758811948,0.0803847828302751,0.516679168908228,0.333670606209359,0.0511708008136571,0.180526476634522,0.0782933635225072,0.158648592258071,0.00959212802797493,0.254627552005869,0.773566067010914,0.718944975510001,0.678614503191283,0.563026717113009,0.0974132503909964,0.531115346676868,0.897736903600304,0.52917630048179,0.132008711653391,0.00675883583451231,0.663461684701063
"Hippocampus_L",2.97184936215444e-07,0.000556368890642478,0.269299715784158,0.874394811309154,0.00456252441903615,0.131331758811948,NA,3.76534551516094e-06,0.984867722579412,0.045565189732623,0.0639588418514423,0.0695418265397505,0.426591288024956,0.410874980585175,0.00610914676231022,0.577194268298005,0.336924545991319,0.0148029487638188,0.92662995103919,0.405319330678371,0.0103557881559007,0.594038566535853,0.783199815045168,0.370937044665672,0.244404673804246,0.236001497382245,0.189361918608203
"Hippocampus_R",4.7957172011337e-07,2.68045284634866e-07,0.943432086205915,0.364908715209266,0.00445318007441631,0.0803847828302751,3.76534551516094e-06,NA,0.674766618400116,0.921579705418551,0.1166093880488,0.463873074344027,0.41414453389898,0.448820969894566,0.254959995671197,0.61982837689442,0.828885005962072,0.036607390899956,0.517570551561694,0.239620082814371,9.52449756663754e-05,0.646226953769556,0.112531445508323,0.697638734689678,0.586039875960743,0.269032746872665,0.7364627730458
"Insula_L",0.922127230121795,0.983861825716602,0.830131118350929,0.993276030473179,0.261833886265239,0.516679168908228,0.984867722579412,0.674766618400116,NA,0.0225719845726804,0.0554338251972619,0.0209662629363456,0.247056963144614,0.0717153629373524,0.305659942037385,0.48909493041153,0.0235841753224264,0.0975254523087725,0.00131512830620584,0.510380182663616,0.284193377744015,0.0538000815287856,0.762448606610894,0.858796945898391,0.454932507622414,0.57976240717901,0.551747574255336
"Insula_R",0.855238836529092,0.984240550584949,0.202256590169466,0.0023457074748261,0.636216508750495,0.333670606209359,0.045565189732623,0.921579705418551,0.0225719845726804,NA,0.000603597749029516,0.00185286198476131,0.0241009878510345,1.29320285120471e-05,0.864304399427867,0.447329401612959,0.00944205719431257,0.00285862637127332,0.000103533866843142,0.103703340604436,0.0312456620111314,0.048635713543157,0.00950788202502451,0.426479020210997,0.458599026909334,0.0755202582998515,0.35820698215125
"Intracalcarine_cortex_L",0.0058500301194675,0.0756705089426659,0.175613092797994,0.0318614699723514,0.492988060253935,0.0511708008136571,0.0639588418514423,0.1166093880488,0.0554338251972619,0.000603597749029516,NA,2.74088079343926e-07,0.00799805898390549,0.00188392954053818,0.262275730924866,0.738394665743635,0.234720902133905,0.00060887798198106,0.0083559617130895,0.415330340903196,0.829577864314371,0.554411012429959,0.371950991426569,0.316190526046117,0.0821000367988964,0.318381827698394,0.506332257260236
"Intracalcarine_cortex_R",0.160863531166056,0.560047428703,0.0682222786138698,0.00402738640801603,0.543768742841791,0.180526476634522,0.0695418265397505,0.463873074344027,0.0209662629363456,0.00185286198476131,2.74088079343926e-07,NA,0.000568120013821005,0.00110329658719266,0.819077227030514,0.407201904402299,2.09043143235554e-05,3.23688236214537e-08,0.00266367612387364,0.646100880037532,0.886469688595073,0.478371743630421,0.86779172012458,0.92584568581868,0.159380230014023,0.977599184020586,0.495164277221431
"lOFC_R",0.733619562758503,0.893126665466866,0.000546649239741459,0.0220234462883768,0.266950650860098,0.0782933635225072,0.426591288024956,0.41414453389898,0.247056963144614,0.0241009878510345,0.00799805898390549,0.000568120013821005,NA,0.00512510592719151,0.0226258958659433,0.00872676769474134,3.00696136590339e-06,2.98112850614096e-05,0.0251169023968174,0.536667329064614,0.575661778833457,0.0141953488897726,0.000225877848405887,0.0878342124147142,0.104186475067479,0.503096840535493,0.0241179839504717
"mOFC_L",0.650733827380502,0.0878685163942521,0.0516892679736856,0.0201141919785828,0.376963697382954,0.158648592258071,0.410874980585175,0.448820969894566,0.0717153629373524,1.29320285120471e-05,0.00188392954053818,0.00110329658719266,0.00512510592719151,NA,0.0965867336407273,0.211244093217409,0.00161489052103625,5.8095374485756e-05,0.0072812990759672,0.676193665044637,0.96427656233362,0.280997684902841,0.230516580202772,0.00392868506960031,0.796269132710483,0.255172304815833,0.374394091596285
