"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"Amygdala_L",1,0.18057660067652,0.109501442843709,0.122328489637417,0.0262286544151911,0.155607396156091,0.242032059108377,0.288994255949432,0.411480772236957,0.296445442106447,0.0265016977150043,0.0295548747322836,0.236015654660194,0.132826873123412,-0.17431447182582,-0.49302011914823,0.161574448907287,0.442259496391289,0.0502154083214589,0.449705345531031,0.477451203322965,0.0545450292639867,-0.0271635660940706,0.260646724916565,0.216332415082278,0.0928961611605423,0.0686901158667858
"Amygdala_R",0.18057660067652,1,0.10982950795012,0.0513576214965801,0.0108577715112574,0.155593715038001,0.320099086394339,-0.151337283393525,0.0484545981067933,0.216918945278335,-0.0495025426865952,-0.219494005038487,0.0580197813055467,0.115185079935979,-0.000809124462668058,-0.0736920308017147,0.131483998586845,0.247893225918688,-0.336685459598729,0.255456363655853,0.169024892843279,0.178236169637924,0.204613229589597,-0.0417579419004312,-0.0153836364140501,0.0665597893598964,0.129616951861645
"Dorsal_striatum_L",0.109501442843709,0.10982950795012,1,0.699678337307575,0.251126404273651,-0.0693735473747443,0.246417272045782,0.326064930967179,0.384913496355236,0.32091360826615,-0.101237301572935,-0.0486779358481494,0.0710734240082892,0.146060222286279,0.218566953755193,-0.184560833970235,0.515960015839422,0.530310448369789,-0.0698054632187489,0.495579268444137,0.508632491986404,0.216377003545439,0.0920686725603809,0.306106123254956,0.351115092862064,0.334383778846427,0.415704951807984
"Dorsal_striatum_R",0.122328489637417,0.0513576214965801,0.699678337307575,1,0.239734679023441,-0.00311912065964572,0.340039808826061,0.301914003413071,0.358906275931097,0.498833690466952,-0.146314014824655,-0.0665017160496338,0.0227454503757702,0.0181727847833629,0.270250843783012,-0.120003272553858,0.541760361280856,0.536966851639824,-0.0574737712022887,0.400469020157162,0.424966051535376,0.147774179720298,0.0629002295668786,0.147507142238047,0.302713760614312,0.389825367524991,0.41145438683502
"Fusiform_gyrus_L",0.0262286544151911,0.0108577715112574,0.251126404273651,0.239734679023441,1,0.161574900824321,0.351598278384722,0.472076076644322,-0.0469861867172593,0.0812742772034447,-0.2918530588807,-0.413882934608635,0.00705739817715075,-0.0434992782040086,0.394353385378816,0.0774421285218401,0.131778074401931,0.085208261502486,-0.164541127734927,0.0880968243097602,0.226621568339297,0.183284981908109,0.174273122222766,-0.092399868180258,0.0437526450615571,0.510656571106909,0.472254087329849
"Fusiform_gyrus_R",0.155607396156091,0.155593715038001,-0.0693735473747443,-0.00311912065964572,0.161574900824321,1,0.181430873633759,-0.0511402156945994,-0.103226414885752,0.02507507552247,0.11810507637662,0.161618550368994,-0.0482273518552126,-0.00243441973533296,-0.268538033580026,-0.0970485907676902,0.137947280563162,0.131131690526276,-0.106582716031659,0.123025844787077,-0.0996843646727428,0.144499821858027,-0.0349978946686367,-0.234451252001961,-0.106372137926382,-0.0823255539653047,-0.0794892373719955
"Hippocampus_L",0.242032059108377,0.320099086394339,0.246417272045782,0.340039808826061,0.351598278384722,0.181430873633759,1,0.47800629639149,0.185658678347962,0.293071366476967,-0.242245840137581,-0.262958966764533,0.216450116930037,0.187769001110955,0.0868027836471141,-0.145763555568229,0.106406794350719,0.206778627201351,-0.198631637004229,0.225666796059482,0.324873026878232,0.263111848039243,0.235331919214547,0.0902449454891824,0.228944495620442,0.243559183545262,0.249516505807953
"Hippocampus_R",0.288994255949432,-0.151337283393525,0.326064930967179,0.301914003413071,0.472076076644322,-0.0511402156945994,0.47800629639149,1,0.190737787537436,0.216949852917758,-0.188399225408925,-0.232043367295568,0.156635359457162,0.161633956174433,0.0833157353222663,-0.382976143779733,0.186833221623802,0.193424639344291,-0.0615104755590228,0.244020428194944,0.422501675449887,0.127911277687465,-0.00746893998647981,0.159297585921055,0.313847807407447,0.272598054160262,0.235954156895957
"Insula_L",0.411480772236957,0.0484545981067933,0.384913496355236,0.358906275931097,-0.0469861867172593,-0.103226414885752,0.185658678347962,0.190737787537436,1,0.382062126243331,0.074875988721769,0.156433624122732,-0.0155318402733259,0.0512801523020798,-0.188211356945934,-0.307548566515573,0.0841282111012829,0.300886716135754,0.0302748401155999,0.286069630343653,0.240196612119985,0.0948417018808209,0.0174703014428223,0.396645592084243,0.542086707269017,-0.134160963793934,-0.0695775872172395
"Insula_R",0.296445442106447,0.216918945278335,0.32091360826615,0.498833690466952,0.0812742772034447,0.02507507552247,0.293071366476967,0.216949852917758,0.382062126243331,1,-0.13887922531442,-0.199241954008295,-0.00442424028571238,0.0769507110965595,0.0577429156472129,-0.170336570822638,0.104327174521931,0.312408256858163,-0.0554484091158189,0.304442011583462,0.308241222445866,0.132954857546388,0.210278653418999,0.186379092960549,0.324640716727992,0.130832149882008,0.12162678398078
