"Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"Amygdala_L",NA,0.00748730962172672,0.114689817815688,0.64216313710069,0.355499667141874,0.39551455941233,0.00234823219039582,4.4850106957206e-05,0.308208332055285,0.205317317544011,0.963786787984695,0.109738760420513,0.948971541408744,0.62339461697947,0.71327274582676,0.692639395300216,0.561409177515118,0.433315067265607,0.0271646846440756,0.0723769495489024,0.0828319263714146,0.345501098606665,0.141249393613857,0.163867478298088,0.0463455241436828,0.0232774446174298,0.0841842932872279
"Amygdala_R",0.00748730962172672,NA,0.108520894830698,0.103748395729425,0.00383108083822536,0.458769591467877,3.21948492505442e-05,4.93919252164687e-08,0.927076021479965,0.0411018379535393,0.0012165802155617,0.100476487152902,0.861414795304478,0.957514062761627,0.128770148729336,0.818411988805208,0.640432579002047,0.126450548558428,0.962533379753809,0.0110573090182013,0.0728797685588427,0.416039745021626,0.426845602725174,0.591070991838531,0.00689396583600876,0.339927769991612,0.129346579705588
"Dorsal_striatum_L",0.114689817815688,0.108520894830698,NA,1.25451721224579e-05,0.141817307990163,0.286826164150229,0.0345142761167625,0.165721126053693,0.0325046597461942,0.00161087185640296,0.476382220074552,0.114786778667185,0.877226970097382,0.577355966097981,0.0980809191694112,0.465803895962278,0.000161142039367013,2.14322136360412e-05,0.352656636756475,0.0268691819461711,0.923671715063656,0.000192703151771667,0.0376731589937291,0.990817393346039,0.051852864676428,0.000202379828827981,4.03169120719582e-05
"Dorsal_striatum_R",0.64216313710069,0.103748395729425,1.25451721224579e-05,NA,0.0348807164851759,0.731501235176258,0.253657972593105,0.44053469079208,0.0564440044704682,0.00602538368282479,0.214012839218563,0.098549150528858,0.72232454870199,0.533349224766318,0.98278788660855,0.961720090907995,4.10704770004156e-05,0.00221562219403237,0.643610037459059,0.0459901176411801,0.236298151782893,0.0945234151947305,0.0881259264269605,0.660623535624709,0.482465870897836,0.00869703922294973,9.61014980651598e-05
"Fusiform_gyrus_L",0.355499667141874,0.00383108083822536,0.141817307990163,0.0348807164851759,NA,0.552465603400284,0.108913831807274,0.0312665259933549,0.580509176074067,0.21616562588837,0.0815670439102965,0.701675490285989,0.303469536505287,0.320118928237239,0.0359055786659224,0.251166560358351,0.471176490727453,0.288254155211112,0.432486501546555,0.307515731574985,0.782038621729044,0.381042519060009,0.133348352113569,0.205471889562131,0.200027950706271,0.991937204387582,0.521144602461358
"Fusiform_gyrus_R",0.39551455941233,0.458769591467877,0.286826164150229,0.731501235176258,0.552465603400284,NA,0.477242147525252,0.927464736696696,0.350295737545714,0.514785453228074,0.00111978437719351,0.101487594383384,0.482396188854469,0.968479242180074,0.41957051853,0.207773585179744,0.967453113406318,0.749719356854264,0.0316923576489405,0.180824085034179,0.412083125595201,0.978470571701139,0.18561076872155,0.737429680871073,0.135992881261601,0.104983732082558,0.0869209635835742
"Hippocampus_L",0.00234823219039582,3.21948492505442e-05,0.0345142761167625,0.253657972593105,0.108913831807274,0.477242147525252,NA,3.70170383234836e-09,0.301776310142166,0.336970193409544,0.0179055519934157,0.134519739481321,0.334621226394308,0.758054127434095,0.0922530658821297,0.987686570822179,0.721613276187588,0.213079049456558,0.719562239186394,0.0915278807377344,0.230062728922669,0.510972125890053,0.841613943965561,0.68995451468668,0.112118518124397,0.187455884663059,0.121850303194587
"Hippocampus_R",4.4850106957206e-05,4.93919252164687e-08,0.165721126053693,0.44053469079208,0.0312665259933549,0.927464736696696,3.70170383234836e-09,NA,0.695011249034171,0.243692382086704,0.0418297132025205,0.272463464996779,0.415697530754698,0.972202061583951,0.0597034440561526,0.582381805459606,0.877435482711779,0.401606901735102,0.493673705943181,0.117655334032539,0.143793230286353,0.766506908017154,0.877320424648024,0.469566115344081,0.0133782057675393,0.221920116770593,0.207682541728118
"Insula_L",0.308208332055285,0.927076021479965,0.0325046597461942,0.0564440044704682,0.580509176074067,0.350295737545714,0.301776310142166,0.695011249034171,NA,0.0607474083284862,0.753349131587009,0.0830183746616955,0.108795243829266,0.0766940992997047,0.393747841019513,0.864533373818192,0.0207757346689528,0.000807013882700103,0.0230714926526487,0.830285295353419,0.60794442455644,0.299969393715791,0.0610555397764223,0.527253215029147,0.0906146323341022,0.112797618574464,0.0791999891696922
"Insula_R",0.205317317544011,0.0411018379535393,0.00161087185640296,0.00602538368282479,0.21616562588837,0.514785453228074,0.336970193409544,0.243692382086704,0.0607474083284862,NA,0.013550912878858,0.0692170024659171,0.637894482331574,0.437159443327416,0.154153965995346,0.357963691811907,0.0018978411211501,0.000948372106642115,0.330442529451343,0.00248329378653134,0.1462152315333,0.000930798567727376,0.0587695484000297,0.853617477880992,0.849199476091731,0.118540806919978,0.00132985540903796
"Intracalcarine_cortex_L",0.963786787984695,0.0012165802155617,0.476382220074552,0.214012839218563,0.0815670439102965,0.00111978437719351,0.0179055519934157,0.0418297132025205,0.753349131587009,0.013550912878858,NA,0.00362077517288184,0.302235263854373,0.369918258556649,0.200519277958142,0.901434422112158,0.581877849627471,0.232446671446512,0.224910958737953,0.0465197662154537,0.387235498814065,0.460464348159823,0.309443332990552,0.465800977020085,0.277175717174265,0.106922410474459,0.777819558998744
"Intracalcarine_cortex_R",0.109738760420513,0.100476487152902,0.114786778667185,0.098549150528858,0.701675490285989,0.101487594383384,0.134519739481321,0.272463464996779,0.0830183746616955,0.0692170024659171,0.00362077517288184,NA,0.21218220113892,0.867577651547482,0.411782564364079,0.501058484553904,0.0569175798779087,0.0356889202866846,0.690734753924662,0.0475481585697062,0.185963620850402,0.0206170628537872,0.113961183481016,0.149118740208134,0.362381635422781,0.405369209783683,0.275386689724425
"lOFC_R",0.948971541408744,0.861414795304478,0.877226970097382,0.72232454870199,0.303469536505287,0.482396188854469,0.334621226394308,0.415697530754698,0.108795243829266,0.637894482331574,0.302235263854373,0.21218220113892,NA,0.0817323111418924,0.805430440792325,0.0100005036228425,0.115015233081735,0.227788342866814,0.367159708272309,0.534626205165625,0.1392373594984,0.604088529106888,0.527036443468194,0.491906618240352,0.764535463333974,0.456293274794245,0.328045292762548
"mOFC_L",0.62339461697947,0.957514062761627,0.577355966097981,0.533349224766318,0.320118928237239,0.968479242180074,0.758054127434095,0.972202061583951,0.0766940992997047,0.437159443327416,0.369918258556649,0.867577651547482,0.0817323111418924,NA,0.374018043653658,0.149499623871186,0.310724511108911,0.120123739324346,0.755973472080405,0.90997054268359,0.37666443729063,0.791322144334663,0.752303907445306,0.0854907331677697,0.108360231477935,0.820313765870808,0.447724084000331
"mOFC_R",0.71327274582676,0.128770148729336,0.0980809191694112,0.98278788660855,0.0359055786659224,0.41957051853,0.0922530658821297,0.0597034440561526,0.393747841019513,0.154153965995346,0.200519277958142,0.411782564364079,0.805430440792325,0.374018043653658,NA,0.0557540451748406,0.868570382002784,0.458898736568849,0.178617853649149,0.261777539547722,0.55725997010732,0.132642916379482,0.18607940674831,0.256770494620801,0.395436980091527,0.863559907453569,0.534283295422209
"Oral_somatosensory_cortex_L",0.692639395300216,0.818411988805208,0.465803895962278,0.961720090907995,0.251166560358351,0.207773585179744,0.987686570822179,0.582381805459606,0.864533373818192,0.357963691811907,0.901434422112158,0.501058484553904,0.0100005036228425,0.149499623871186,0.0557540451748406,NA,0.0768806799757118,0.198322573079123,0.579641768394988,0.663937359878188,0.123956049943285,0.597317447711778,0.226069153127972,0.509355367958189,0.364431027941509,0.660453924930026,0.527085160232886
"Oral_somatosensory_cortex_R",0.561409177515118,0.640432579002047,0.000161142039367013,4.10704770004156e-05,0.471176490727453,0.967453113406318,0.721613276187588,0.877435482711779,0.0207757346689528,0.0018978411211501,0.581877849627471,0.0569175798779087,0.115015233081735,0.310724511108911,0.868570382002784,0.0768806799757118,NA,5.82330872433978e-06,0.732207578485314,0.18908991395651,0.0715549828856754,0.0206484002471743,0.0112338087785078,0.106939367606394,0.90349419079585,0.00915129839290141,8.45189598275287e-05
"Precuneus_L",0.433315067265607,0.126450548558428,2.14322136360412e-05,0.00221562219403237,0.288254155211112,0.749719356854264,0.213079049456558,0.401606901735102,0.000807013882700103,0.000948372106642115,0.232446671446512,0.0356889202866846,0.227788342866814,0.120123739324346,0.458898736568849,0.198322573079123,5.82330872433978e-06,NA,0.732340812133362,0.480254403141847,0.358897307216014,0.0125404967015117,0.0190692182334629,0.283284321072701,0.376303008623729,0.0159956764409599,0.000237769875155003
"Precuneus_R",0.0271646846440756,0.962533379753809,0.352656636756475,0.643610037459059,0.432486501546555,0.0316923576489405,0.719562239186394,0.493673705943181,0.0230714926526487,0.330442529451343,0.224910958737953,0.690734753924662,0.367159708272309,0.755973472080405,0.178617853649149,0.579641768394988,0.732207578485314,0.732340812133362,NA,0.722885367887908,0.990960278260561,0.925010915365897,0.118745393803865,0.770563509628746,0.102544442785432,0.476956652394076,0.591902141746745
"Ventral_striatum_L",0.0723769495489024,0.0110573090182013,0.0268691819461711,0.0459901176411801,0.307515731574985,0.180824085034179,0.0915278807377344,0.117655334032539,0.830285295353419,0.00248329378653134,0.0465197662154537,0.0475481585697062,0.534626205165625,0.90997054268359,0.261777539547722,0.663937359878188,0.18908991395651,0.480254403141847,0.722885367887908,NA,0.0773756109001134,0.0140185412001061,0.392790033678798,0.691097316134216,0.346767488554893,0.33546137332061,0.0689440364783769
"Ventral_striatum_R",0.0828319263714146,0.0728797685588427,0.923671715063656,0.236298151782893,0.782038621729044,0.412083125595201,0.230062728922669,0.143793230286353,0.60794442455644,0.1462152315333,0.387235498814065,0.185963620850402,0.1392373594984,0.37666443729063,0.55725997010732,0.123956049943285,0.0715549828856754,0.358897307216014,0.990960278260561,0.0773756109001134,NA,0.895520592168298,0.251050902967247,0.125033680407823,0.386848268616226,0.253186386614104,0.441028672093372
"vlPFC_L",0.345501098606665,0.416039745021626,0.000192703151771667,0.0945234151947305,0.381042519060009,0.978470571701139,0.510972125890053,0.766506908017154,0.299969393715791,0.000930798567727376,0.460464348159823,0.0206170628537872,0.604088529106888,0.791322144334663,0.132642916379482,0.597317447711778,0.0206484002471743,0.0125404967015117,0.925010915365897,0.0140185412001061,0.895520592168298,NA,0.00265297517807328,0.404511330719553,0.646857569301411,0.00165344908399545,0.0028723791072891
"vlPFC_R",0.141249393613857,0.426845602725174,0.0376731589937291,0.0881259264269605,0.133348352113569,0.18561076872155,0.841613943965561,0.877320424648024,0.0610555397764223,0.0587695484000297,0.309443332990552,0.113961183481016,0.527036443468194,0.752303907445306,0.18607940674831,0.226069153127972,0.0112338087785078,0.0190692182334629,0.118745393803865,0.392790033678798,0.251050902967247,0.00265297517807328,NA,0.124028186234584,0.44212518458165,0.000408681833454771,0.00266415810402476
"vlThalamus_L",0.163867478298088,0.591070991838531,0.990817393346039,0.660623535624709,0.205471889562131,0.737429680871073,0.68995451468668,0.469566115344081,0.527253215029147,0.853617477880992,0.465800977020085,0.149118740208134,0.491906618240352,0.0854907331677697,0.256770494620801,0.509355367958189,0.106939367606394,0.283284321072701,0.770563509628746,0.691097316134216,0.125033680407823,0.404511330719553,0.124028186234584,NA,0.391627748708805,0.435846577578574,0.946298766342587
"vlThalamus_R",0.0463455241436828,0.00689396583600876,0.051852864676428,0.482465870897836,0.200027950706271,0.135992881261601,0.112118518124397,0.0133782057675393,0.0906146323341022,0.849199476091731,0.277175717174265,0.362381635422781,0.764535463333974,0.108360231477935,0.395436980091527,0.364431027941509,0.90349419079585,0.376303008623729,0.102544442785432,0.346767488554893,0.386848268616226,0.646857569301411,0.44212518458165,0.391627748708805,NA,0.585433234773885,0.627003586794382
