Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R,module0_mean,module1_mean,module2_mean,module3_mean,module4_mean,module5_mean,module6_mean,module7_mean,module8_mean
0.00078905,0.001689908,0.003479646,0.003479646,0.008782504,0.002576482,0.001664936,0.003479646,0.001429151,0.001924698,0.002576482,0.00947853,0.003365686,0.010788695,0.008087726,0.010788695,0.00309624,0.00309624,0,0.010267735,0.008887199,0.003479646,0.000756367,0.001659531,0.00117015,0.002332315,0.010788695,0.002591524,0.001905885,0.003287943,0.009219642,0.004877165,0.001714078,0.007077191,0.005133867,0.006183423,0.003949029
0.006719827,0.006719827,0.000642406,0.004504398,0.00203454,0.000247739,0.006719827,0.006719827,0.002873604,0.004504398,0.001813612,0.001494178,0.000335177,0.000759734,0.002282279,0.004172074,0.00037724,0.002273201,0.006719827,0.004172074,0.006049433,0.003720834,0.006719827,0.003291556,0.006719827,0.004830032,0.004504398,0.000642406,0.006719827,0.001949311,0.002829631,0.001185176,0.004731965,0.000547455,0.00544595,0.004885134,0.003789547
0.004455433,0.003935274,0.004052115,0.004455433,0.00579472,0.004233215,0.001656472,0.003072946,0.001836419,0.006384838,0.001914758,0.002329872,0.008508787,0.007975678,0.004990415,0.004455433,0.008508787,0.006469993,0.001251159,0.006574029,0.004455433,0.004207224,0.006251447,0.003633626,0.00392161,0.003084084,0.0071263,0.002669628,0.003280031,0.005871582,0.005080189,0.002825949,0.003806738,0.008242232,0.003912594,0.004331329,0.00492025
0.009967012,0.007100452,0.006419122,0.005458125,0.023450027,0.009875972,0.016475469,0.01009169,0.013987843,0.004184773,0.002183137,0.007852625,0.011151291,0.006808401,0.009135958,0.015406367,0.00980458,0.004413573,0.003846298,0.005071106,0.010337093,0.013117268,0.005899378,0.007524172,0.007636949,0.013771331,0.007410296,0.010878954,0.010908656,0.00652385,0.015997451,0.006637245,0.009895224,0.008979846,0.004458702,0.01172718,0.0079282
0.001818558,0.00256771,0.002248786,0.002248786,0.003869232,0.002266396,0.006722267,0.003869232,0.006722267,0.000895526,0.001958833,0.003869232,0.00093232,0.004089677,0.006143297,0.005334229,0.005101821,0.006722267,0.001887619,0.001247329,0.005101821,0.00427639,0.003869232,0.006722267,0.004623013,0.005913199,0.006722267,0.000518537,0.003744442,0.004080415,0.005115586,0.002698153,0.004538501,0.002510998,0.001567474,0.004689105,0.004458076
0.008603449,0.013331711,0.016173443,0.009285957,0.006327915,0.010547027,0.011801201,0.006998198,0.014492128,0.01332886,0.010500045,0.005415932,0.023860486,0.027772623,0.007974403,0.005472677,0.00781568,0.014489768,0.015344519,0.00461628,0.004352928,0.005097213,0.00781568,0.006403042,0.005012318,0.011116328,0.020161821,0.013580676,0.01018364,0.011941212,0.006591665,0.008821001,0.010987408,0.025816554,0.0099804,0.00472507,0.011990305
0.004656533,0.001738548,0.006971794,0.002808161,0.010101543,0.010101543,0.00622292,0.005761036,0.006923016,0.004656533,0.008254812,0.00263287,0.006785674,0.007337828,0.004656533,0.00622292,0.00640155,0.007809639,0.004852511,0.004553932,0.003441381,0.00420652,0.001435222,0.00058715,0.007698719,0.001079134,0.005125062,0.005125062,0.004594759,0.005997786,0.006993665,0.006996409,0.005089351,0.007061751,0.004703221,0.003823951,0.003068124
0.000271334,0.004266554,0.005197568,0.005197568,0.005197568,0.001572142,0.004162543,0.002687732,0.002687732,0.005197568,0.005197568,0.002687732,0.005197568,0.001662535,0.002687732,0.002687732,0.002102865,0.005197568,0.002157102,0.000407617,0.001572142,0.001756718,0.003797077,0.002638719,0.004162543,0.002762053,0.001756718,0.00059979,0.002847041,0.004423892,0.003524344,0.00315248,0.003702474,0.003430051,0.00128236,0.00166443,0.002198076
0.002326873,0.003178263,0.004930741,0.004930741,0.006436592,0.004764997,0.014503165,0.002133345,0.001658874,0.008035819,0.008035819,0.008035819,0.003398767,0.006442333,0.011014263,0.001112517,0.004033166,0.011839541,0.001508558,0.004930741,0.005002378,0.008035819,0.009052534,0.002493824,0.005748881,0.010224788,0.011944197,0.008035819,0.005535411,0.006433547,0.006187791,0.006945545,0.00641709,0.00492055,0.003219649,0.006519098,0.007881594
0.000237417,0.001366647,0,0,0.014675763,0.001896775,0.011904801,0.028130753,0.004211292,0.006606745,0.045761055,0.013075492,0.003089779,0.01562942,0.017367917,0.017367917,0,0,0.001594352,0.01323377,0.061001689,0.041516348,0.064069856,0.008286454,0.008205054,0.030072587,0.00380353,0,0.010409904,0,0.016470533,0.020244441,0.012273919,0.0093596,0.007414061,0.051259018,0.01903996
0.000961698,0.000460589,0.000961698,0.000961698,0.000961698,0.000615069,0.000961698,0.000961698,0.000460589,0.000961698,0.000961698,0.000729029,0.000961698,0.000460589,0.000346629,0.000961698,0.000961698,0.000961698,0.000718238,0.000961698,0.000729029,0.000961698,0.000346629,0.000961698,0.000961698,0.000961698,0.000615069,0.000961698,0.000836421,0.000961698,0.000756675,0.000768599,0.000836421,0.000711143,0.000839968,0.000845364,0.000721273
0.001857331,0.003966776,0.005237457,0.03010066,0.002481097,0.019905466,0.005237457,0.012286478,0.00180958,0.024038615,0.004138968,0.037578187,0.006796342,0.026096542,0.021400963,0.025432021,0.011597969,0.005237457,0.001332926,0.001107079,0.000285614,0.000821465,0.002972768,0.001107079,0.00386344,0.008199869,0.000435562,0.002481097,0.005837011,0.013043386,0.016438027,0.020540874,0.009477876,0.016446442,0.001220003,0.00055354,0.001749127
0.008892076,0.001598605,0.024660237,0.016254146,0.017941164,0.011976247,0.015798442,0.014781954,0.014795251,0.008865426,0.002110873,0.000986559,0.012681888,0.014024424,0.012738495,0.002529861,0.014256264,0.016400702,0.030290707,0.00811474,0.003752071,0.000353448,0.004533306,0.010517044,0.00828132,0.007006722,0.005738746,0.009264582,0.010267769,0.017892837,0.01106984,0.00502456,0.00973718,0.013353156,0.019202723,0.002052759,0.007513419
0.00868627,0.008183737,0.00577783,0.004339686,0.009851009,0.004576099,0.002693926,0.005143077,0.004339686,0.003931019,0.002283653,0.004916129,0.002065077,0.003889072,0.006429923,0.004182433,0.005069329,0.00577783,0.007259527,0.009851009,0.003931019,0.003349418,0.009851009,0.00591296,0.003395501,0.003514857,0.00743516,0.004360903,0.006176753,0.005241169,0.006821122,0.003925294,0.003795266,0.002977074,0.008555268,0.003640219,0.006890008
0.001177053,0.006642582,0.008162599,0.004345223,0.002743188,0.006009166,0.005600396,0.008162599,0.004345223,0.003616431,0.008162599,0.005654789,0.001755396,0.001547842,0.002121233,0.001069935,0.00241297,0.003141762,0.006032647,0.003297212,0.005626296,0.006164744,0.003141762,0.002743188,0.004345223,0.003793825,0.002528635,0.008162599,0.005395658,0.004515639,0.001978119,0.006608852,0.004025176,0.001651619,0.004664929,0.00589552,0.004144046
0.003758423,0.001173965,0.003758423,0.003758423,0.002119235,0.002655091,0.003758423,0.002847195,0.003758423,0.003758423,0.001046897,0.001336542,0.003190661,0.003176381,0.001778519,0.003758423,0.003758423,0.003758423,0.001811348,0.003082868,0.002085193,0.003057078,0.003196828,0.003514963,0.002196702,0.001939249,0.00129402,0.001594532,0.002884501,0.003758423,0.002552059,0.00167951,0.002913199,0.003183521,0.002447108,0.002571136,0.002400086
0.003904714,0.001434034,0.006592472,0.008493053,0.003329976,0.004832637,0.003780844,0.002912386,0.005098292,0.005667006,0.005852223,0.008493053,0.004684532,0.004017087,0.002676248,0.004048913,0.007563203,0.008493053,0.001341106,0.008493053,0.005592729,0.005029693,0.004017087,0.003362324,0.00545429,0.00545429,0.002651675,0.003482163,0.003007995,0.007785445,0.003351713,0.006392637,0.00541847,0.004350809,0.00491708,0.005311211,0.003378312
0.006250921,0.007001668,0.01559415,0.001324148,0.006323114,0.004114044,0.006021142,0.003664176,0.009696555,0.026186275,0.018315495,0.010680506,0.007561318,0.026801133,0.015730567,0.015220914,0.014780943,0.030016661,0.000727214,0.005096556,0.01317366,0.006021142,0.006428224,0.001335014,0.023229139,0.00448444,0.009365019,0.001152161,0.005734477,0.015428975,0.012424865,0.011036682,0.015899102,0.017181226,0.002911885,0.009597401,0.004570104
0.006828452,0.003802691,0.019453022,0.003008834,0.011642536,0.002370532,0.003754263,0.006329066,0.011834517,0.022032593,0.021448384,0.013742928,0.014658011,0.009121323,0.011460169,0.020627074,0.005532937,0.020546876,0.000551712,0.007605535,0.02816646,0.005436345,0.009288994,0.001583665,0.023459715,0.01601987,0.004052718,0.003333087,0.005178618,0.012135417,0.014576593,0.012520615,0.018336674,0.011889667,0.004078624,0.016801403,0.004564616
0.001668237,0.002199865,0.00755882,0.009112927,0.006806902,0.001323997,0.004761956,0.005775914,0.006357488,0.010346456,0.010346456,0.010346456,0.00392362,0.003781623,0.003994749,0.010346456,0.00755882,0.002527875,0.00509724,0.004941599,0.007994391,0.003964372,0.002989982,0.000971914,0.009451883,0.005217929,0.005879477,0.004296756,0.003601493,0.00668961,0.007049369,0.00733897,0.007843439,0.003852622,0.005019419,0.005979382,0.003534532
0.000149948,0.002590431,0.017592241,0.008303671,0.013884961,0.003953156,0.005630556,0.010649451,0.012146948,0.008426531,0.001910735,0.002784944,0.006837272,0.000841666,0.010219888,0.004735763,0.010559994,0.004622698,0.003836935,0.006460428,0.008990554,0.010589514,0.008144383,0.004077056,0.012146948,0.012146948,0.003598289,0.003598289,0.004755096,0.010269651,0.009613538,0.002882945,0.011216844,0.003839469,0.005148682,0.009790034,0.004854504
0.005077689,0.004355296,0.010367733,0.013500283,0.009326707,0.003977183,0.005091297,0.007634369,0.00868161,0.014948041,0.007794529,0.013817586,0.009099153,0.005272142,0.00640122,0.01199916,0.007439418,0.006688349,0.005143674,0.007884649,0.009677766,0.005916618,0.004469564,0.004191537,0.011925879,0.01199916,0.011902679,0.006185939,0.005539663,0.009498946,0.009242362,0.008529766,0.011888673,0.007185648,0.006514161,0.007797192,0.00668743
0.007693122,0.003320746,0.00614853,0.00614853,0.002940826,0.001537691,0.003320746,0.003049412,0.0119562,0.003168185,0.002855171,0.002855171,0.004145518,0.003038685,0.002896852,0.005524412,0.0119562,0.009896093,0.005846722,0.006367075,0.0119562,0.00614853,0.000135667,0.005282042,0.00614853,0.010978867,0.010849101,0.000530334,0.004346006,0.008537338,0.003787363,0.002416011,0.008062946,0.003592102,0.006106899,0.009052365,0.004199286
0.001096075,0.002584153,0.017131854,0.008757255,0.00891896,0.007386999,0.016445041,0.015394399,0.003886344,0.006203893,0.002233388,0.006203893,0.003448636,0.001896922,0.003989575,0.012973461,0.004967571,0.003697032,0.011776974,0.011112978,0.01131746,0.006203893,0.004040782,0.001744414,0.004925236,0.004910711,0.023881278,0.003697032,0.008879917,0.008638428,0.008627332,0.00527476,0.004981546,0.002672779,0.011444976,0.008760677,0.008340877
0.005634797,0.000118708,0.012519499,0.00705891,0.001428738,0.005741811,0.012519499,0.000118708,0.001428738,0.00705891,0.001428738,0.006177076,0.000620287,0.010654594,0.000626454,0.005154927,0.006177076,0.006177076,0.005452903,0.001044862,0.000637245,0.012135623,0.001428738,0.001021121,0.006584076,0.00639854,0.001428738,0.001428738,0.004597928,0.00798314,0.002403373,0.004449208,0.005367566,0.00563744,0.003248883,0.006386434,0.001326833
0.00979319,0.003349574,0.009946169,0.018457813,0.00673185,0.014824944,0.007820081,0.005028874,0.01331647,0.009271922,0.014646061,0.008250879,0.011797579,0.016975251,0.013336211,0.007582361,0.010862455,0.009346631,0.006087296,0.004108357,0.01160346,0.00523247,0.012076914,0.004346136,0.015565451,0.014672934,0.007937057,0.000535884,0.00649793,0.012153267,0.009216807,0.012573961,0.013206694,0.014386415,0.005097827,0.008417965,0.006223998
0.003533384,0.00307493,0.008676335,0.008676335,0.005412407,0.005332644,0.004616041,0.0018034,0.008676335,0.000752951,0.002638594,0.001717664,0.008676335,0.003083261,0.001795025,0.004542327,0.008676335,0.008676335,0.002018775,0.001854461,0.008676335,0.006683002,0.002469069,0.002346785,0.006683002,0.006683002,0.008676335,0.000300728,0.003256939,0.008676335,0.003916586,0.003229634,0.005698823,0.005879798,0.001936618,0.007679669,0.00344823
0.003693728,0.004770757,0.011173726,0.005378215,0.007528468,0.002378386,0.005459545,0.008321693,0.005703164,0.011173726,0.004784592,0.006210994,0.00495176,0.002773053,0.002470367,0.003470277,0.011173726,0.011173726,0.001273648,0.000149948,0.005280603,0.008124472,0.003984655,0.001432739,0.003716713,0.002022482,0.006210994,0.006210994,0.005561431,0.009724849,0.004489704,0.00445799,0.005654021,0.003862406,0.000711798,0.006702537,0.004459845
0.00042735,0.008452844,0.00426929,0.00121139,0.007665266,0.007605912,0.009994314,0.006061429,0.01299542,0.01299542,0.0118092,0.009994314,0.000713947,0.001836024,0.004978498,0.004978498,0.00328657,0.00426929,0.001895378,0.004507848,0.009994314,0.008452844,0.003436984,0.003286445,0.008452844,0.005066077,0.006166886,0.00328657,0.006233984,0.003259135,0.005874088,0.009803142,0.00987744,0.001274985,0.003201613,0.009223579,0.004044221
0.00158883,0.00430796,0.006254529,0.002110244,0.005244252,0.005290287,0.006254529,0.005491203,0.004184922,0.004247402,0.002659368,0.004665864,0.003167048,0.006254529,0.00527672,0.003175368,0.004141161,0.002909047,0.003887217,0.004491868,0.001608741,0.005017801,0.003908957,0.003257185,0.003994032,0.005729826,0.005658652,0.004880579,0.004410631,0.003853745,0.004565447,0.004205173,0.004539045,0.004710789,0.004189542,0.003313271,0.004426343
0.007500501,0.003856118,0.005899137,0.003211269,0.010051649,0.000149948,0.007452771,0.007452771,0.003129385,0.000902939,0.008281733,0.009089204,0.005899137,0.00637678,0.008281733,0.005899137,0.003856118,0.002321914,0.00587942,0.005068178,0.003524588,0.001664367,0.001475351,0.001969103,0.007452771,0.00909532,0.004797668,0.004760136,0.00656554,0.003822109,0.008077506,0.005840295,0.005145104,0.006137959,0.005473799,0.002594477,0.003250565
0.011827316,0.007699638,0.003140534,0.003140534,0.007699638,0,0.011827316,0.011827316,0.006199836,0.008102448,0.001336004,0.005022239,0.002321874,0.003087364,0.008361354,0.002321874,0.007699638,0.007699638,0.003762356,0.008102448,0.002215388,0.000308225,0.002696642,0.002338721,0.008102448,0.007699638,0.001771495,0.004685225,0.010795397,0.005420086,0.006127622,0.002119414,0.007526093,0.002704619,0.005932402,0.001261807,0.002873021
0.000551398,0.006333675,0.005062514,0.007861126,0.012489719,0.004902109,0.002892788,0.004694329,0.006105742,0.004578291,0.006183257,0.007861126,0.011073325,0.004398462,0.000648106,0.00460916,0.013463446,0.001928358,0.005503946,0.010941948,0.004270895,0.001177992,0.005472536,0.005365752,0.009665391,0.007236028,0.003960689,0.011708062,0.003618047,0.007078861,0.005915662,0.006315497,0.006896363,0.007735894,0.008222947,0.002724443,0.00662676
0.010498789,0.010498789,0.000881884,0.013974372,0.00547854,0.001752036,0.00558846,0.011842477,0.00825245,0.008951778,0.004767676,0.007997637,0.009313185,0.007360667,0.002680257,0.001574455,0.006679069,0.007997637,0.007113001,0.006023261,0.003008235,0.000149948,0.004675079,0.010349533,0.007997637,0.007997637,0.00381848,0.00226421,0.009607129,0.007383241,0.003244417,0.004839116,0.008299875,0.008336926,0.006568131,0.001579091,0.005276826
0.000377709,0.000407,0.003600397,0.002821691,0.00134568,0.003174126,0.002841424,0.001636448,0.002060612,0.002535394,0.001491573,0.003600397,0.001806237,0.003600397,0.003600397,0.002715769,0.003600397,0.002715769,0.000502584,0.003600397,0.003600397,0.003600397,0.001527503,0.003600397,0.001175985,0.002715769,0.002060612,0.002060612,0.001315645,0.003184564,0.002553949,0.002755365,0.00212194,0.002703317,0.00205149,0.003600397,0.002312281
0.005285008,0.000278117,0.001047882,0.002467795,0.008797857,0.01022145,0.003805541,0.003226198,0.003805541,0.002729594,0.002195695,0.002195695,0.006799814,0.000657693,0.002195695,0.01022145,0.01022145,0.003805541,0.00746345,0.00170673,0.003805541,0.005722386,0.009571872,0.00150131,0.003349288,0.003427296,0.002195695,0.003805541,0.003148716,0.004385667,0.007071667,0.004870946,0.00332793,0.003728753,0.00458509,0.004763964,0.004268604
0.009685404,0.007199,0.009876374,0.006794257,0.00632147,0.00403372,0.013365615,0.013269474,0.010826005,0.011333474,0.010673337,0.009486991,0.011773819,0.005021895,0.008324272,0.006037089,0.007990764,0.015939048,0.006309353,0.007340701,0.00484668,0.010911616,0.002994449,0.008134692,0.011263787,0.007120818,0.014303813,0.009534332,0.010879873,0.010150111,0.006894277,0.008064683,0.010136021,0.008397857,0.006825027,0.007879148,0.008741822
0.001505654,0.003563114,0.00700821,0.015250917,0.012852094,0.003541068,0.014603584,0.003929706,0.019613336,0.019613336,0.009304142,0.002863718,0.004890162,0.005969042,0.005757131,0.012505661,0.008130478,0.012710002,0.001431569,0.001431569,0.00224527,0.016344407,0.001638409,0.006052059,0.012675616,0.017216824,0.00479445,0.011874706,0.005900515,0.010774902,0.010371629,0.005236309,0.017279778,0.005429602,0.001431569,0.009294839,0.006089906
0.004407762,0.000857494,0.007257536,0.008665171,0.017483376,0.01461192,0.008774753,0.006505014,0.003294501,0.016524576,0.010486298,0.018145181,0.009332542,0.017682114,0.015551972,0.011786701,0.003711453,0.015515997,0.003321574,0.023357498,0.005133868,0.007579386,0.017010061,0.005432623,0.007557471,0.011465244,0.009295293,0.015548917,0.005136256,0.008787539,0.014940683,0.014414466,0.009710448,0.013507328,0.013339536,0.006356627,0.011821723
