Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R,module0_mean,module1_mean,module2_mean,module3_mean,module4_mean,module5_mean,module6_mean,module7_mean,module8_mean
0.002601351,0.001956499,0.006942421,0.006942421,0.004463296,0.004740403,0.004642138,0.006942421,0.003366866,0.003975274,0.005915335,0.005346913,0.00311558,0.002809555,0.005816687,0.005375282,0.004280629,0.005589029,0.00178859,0.003598122,0.00257171,0.005907838,0.005328666,0.003504484,0.003935288,0.003935288,0.005328666,0.00178637,0.004035602,0.005938625,0.005218422,0.005334217,0.003803179,0.002962567,0.002693356,0.004239774,0.003987046
0.012081132,0.012081132,0.000828898,0.000828898,0.001997595,0,0.012081132,0.010757667,0.00512543,0.00587005,0.001547582,0.004310915,0.000543901,0.000886356,0.00138638,0.00663298,0.0001295,0.001997595,0.00663298,0.001997595,0.012081132,0.001997595,0.001997595,0.000271334,0.012081132,0.012081132,0.000828898,0.001997595,0.011750266,0.000946223,0.003338985,0.001952832,0.008789436,0.000715128,0.004315287,0.007039363,0.001273855
0.001662117,0.004792915,0.007496223,0.010706959,0.009437623,0.008311019,0.001662117,0.002178333,0.002515995,0.009086083,0.004469169,0.006008641,0.01483006,0.006456271,0.008388475,0.011263199,0.01483006,0.004950395,0.000758238,0.012317694,0.005572032,0.005954713,0.008166994,0.008053788,0.007358797,0.004789563,0.010314887,0.007097838,0.00257387,0.00949591,0.009696432,0.006262943,0.00593761,0.010643166,0.006537966,0.005763372,0.008408377
0.012166758,0.00630557,0.006693235,0.009017188,0.023589628,0.006548308,0.008868645,0.014117754,0.009176329,0.005337796,0.001029866,0.015428535,0.015447727,0.016179298,0.013273356,0.014316614,0.008697119,0.006147992,0.008179827,0.001721767,0.003622004,0.016384346,0.007350045,0.003502289,0.012311956,0.018167384,0.010646597,0.007823348,0.010364682,0.007638884,0.017059866,0.007668903,0.011248366,0.015813513,0.004950797,0.010003175,0.00733057
0.002710409,0.005756506,0.001368321,0.003527511,0.003280761,0.005074315,0.005756506,0.005756506,0.005756506,0.004185221,0.00350303,0.005756506,0.001368321,0.003527511,0.002302012,0.002302012,0.003280761,0.003527511,0,0.001796428,0.003138474,0.000681434,0.003280761,0.003280761,0.002302012,0.005756506,0.001368321,0.00082317,0.004994982,0.002926026,0.002628262,0.00477795,0.004500061,0.002447916,0.000898214,0.001909954,0.002188253
0.017245796,0.010977852,0.006679589,0.009052209,0.009115109,0.010538152,0.009052209,0.005063207,0.014560522,0.027345746,0.008523891,0.003113047,0.021182497,0.01349838,0.011520639,0.006408489,0.009052209,0.009052209,0.019232287,0.00698834,0.01605728,0.005591761,0.004594936,0.011425094,0.01043123,0.008905112,0.00775662,0.009029893,0.010584766,0.008459054,0.009014746,0.007391696,0.015310653,0.017340439,0.013110313,0.01082452,0.008201636
0.003120179,0.001900377,0.003127529,0.003128505,0.004058689,0.004058689,0.002153453,0.003339703,0.004058689,0.001872702,0.002857171,0.004058689,0.002308881,0.001982692,0.003339703,0.004058689,0.004058689,0.004058689,0.003259552,0.003517542,0.001019646,0.001564797,0.0021651,0.00088961,0.003006799,0.002489569,0.004058689,0.003108058,0.002628428,0.003593353,0.003819027,0.003658183,0.00285694,0.002145786,0.003388547,0.001292221,0.002555364
0.000237417,0.004146733,0.002429418,0.004574084,0.004141572,0.000862865,0.002690975,0.001843047,0.002429418,0.004574084,0.004574084,0.001843047,0.002192001,0.001928238,0.004574084,0.000862865,0.002429418,0.004574084,0.002258463,0.000242578,0.002192001,0.003987713,0.002690975,0.002690975,0.002690975,0.002690975,0.004574084,0.001996906,0.002229543,0.003501751,0.00319284,0.002426665,0.003096363,0.002060119,0.001250521,0.003089857,0.002988235
0.004320391,0.005047796,0.004182577,0.006620932,0.004182577,0.002865421,0.00820407,0.005259691,0.000508627,0.004068617,0.004182577,0.002797287,0.001674763,0.006411779,0.002141929,0.000551686,0.001439855,0.00820407,0.000951628,0.004182577,0.004182577,0.004182577,0.00783111,0.001409596,0.00412312,0.00489464,0.00820407,0.004182577,0.005707987,0.005111859,0.002292064,0.003281762,0.003398751,0.004043271,0.002567102,0.004182577,0.005406838
0,0.001701488,0,0,0.049911817,0,0.007573599,0.029653371,0,0,0.015189029,0.009507982,0.001313707,0.003877809,0.009558857,0.009558857,0,0,0.001313707,0.005630172,0.027107358,0.033724506,0.140276082,0.003015195,0.003015195,0.10944354,0.003015195,0,0.009732115,0,0.023009843,0.008232337,0.028114684,0.002595758,0.00347194,0.030415932,0.036576618
