Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R,module0_mean,module1_mean,module2_mean,module3_mean,module4_mean,module5_mean,module6_mean,module7_mean,module8_mean
0.964912281,0.95256917,0.926153846,0.926153846,0.886666667,0.94,0.936842105,0.926153846,0.960144928,0.949275362,0.94,0.889230769,0.923333333,0.877492877,0.887681159,0.877492877,0.93,0.93,1,0.873846154,0.873188406,0.926153846,0.974025974,0.95256917,0.964426877,0.943333333,0.877492877,0.934782609,0.945119351,0.928076923,0.883946901,0.923076923,0.954295125,0.900413105,0.936923077,0.899671126,0.934717658
0.897435897,0.897435897,0.981884058,0.923076923,0.95256917,0.983333333,0.897435897,0.897435897,0.946666667,0.923076923,0.960144928,0.964426877,0.980952381,0.970588235,0.953333333,0.926153846,0.988142292,0.953333333,0.897435897,0.926153846,0.901538462,0.93,0.897435897,0.934782609,0.897435897,0.92,0.923076923,0.981884058,0.897435897,0.961609152,0.944018783,0.969301713,0.921794872,0.975770308,0.911794872,0.915769231,0.934294872
0.907692308,0.905797101,0.91,0.907692308,0.894927536,0.90952381,0.948051948,0.926666667,0.943722944,0.884057971,0.944664032,0.938405797,0.871794872,0.870769231,0.891774892,0.907692308,0.871794872,0.876811594,0.878787879,0.876811594,0.907692308,0.906666667,0.884057971,0.894736842,0.905797101,0.923913043,0.886153846,0.93115942,0.922052006,0.891574693,0.898131579,0.930864546,0.914372765,0.871282051,0.877799736,0.907179487,0.89902702
0.81027668,0.844155844,0.852813853,0.842105263,0.746666667,0.786764706,0.766666667,0.786764706,0.786666667,0.878947368,0.619047619,0.8,0.807971014,0.826315789,0.813852814,0.781538462,0.818181818,0.865497076,0.867647059,0.847953216,0.808823529,0.812865497,0.861471861,0.821052632,0.828571429,0.786666667,0.845849802,0.807971014,0.801965974,0.844649503,0.780685981,0.735270775,0.820213033,0.817143402,0.857800138,0.810844513,0.834086327
0.952898551,0.930735931,0.946666667,0.946666667,0.923076923,0.945652174,0.891737892,0.923076923,0.891737892,0.934065934,0.948616601,0.923076923,0.972332016,0.920289855,0.895384615,0.903333333,0.910769231,0.891737892,0.934640523,0.961038961,0.910769231,0.909090909,0.923076923,0.891737892,0.913333333,0.898461538,0.891737892,0.978947368,0.924612324,0.923960114,0.907264957,0.939115233,0.909399674,0.946310935,0.947839742,0.90993007,0.921375019
0.835497835,0.786561265,0.775362319,0.819047619,0.847953216,0.779411765,0.806324111,0.842105263,0.795238095,0.790513834,0.761904762,0.835164835,0.69047619,0.699604743,0.717948718,0.644444444,0.83982684,0.786231884,0.705882353,0.638888889,0.884210526,0.873684211,0.83982684,0.8,0.871345029,0.804761905,0.742857143,0.785714286,0.817622119,0.805117165,0.736782126,0.792160454,0.815464716,0.695040467,0.672385621,0.878947368,0.792099567
0.903333333,0.928104575,0.876666667,0.930735931,0.851851852,0.851851852,0.883333333,0.884057971,0.876666667,0.903333333,0.867692308,0.926406926,0.873188406,0.873333333,0.903333333,0.883333333,0.876811594,0.870769231,0.883116883,0.891774892,0.909090909,0.905797101,0.933333333,0.971428571,0.873846154,0.948529412,0.898550725,0.898550725,0.899707303,0.888745856,0.879506173,0.881983695,0.900593891,0.87326087,0.887445887,0.907444005,0.925465839
0.988304094,0.926153846,0.914529915,0.914529915,0.914529915,0.963333333,0.926153846,0.944615385,0.944615385,0.914529915,0.914529915,0.944615385,0.914529915,0.957142857,0.944615385,0.944615385,0.953333333,0.914529915,0.95256917,0.971428571,0.963333333,0.96,0.932307692,0.949275362,0.926153846,0.946666667,0.96,0.980952381,0.946306793,0.924230769,0.934586895,0.940826211,0.932991453,0.935836386,0.961998871,0.961666667,0.955633859
0.928104575,0.924901186,0.903333333,0.903333333,0.886666667,0.846153846,0.826666667,0.938095238,0.952380952,0.870769231,0.870769231,0.870769231,0.923913043,0.886666667,0.861660079,0.954248366,0.916996047,0.856666667,0.714285714,0.903333333,0.897233202,0.870769231,0.877470356,0.935064935,0.906432749,0.861660079,0.863333333,0.870769231,0.904441916,0.895082345,0.900858371,0.862564103,0.897810753,0.905289855,0.808809524,0.884001216,0.886659464
0.981818182,0.939393939,1,1,0.75,0.95,0.752380952,0.689473684,0.904411765,0.869281046,0.675889328,0.812865497,0.884615385,0.789473684,0.778947368,0.778947368,1,1,0.924242424,0.812865497,0.655797101,0.657142857,0.648221344,0.80952381,0.80952381,0.666666667,0.871794872,1,0.840766689,1,0.769298246,0.812918275,0.812470822,0.837044534,0.868553961,0.656469979,0.832385006
0.977207977,0.987692308,0.977207977,0.977207977,0.977207977,0.983333333,0.977207977,0.977207977,0.987692308,0.977207977,0.977207977,0.981538462,0.977207977,0.987692308,0.988142292,0.977207977,0.977207977,0.977207977,0.981538462,0.977207977,0.981538462,0.977207977,0.99,0.977207977,0.977207977,0.977207977,0.983333333,0.977207977,0.97982906,0.977207977,0.980852749,0.980693257,0.97982906,0.982450142,0.979373219,0.979373219,0.981937322
0.861111111,0.8,0.901185771,0.769230769,0.939393939,0.742105263,0.901185771,0.851449275,0.952380952,0.8,0.8,0.735384615,0.813186813,0.764492754,0.826086957,0.753246753,0.851449275,0.901185771,0.857142857,0.966666667,0.988304094,0.973684211,0.938095238,0.966666667,0.922077922,0.883116883,0.984210526,0.939393939,0.853436539,0.855762897,0.839575883,0.759163293,0.889393939,0.788839783,0.911904762,0.980994152,0.957091593
0.801169591,0.901098901,0.713768116,0.758893281,0.739130435,0.763157895,0.742857143,0.731578947,0.774703557,0.804761905,0.848484848,0.909090909,0.738562092,0.713450292,0.766666667,0.876190476,0.778656126,0.768115942,0.701538462,0.794117647,0.875816993,0.944444444,0.871345029,0.80952381,0.826839827,0.833333333,0.852631579,0.818181818,0.794176145,0.754858366,0.793995859,0.840244551,0.809909656,0.726006192,0.747828054,0.910130719,0.837920559
0.858461538,0.864615385,0.883333333,0.902173913,0.849002849,0.894927536,0.928853755,0.897233202,0.902173913,0.90942029,0.921052632,0.880952381,0.846153846,0.90942029,0.852813853,0.85620915,0.863157895,0.883333333,0.849802372,0.849002849,0.90942029,0.915789474,0.849002849,0.88,0.913043478,0.916666667,0.87,0.893280632,0.88729097,0.882999619,0.852675284,0.898977516,0.910326087,0.877787068,0.84940261,0.912604882,0.87307087
0.878787879,0.892307692,0.877492877,0.913846154,0.936666667,0.9,0.898550725,0.877492877,0.913846154,0.923333333,0.877492877,0.903333333,0.95256917,0.956709957,0.945652174,0.953216374,0.942028986,0.93,0.881422925,0.895424837,0.893280632,0.896666667,0.93,0.936666667,0.913846154,0.92,0.923809524,0.877492877,0.886784793,0.915842004,0.945178405,0.893608737,0.91775641,0.954639563,0.888423881,0.89497365,0.916992267
0.923076923,0.964426877,0.923076923,0.923076923,0.946666667,0.936666667,0.923076923,0.935384615,0.923076923,0.923076923,0.961904762,0.956709957,0.929230769,0.929230769,0.948616601,0.923076923,0.923076923,0.923076923,0.943722944,0.926666667,0.945652174,0.932307692,0.929230769,0.923076923,0.942028986,0.944664032,0.960474308,0.95256917,0.936491335,0.923076923,0.939453397,0.951760462,0.933211716,0.929230769,0.935194805,0.938979933,0.941337793
0.90942029,0.934640523,0.88,0.863247863,0.913043478,0.876190476,0.90513834,0.917748918,0.894927536,0.877470356,0.886666667,0.863247863,0.9,0.91,0.919047619,0.895238095,0.870769231,0.863247863,0.901098901,0.863247863,0.881422925,0.893333333,0.91,0.917748918,0.892307692,0.892307692,0.928853755,0.917748918,0.916737018,0.869316239,0.909109731,0.875368335,0.889253319,0.905,0.882173382,0.887378129,0.918587898
0.861904762,0.852631579,0.794466403,0.948529412,0.857894737,0.838095238,0.866666667,0.9,0.822510823,0.739130435,0.766666667,0.818181818,0.791666667,0.723333333,0.752380952,0.757142857,0.747368421,0.710144928,0.966666667,0.869281046,0.798418972,0.866666667,0.8,0.888888889,0.746666667,0.860294118,0.733333333,0.888888889,0.870300752,0.800127291,0.789139515,0.807647908,0.79215051,0.7575,0.917973856,0.832542819,0.827777778
