ID,Amygdala_L_cluster,Amygdala_R_cluster,Dorsal_striatum_L_cluster,Dorsal_striatum_R_cluster,Fusiform_gyrus_L_cluster,Fusiform_gyrus_R_cluster,Hippocampus_L_cluster,Hippocampus_R_cluster,Insula_L_cluster,Insula_R_cluster,Intracalcarine_cortex_L_cluster,Intracalcarine_cortex_R_cluster,lOFC_L_cluster,lOFC_R_cluster,mOFC_L_cluster,mOFC_R_cluster,Oral_somatosensory_cortex_R_cluster,Oral_somatosensory_cortex_L_cluster,Precuneus_L_cluster,Precuneus_R_cluster,Ventral_striatum_L_cluster,Ventral_striatum_R_cluster,vlPFC_L_cluster,vlPFC_R_cluster,vlThalamus_L_cluster,vlThalamus_R_cluster,vmPFC_L_cluster,vmPFC_R_cluster,Amygdala_L_central,Amygdala_R_central,Dorsal_striatum_L_central,Dorsal_striatum_R_central,Fusiform_gyrus_L_central,Fusiform_gyrus_R_central,Hippocampus_L_central,Hippocampus_R_central,Insula_L_central,Insula_R_central,Intracalcarine_cortex_L_central,Intracalcarine_cortex_R_central,lOFC_L_central,lOFC_R_central,mOFC_L_central,mOFC_R_central,Oral_somatosensory_cortex_R_central,Oral_somatosensory_cortex_L_central,Precuneus_L_central,Precuneus_R_central,Ventral_striatum_L_central,Ventral_striatum_R_central,vlPFC_L_central,vlPFC_R_central,vlThalamus_L_central,vlThalamus_R_central,vmPFC_L_central,vmPFC_R_central
1,1,0,0.641666667,0.803030303,0.666666667,0.516483516,0.722222222,0.666666667,0.67032967,0.757575758,1,0.714285714,0,0.709090909,0.747252747,1,0.452380952,0.50877193,0.833333333,0.666666667,1,0.541666667,0.619047619,0.7,0.818181818,0.933333333,0.606060606,0.608333333,0,0,0.033949024,0.009556133,0.077887545,0.056734264,0.026446085,0.057764201,0.025124361,0.009409623,0,0.007841541,0,0.014508434,0.015807546,0,0.173720313,0.096214331,0.000949668,0.002279202,0,0.13038664,0.010553181,0.002213733,0.006354859,0.000474834,0.045260706,0.037019616
2,0,0.692307692,0.596491228,0.68627451,0.644444444,0,0.676190476,0.333333333,0.720588235,0.863636364,0.6,0.733333333,0.8,0.733333333,0,0.333333333,0.626315789,0.658333333,0,0.78021978,0.857142857,0.725,0.777777778,0.755555556,0.916666667,0.730769231,0.577777778,0.647058824,0.009772635,0.030901538,0.076139633,0.025102841,0.013884122,0.001643655,0.067655556,0.055552425,0.019119935,0.004184222,0.088104401,0.014218869,0.005058996,0.016747924,0.002849003,0.024976258,0.039466564,0.022646284,0,0.010097207,0.00164496,0.017145983,0.003584995,0.005027586,0.000838873,0.009691132,0.027791171,0.047178874
3,0.333333333,0,0.770562771,0.678362573,0.714285714,0.905263158,0.828571429,1,0.905263158,0.74025974,0.905263158,0.905263158,0.333333333,1,0.921568627,0.993464052,0.878947368,0.878947368,0.918128655,0.9,0.993464052,0.9,0.970760234,0.883040936,1,0.5,0.9,0.970760234,0.002158335,0,0.051787419,0.073051331,0.006932574,0.006883095,0.029081576,0,0.006883095,0.092760798,0.006883095,0.006883095,0.000881834,0,0.006530198,0.000167588,0.027840224,0.030950386,0.00717262,0.009380135,0.000167588,0.009380135,0.000940889,0.029154796,0,0.005460589,0.009380135,0.000940889
4,0.7,0,0.561904762,0.866666667,0.785714286,1,0.666666667,0.397435897,0.641025641,0.590909091,0.545454545,0.622222222,0.618181818,0.333333333,0.6,0.563636364,0.626373626,0.555555556,0.621212121,0,0.619047619,0.549450549,0.805555556,0.636363636,1,0.571428571,0.505263158,0.712121212,0.002018335,0,0.040726817,0.000949668,0.002497473,0,0.00698777,0.166162637,0.024524455,0.051007695,0.026400389,0.014880752,0.209933636,0.142450142,0.020126325,0.030695752,0.026271619,0.024778846,0.02355357,0,0.04760891,0.038697057,0.005421019,0.012432879,0,0.006879033,0.108312068,0.02651221
5,0.678571429,0,0.705627706,0.711462451,0.70952381,0.833333333,0.944444444,0,0.773684211,0.805263158,1,0.803921569,0.847619048,0.732026144,0.854545455,0.838095238,0.771428571,0.830409357,0.895238095,0.704761905,0.821052632,0.641666667,0.895238095,0.812865497,0.671936759,0.810457516,0.830409357,0.81871345,0.006067698,0.000356125,0.038826064,0.029910597,0.03155796,0.000407,0.000638867,0,0.016007627,0.01177842,0,0.010737976,0.005439879,0.01778485,0.002044541,0.006085427,0.019917401,0.00880372,0.003620999,0.040039448,0.008986048,0.047852919,0.002884153,0.011851021,0.045252148,0.009844283,0.007789251,0.008677971
6,0.588235294,0.833333333,0.504761905,0.723809524,0.725274725,0.555555556,0.619047619,0.8,0.909090909,0.620915033,0.5,0.472222222,0.6,0.755555556,0.712121212,0.4,0.733333333,0.561403509,0.625,0.733333333,0.571428571,0.666666667,0.733333333,0.733333333,0.549019608,0.654411765,0.619047619,0.616666667,0.072931621,0.001756885,0.089065205,0.017169231,0.01642401,0.016114672,0.044964546,0.002057613,0.001863086,0.037128866,0.017779808,0.015718978,0.002321598,0.010706937,0.010530962,0.02763838,0.002564103,0.061009335,0.032299694,0.002389432,0.008797992,0.024296796,0.003289746,0.00322887,0.079279064,0.029265905,0.004714371,0.031358961
7,0.8,0.638888889,0.615789474,0.758241758,0.6,0.6,0.666666667,0.709090909,0.821428571,0.713235294,0.633333333,0.617647059,0.653594771,0.742857143,0.666666667,0.833333333,0.714285714,0.576190476,0.8,0.787878788,0,0,0.666666667,0.676470588,0.637362637,0.58974359,0.6,0.733333333,0.000641026,0.026410652,0.042330659,0.009797207,0.051382357,0.075096972,0.014398116,0.012883916,0.001748406,0.017303451,0.044283565,0.045207552,0.029078171,0.017604825,0.00153991,0.001650629,0.014928966,0.057702556,0.005801991,0.007217267,0,0.001160665,0.006525579,0.029905993,0.033572855,0.031498489,0.004361514,0.011408305
9,0.727272727,0.690909091,1,0.560606061,0.428571429,1,0.653846154,0.590909091,0.637362637,0.666666667,0.619047619,0.653846154,0.636363636,0.659340659,0.527472527,0.4,0.654545455,0.636363636,0.527272727,0.866666667,0.333333333,0,0.777777778,0.619047619,0.602941176,0.575163399,0.666666667,0.5,0.014927924,0.009806156,0,0.042285991,0.066337282,0,0.026246782,0.06814234,0.029120052,0.014527736,0.041460116,0.029219536,0.020086146,0.022355388,0.077086195,0.020429639,0.021603763,0.035407834,0.034651627,0.000712251,0.003561254,0,0.009188865,0.042745256,0.047384443,0.061418151,0.00299895,0.010433075
10,0.333333333,0.6,0.461538462,0.454545455,0.763636364,0.805555556,0.666666667,0.545454545,0.787878788,0.666666667,0.65,0.685714286,0.805555556,0.608333333,0.712121212,0.714285714,0.6,0.722222222,0,0.333333333,1,0.441666667,0.560606061,0.5,0.769230769,0.794871795,0.628571429,0.533333333,0.002543753,0.003402976,0.045854644,0.180941491,0.007677713,0.002893197,0.004690782,0.066099818,0.011735058,0.018697026,0.024777087,0.018236283,0.003517162,0.080212507,0.012456351,0.015440998,0.00989099,0.009570759,0.000949668,0.008942703,0,0.100509195,0.044641157,0.002666983,0.008943469,0.008727635,0.048649858,0.020863499
11,0.472727273,0.571428571,0.4,0.333333333,0,0.7,0.6,0.80952381,0,0,0.476190476,1,0,0.266666667,0.9,0.733333333,0.35,0.666666667,0,0,0.607142857,0.5,0.454545455,0.8,0,0.5,0.577777778,0,0.085576152,0.025199286,0.060642752,0.064102564,0,0.006159273,0.019872103,0.003774929,0.062678063,0.11965812,0.049849533,0,0,0.18151437,0.000949668,0.004700855,0.154632713,0.00381717,0,0,0.021774522,0.014141414,0.060066477,0.002215891,0,0.019039397,0.022540731,0
