ID,sweet_level,module,clustering,centrality
1,2,1,0.597222222,0.021052572
2,4,1,0.425457875,0.040970539
3,2,1,0.540476191,0.007809978
4,3,1,0.441025641,0.043792186
5,4,1,0.405753968,0.001765673
6,3,1,0.710154062,0.030427666
7,3,1,0.703661616,0.013583428
9,4,1,0.665734266,0.029780801
10,4,1,0.536363636,0.019184332
11,4,1,0.613419914,0.033605618
12,4,1,0.449404762,0.020475972
13,4,1,0.530223797,0.03076061
14,3,1,0.583333333,0.046707026
15,4,1,0.517399267,0.029997972
16,4,1,0.711011905,0.020685891
17,4,1,0.497023809,0.043197286
18,4,1,0.328571429,0.021249121
19,4,1,0.3,0.056146271
20,1,1,0.622377623,0.024606162
21,4,1,0.647222223,0.009256407
22,4,1,0.623106061,0.042450786
24,2,1,0.718808357,0.028215224
25,1,1,0.628571429,0.023938537
26,2,1,0.699144188,0.026353807
27,4,1,0.779166667,0.025124526
28,3,1,0.833333334,0.011426454
29,4,1,0.407142858,0.060557537
30,3,1,0.678571429,0.004792995
31,1,1,0.645021645,0.035445334
32,4,1,0.426797386,0.032694802
33,4,1,0.525757576,0.089747134
34,4,1,0.633333333,0.017599746
35,3,1,0.685975355,0.025985528
36,1,1,0.739285714,0.022348804
37,2,1,0.506655844,0.066357845
38,4,1,0.87977144,0.007638965
39,2,1,0.727648667,0.030209073
40,1,1,0.795959596,0.016289811
41,4,1,0.5,0.008937616
42,2,1,0.646668895,0.046785913
43,2,1,0.773232323,0.039863583
44,4,1,0.691369048,0.024403326
45,3,1,0.679693223,0.015015813
46,4,1,0.534632035,0.054117798
47,4,1,0.50952381,0.032509315
48,2,1,0.371113446,0.033658521
50,3,1,0.568487395,0.028802712
52,3,1,0.365598291,0.077824645
53,4,1,0.703896104,0.023276676
54,3,1,0.641720779,0.012131705
55,1,1,0.584126984,0.019548627
56,2,1,0.725,0.033989082
57,3,1,0.647348485,0.057597557
58,4,1,0.568312325,0.067420754
59,4,1,0.681073897,0.024679505
60,4,1,0.849242424,0.031331803
61,4,1,0.633928572,0.013412077
62,2,1,0.395238095,0.052910865
63,2,1,0.572222222,0.008262749
64,1,1,0.868591843,0.012820673
66,4,1,0.225,0.048125691
67,3,1,0.607575758,0.013534698
68,3,1,0.45,0.040266121
69,3,1,0.375,0.001424502
70,2,1,0.879563492,0.006095005
71,3,1,0.70952381,0.016795781
72,2,1,0.294444445,0.033245404
73,4,1,0.402056277,0.013390309
74,4,1,0.646475257,0.058139958
75,1,1,0.730112045,0.035623391
76,2,1,0.658333334,0.122878837
77,1,1,0.633547009,0.007925768
78,4,1,0.654435039,0.036454632
79,3,1,0.403571429,0.017890362
80,4,1,0.556547619,0.036355499
81,3,1,0.360714286,0.036982705
82,2,1,0.726028139,0.011176112
