"","Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_L","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"Amygdala_L",1.23364726837584e-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Amygdala_R",1,8.56953885444729e-33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dorsal_striatum_L",1,1,4.3657319951845e-28,0.00250629837676487,1,1,1,1,1,1,1,1,1,1,1,1,0.0643238962325224,0.0658737396661101,1,1,1,1,1,1,1,1,1,1
"Dorsal_striatum_R",1,1,0.0032328038354812,1.40553366483694e-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fusiform_gyrus_L",1,1,1,1,2.25684088266932e-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Fusiform_gyrus_R",1,1,1,1,1,5.25512673666519e-33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hippocampus_L",1,1,1,1,1,1,1.23419225206043e-29,0.0552587720359088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Hippocampus_R",1,1,1,1,1,1,0.0534594005202459,1.60096197958695e-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Insula_L",1,1,1,1,1,1,1,1,1.40019266195913e-31,0.705806895047346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Insula_R",1,1,1,1,1,1,1,1,0.668248293927255,5.34098550366502e-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Intracalcarine_cortex_L",1,1,1,1,1,1,1,1,1,1,2.11274440744879e-30,1.69272943519628e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Intracalcarine_cortex_R",1,1,1,1,1,1,1,1,1,1,1.76665626016842e-05,2.8811245106294e-32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"lOFC_L",1,1,1,1,1,1,1,1,1,1,1,1,5.119764751394e-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"lOFC_R",1,1,1,1,1,1,1,1,1,1,1,1,1,4.32684346470271e-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mOFC_L",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.6897495750206e-28,0.658399693529366,1,1,1,1,1,1,1,1,1,1,1,1
"mOFC_R",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.734241420510357,2.7214667741963e-28,1,1,1,1,1,1,1,1,1,1,1,1
"Oral_somatosensory_cortex_L",1,1,0.0506217096464151,1,1,1,1,1,1,1,1,1,1,1,1,1,5.1151778312099e-29,0.000190993905264941,1,1,1,1,1,1,1,1,1,1
"Oral_somatosensory_cortex_R",1,1,0.0531601296555737,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000217408437682895,6.13582428065461e-26,1,1,1,1,1,1,1,1,1,1
"Precuneus_L",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.80710670403146e-33,1,1,1,1,1,1,1,1,1
"Precuneus_R",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.8475999572017e-29,1,1,1,1,1,1,1,1
"Ventral_striatum_L",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.23700381052521e-28,1,1,1,1,1,1,1
"Ventral_striatum_R",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.31041208908043e-31,1,1,1,1,1,1
"vlPFC_L",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.42180661038188e-29,0.021555690517042,1,1,1,1
"vlPFC_R",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0242440571526899,3.7331895756481e-35,1,1,1,1
"vlThalamus_L",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.68869755637537e-31,1,1,1
"vlThalamus_R",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.91429673315107e-30,1,1
"vmPFC_L",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.29665351633562e-31,0.0594583439848022
"vmPFC_R",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0636298476007006,1.33019363908179e-31
