Amygdala (L),Amygdala (R),Dorsal striatum (L),Dorsal striatum (R),Fusiform gyrus (L),Fusiform gyrus (R),Hippocampus (L),Hippocampus (R),Insula (L),Insula (R),Intracalcarine cortex (L),Intracalcarine cortex (R),lOFC (L),lOFC (R),mOFC (L),mOFC (R),Oral somatosensory cortex (L),Oral somatosensory cortex (R),Precuneus (L),Precuneus (R),Ventral striatum (L),Ventral striatum (R),vlPFC (L),vlPFC (R),vlThalamus (L),vlThalamus (R),vmPFC (L),vmPFC (R)
1,0.307,0.143,0.14,0.183,0.121,0.291,0.248,0.153,0.14,0.108,0.125,0.104,0.106,0.107,0.128,0.0933,0.127,0.0805,0.116,0.176,0.178,0.0802,0.0697,0.14,0.157,0.112,0.0954
0.307,1,0.129,0.135,0.179,0.102,0.283,0.309,0.123,0.127,0.0811,0.112,0.0884,0.0799,0.0764,0.0876,0.0876,0.104,0.059,0.113,0.124,0.205,0.0433,0.0513,0.141,0.164,0.0875,0.0918
0.143,0.129,1,0.559,0.18,0.143,0.2,0.163,0.347,0.311,0.212,0.229,0.202,0.206,0.174,0.2,0.498,0.504,0.116,0.224,0.261,0.205,0.329,0.278,0.248,0.254,0.347,0.378
0.14,0.135,0.559,1,0.174,0.121,0.203,0.173,0.324,0.318,0.189,0.213,0.18,0.184,0.172,0.194,0.38,0.418,0.146,0.28,0.236,0.225,0.273,0.235,0.218,0.227,0.324,0.351
0.183,0.179,0.18,0.174,1,0.25,0.294,0.257,0.184,0.171,0.209,0.208,0.185,0.16,0.296,0.262,0.132,0.156,0.0662,0.135,0.16,0.121,0.0783,0.0611,0.194,0.222,0.223,0.172
0.121,0.102,0.143,0.121,0.25,1,0.183,0.159,0.167,0.145,0.381,0.373,0.171,0.204,0.225,0.237,0.125,0.157,0.0491,0.0916,0.142,0.103,0.0947,0.0573,0.137,0.173,0.082,0.0957
0.291,0.283,0.2,0.203,0.294,0.183,1,0.501,0.238,0.195,0.171,0.187,0.145,0.163,0.206,0.198,0.165,0.203,0.1,0.177,0.269,0.238,0.121,0.113,0.224,0.273,0.199,0.18
0.248,0.309,0.163,0.173,0.257,0.159,0.501,1,0.201,0.162,0.124,0.152,0.126,0.143,0.182,0.177,0.103,0.156,0.0762,0.151,0.225,0.252,0.0681,0.0893,0.192,0.234,0.154,0.139
0.153,0.123,0.347,0.324,0.184,0.167,0.238,0.201,1,0.458,0.224,0.251,0.2,0.235,0.155,0.206,0.343,0.411,0.0888,0.216,0.249,0.24,0.278,0.261,0.36,0.382,0.259,0.299
0.14,0.127,0.311,0.318,0.171,0.145,0.195,0.162,0.458,1,0.206,0.217,0.186,0.212,0.145,0.204,0.274,0.328,0.0766,0.18,0.203,0.19,0.217,0.212,0.269,0.315,0.231,0.306
0.108,0.0811,0.212,0.189,0.209,0.381,0.171,0.124,0.224,0.206,1,0.629,0.234,0.249,0.233,0.314,0.189,0.238,0.11,0.173,0.172,0.119,0.155,0.132,0.197,0.211,0.139,0.148
0.125,0.112,0.229,0.213,0.208,0.373,0.187,0.152,0.251,0.217,0.629,1,0.255,0.273,0.227,0.295,0.207,0.273,0.121,0.178,0.186,0.16,0.164,0.142,0.218,0.236,0.152,0.162
0.104,0.0884,0.202,0.18,0.185,0.171,0.145,0.126,0.2,0.186,0.234,0.255,1,0.359,0.183,0.19,0.224,0.218,0.0642,0.126,0.135,0.0752,0.155,0.129,0.211,0.214,0.162,0.115
0.106,0.0799,0.206,0.184,0.16,0.204,0.163,0.143,0.235,0.212,0.249,0.273,0.359,1,0.185,0.217,0.207,0.227,0.0485,0.12,0.11,0.0365,0.119,0.0927,0.286,0.254,0.117,0.0894
0.107,0.0764,0.174,0.172,0.296,0.225,0.206,0.182,0.155,0.145,0.233,0.227,0.183,0.185,1,0.453,0.165,0.154,0.0619,0.125,0.194,0.116,0.121,0.0829,0.17,0.179,0.305,0.229
0.128,0.0876,0.2,0.194,0.262,0.237,0.198,0.177,0.206,0.204,0.314,0.295,0.19,0.217,0.453,1,0.171,0.198,0.0369,0.134,0.158,0.128,0.144,0.119,0.18,0.187,0.226,0.225
0.0933,0.0876,0.498,0.38,0.132,0.125,0.165,0.103,0.343,0.274,0.189,0.207,0.224,0.207,0.165,0.171,1,0.598,0.0774,0.155,0.231,0.187,0.375,0.276,0.231,0.236,0.326,0.362
0.127,0.104,0.504,0.418,0.156,0.157,0.203,0.156,0.411,0.328,0.238,0.273,0.218,0.227,0.154,0.198,0.598,1,0.0947,0.204,0.289,0.235,0.37,0.322,0.271,0.286,0.294,0.351
0.0805,0.059,0.116,0.146,0.0662,0.0491,0.1,0.0762,0.0888,0.0766,0.11,0.121,0.0642,0.0485,0.0619,0.0369,0.0774,0.0947,1,0.224,0.0599,0.0849,0.134,0.111,0.07,0.0742,0.141,0.0659
0.116,0.113,0.224,0.28,0.135,0.0916,0.177,0.151,0.216,0.18,0.173,0.178,0.126,0.12,0.125,0.134,0.155,0.204,0.224,1,0.19,0.178,0.169,0.175,0.168,0.171,0.238,0.207
0.176,0.124,0.261,0.236,0.16,0.142,0.269,0.225,0.249,0.203,0.172,0.186,0.135,0.11,0.194,0.158,0.231,0.289,0.0599,0.19,1,0.379,0.198,0.195,0.173,0.197,0.313,0.296
0.178,0.205,0.205,0.225,0.121,0.103,0.238,0.252,0.24,0.19,0.119,0.16,0.0752,0.0365,0.116,0.128,0.187,0.235,0.0849,0.178,0.379,1,0.127,0.158,0.156,0.177,0.225,0.254
0.0802,0.0433,0.329,0.273,0.0783,0.0947,0.121,0.0681,0.278,0.217,0.155,0.164,0.155,0.119,0.121,0.144,0.375,0.37,0.134,0.169,0.198,0.127,1,0.481,0.171,0.166,0.337,0.338
0.0697,0.0513,0.278,0.235,0.0611,0.0573,0.113,0.0893,0.261,0.212,0.132,0.142,0.129,0.0927,0.0829,0.119,0.276,0.322,0.111,0.175,0.195,0.158,0.481,1,0.164,0.149,0.316,0.323
0.14,0.141,0.248,0.218,0.194,0.137,0.224,0.192,0.36,0.269,0.197,0.218,0.211,0.286,0.17,0.18,0.231,0.271,0.07,0.168,0.173,0.156,0.171,0.164,1,0.437,0.183,0.17
0.157,0.164,0.254,0.227,0.222,0.173,0.273,0.234,0.382,0.315,0.211,0.236,0.214,0.254,0.179,0.187,0.236,0.286,0.0742,0.171,0.197,0.177,0.166,0.149,0.437,1,0.186,0.176
0.112,0.0875,0.347,0.324,0.223,0.082,0.199,0.154,0.259,0.231,0.139,0.152,0.162,0.117,0.305,0.226,0.326,0.294,0.141,0.238,0.313,0.225,0.337,0.316,0.183,0.186,1,0.492
0.0954,0.0918,0.378,0.351,0.172,0.0957,0.18,0.139,0.299,0.306,0.148,0.162,0.115,0.0894,0.229,0.225,0.362,0.351,0.0659,0.207,0.296,0.254,0.338,0.323,0.17,0.176,0.492,1
