"","Amygdala_L","Amygdala_R","Dorsal_striatum_L","Dorsal_striatum_R","Fusiform_gyrus_L","Fusiform_gyrus_R","Hippocampus_L","Hippocampus_R","Insula_L","Insula_R","Intracalcarine_cortex_L","Intracalcarine_cortex_R","lOFC_L","lOFC_R","mOFC_L","mOFC_R","Oral_somatosensory_cortex_L","Oral_somatosensory_cortex_R","Precuneus_L","Precuneus_R","Ventral_striatum_L","Ventral_striatum_R","vlPFC_L","vlPFC_R","vlThalamus_L","vlThalamus_R","vmPFC_L","vmPFC_R"
"Amygdala_L",60.5498392562886,2.23106458614425,-0.849766276675899,-0.759723474668676,0.237940375159423,-0.508412934715577,1.64526081952514,1.51865921350874,-0.739401105165706,-0.756530922978571,-1.04775725492097,-0.969045411147682,-0.88182783757415,-0.852160100743545,-0.752371390439415,-0.701834838212623,-1.12117605195043,-0.956195137233736,-0.775312984561353,-0.722360889766967,0.0929329074314206,0.455604354974279,-1.44885638880787,-1.39709604555991,-0.499117633671283,-0.29873079981601,-1.15758817421661,-1.17397134424333
"Amygdala_R",2.29408544705807,104.821951217977,-1.05263535332996,-0.83428663983379,0.26027150746034,-0.554765222746422,1.69455502629422,2.17012282855888,-0.943809141229554,-0.767310753102908,-1.22148544104958,-1.05823554759688,-1.04010884218415,-0.987164479960951,-1.03776097449341,-1.03272437402414,-1.41196822606182,-1.34608418283034,-0.77967370756321,-0.612361366530215,-0.396523068316107,0.651559246534367,-1.91315342738269,-1.63337151731911,-0.42630952978079,-0.169558429505612,-1.42401197104816,-1.33943164993099
"Dorsal_striatum_L",-0.920874522430592,-1.06123811346003,68.9173229878305,5.88276719644431,-0.863206148394637,-1.22867456787029,-0.716540704741856,-0.979803703736552,1.97905475742129,1.65924797991884,-0.458406642908813,-0.327138151143769,-0.0667189203429073,0.0184985637734158,-0.626138835645913,-0.387095398227919,4.64108637910457,4.6315584954132,-0.556239957702528,0.575564072505524,0.841739936151999,0.29827751097301,2.20067036475018,1.65469402667588,0.447523471779084,0.314421020134182,2.10114917240112,2.70089977332922
"Dorsal_striatum_R",-0.754916146255666,-0.797171455567597,5.78406883033907,65.8637039889874,-0.820162984064519,-1.43362905977683,-0.598155822510554,-0.778113903787233,1.71875681440989,1.74164730337639,-0.685356446918909,-0.524255343324744,-0.222051531388623,-0.246045084135743,-0.811491077914273,-0.587438947596027,3.04851171037158,3.2780951737597,-0.220595271014903,1.15933628959324,0.581238598410884,0.455055707040124,1.64726527778903,1.33781988320852,0.225690424257822,0.112171127910981,1.86012242626914,2.45651479789289
"Fusiform_gyrus_L",0.303491231496976,0.262738505086384,-0.797561311765438,-0.757868058651824,92.3683816166664,1.06041499637874,1.32029709388029,1.11786224590605,-0.613026426023869,-0.604414878969863,0.325105226532469,0.225133021576055,0.195960684820941,0.0132619763765287,1.59352622033738,1.14075626557879,-1.05725973435152,-1.06339606278173,-1.09198516718259,-0.794186834887187,-0.467580880540051,-0.710019412030932,-1.71390075951469,-1.76441730435486,-0.0288003491696882,0.237291513328258,-0.241682800630971,-0.669654993054439
"Fusiform_gyrus_R",-0.38682441932904,-0.514437794758086,-1.20426852169748,-1.39362033522694,1.0802206458269,106.821873577302,-0.130016934139698,-0.161931385734644,-0.713327905116172,-0.660533295991419,3.14723761850579,2.92716069241305,0.473056723306611,0.813962069006562,0.908776923242137,1.17517207889463,-1.10172994203698,-0.93743424900144,-1.05968514761943,-1.16479144287186,-0.766277156017857,-1.01477391095538,-1.493158002801,-1.74702488688931,-0.420387607061792,-0.119190175739488,-1.75972329002887,-1.61522876120007
"Hippocampus_L",1.66053422402815,1.70233340043124,-0.691511126852295,-0.560122774445865,1.26620879992297,-0.204040445839234,79.126346930965,4.70013771055477,-0.0522350819476632,-0.30457763436603,-0.800043983921425,-0.656175755782787,-0.804997174917922,-0.579916244719731,-0.11206391610034,-0.265826968327768,-0.965011708290109,-0.713988098979357,-0.835623423673252,-0.36170185981491,0.647569373662433,0.815331789634714,-1.42449315287881,-1.35317479638308,0.185591923672728,0.766914313637994,-0.611845711601363,-0.731306605125313
"Hippocampus_R",1.56935883328858,2.18438517126945,-0.999608992981456,-0.786671787066742,1.05912000163841,-0.233547441983309,4.71318048065958,93.609209184211,-0.442000415981053,-0.649907477669234,-0.982950732478794,-0.818526849542769,-0.869012968433624,-0.651650359304554,-0.154889218302346,-0.301167865577524,-1.45442852821484,-1.10483623604663,-0.881041346982518,-0.509363459549332,0.399764051184704,1.01178362230629,-1.89530411854027,-1.56455840679439,-0.0722788040159145,0.41068611511853,-0.946076799624409,-1.03580142201609
"Insula_L",-0.708946457551507,-0.905119953322485,2.04948050427894,1.73054874690129,-0.636694272185908,-0.764256930995027,-0.0846111798764749,-0.379717773787672,94.0989375006433,3.72393660480775,-0.190882999085692,0.00885192926819714,0.0214872727435,0.43067514579447,-0.916209893285976,-0.394740487777454,2.18089705774429,2.81482704469424,-1.12700955687336,0.156198615810416,0.687042705239715,0.613406907011356,1.35925029347198,1.22400412109974,2.06310277730511,2.21424207526572,0.80627111376387,1.46591284156717
"Insula_R",-0.77365237769565,-0.803465680751427,1.71557886209171,1.76145394600063,-0.703154048998374,-0.742196008018653,-0.400181137151364,-0.646940904289305,3.74567995741368,68.3786536074381,-0.175474324883839,-0.0918867960452094,0.0260134905916554,0.371528627103699,-0.861496308894714,-0.277322012235617,1.47887333264492,1.88142106280057,-0.869027329090818,0.116097887029869,0.208883360213998,0.193030402757757,0.860346744338303,0.877373384194087,1.30815789626654,1.51934392853869,0.658137489487286,1.47983329050991
"Intracalcarine_cortex_L",-0.926733642086773,-1.17437527261256,-0.459098963199888,-0.660523002937718,0.356041539530056,3.15613849168814,-0.730323981487369,-0.897833523117486,-0.142240025869298,-0.133976910027487,84.710145478911,7.89972485307713,0.98137270600008,1.23445071631247,0.792101059137097,1.69189386391071,-0.405050890510003,-0.0954132568855946,-0.670747706411728,-0.493093293139648,-0.658452831451178,-1.0164688131115,-0.857964109991515,-1.01171874451342,0.0503620769672652,0.0962844474894658,-1.23365068772501,-1.05343353972541
"Intracalcarine_cortex_R",-0.876038409394303,-1.04853804376968,-0.313344121569699,-0.480829307586297,0.281955998986799,2.90486500829234,-0.557491326082435,-0.722720966921837,0.0359466486734393,-0.0593702706373791,7.88103705785923,100.029551619277,1.03100767540766,1.27775588924634,0.715615974478319,1.53520981754787,-0.282491051677101,0.0887377107173069,-0.636900364619379,-0.478741634287307,-0.651690849018465,-0.862450216128795,-0.787025250883213,-0.939470653958314,0.12333218324899,0.191666686616639,-1.19504474506825,-0.955203863131518
"lOFC_L",-0.832164161343464,-1.03832566304417,-0.0760379971473727,-0.276466453602209,0.184219920562692,0.483446434196806,-0.788415251644989,-0.819580357563415,0.0263393718001892,0.0333370224492013,1.00434015913146,1.08630145178377,89.4816751891599,2.66189542404865,0.178729580725064,0.391849544433954,0.308286746561905,0.168984324257089,-0.983393530519854,-0.681381861709075,-1.04956796278453,-1.59240238877849,-0.411615875542205,-0.671209577948967,0.567303576869211,0.486369859383446,-0.770555084544609,-1.00027146221126
"lOFC_R",-0.829973518917712,-1.02509794563661,0.12078081352658,-0.156549375873457,-0.0705735242303804,0.710026519847127,-0.600713366642497,-0.646062776959395,0.549924688545208,0.450536738899521,1.13916954139972,1.24062853667058,2.62879416692642,90.0689895842075,0.15039138426226,0.494067392826285,0.299619128161367,0.347814936980579,-1.13525256668622,-0.748160100907689,-1.15856701590275,-1.90434913295587,-0.694829817337525,-0.98525198165458,1.60759322950047,1.13313806451748,-1.1837221312223,-1.26029946467019
"mOFC_L",-0.677363413760111,-1.01675540061487,-0.644889538236427,-0.752235154370713,1.60157580971272,0.935095755586783,-0.0537343857979581,-0.108926303051089,-0.900826134358305,-0.790609549880533,0.828296252698747,0.67395336482974,0.195594910429934,0.246935046009106,71.5039946721497,3.75196128899433,-0.524654965630412,-0.87428461727857,-1.06536528666384,-0.861368523037998,-0.212416501809194,-0.889638486177367,-0.872775627966778,-1.16120918373294,-0.320426433188172,-0.271200621575492,0.829544442083622,0.156431517305384
