choice_sex,sweet_sex,bitter_sex,choice_wt,sweet_wt,bitter_wt,choice_learn,sweet_learn,bitter_learn
0.545099394,0.800417827,0.657148292,0.510691902,0.669106187,0.738229555,0.426703872,0.753671234,0.835872644
0.54143386,0.890852246,0.753671234,0.684830813,0.881189179,0.753671234,0.636967204,0.584840254,0.753671234
0.678750913,0.753671234,0.771483672,0.527794976,0.669106187,0.753671234,0.796815474,0.753671234,0.623731064
0.651636485,0.741144614,0.773525066,0.549868467,0.669106187,0.835872644,0.426703872,0.669106187,0.684830813
0.426703872,0.915600728,0.771483672,0.651636485,0.773525066,0.771483672,0.695566577,0.835872644,0.876608978
0.535483739,0.773525066,0.771483672,0.436558338,0.890852246,0.510691902,0.503675184,0.753671234,0.510691902
0.42767359,0.753671234,0.753671234,0.594235372,0.669106187,1,0.545612616,0.835872644,0.753671234
0.508762243,0.753671234,0.835872644,0.519434382,0.773525066,0.771483672,0.344547971,0.753671234,0.584840254
0.307898724,0.753671234,0.835872644,0.5568429,0.915600728,0.753671234,0.463841086,0.753671234,0.771483672
0.654432445,0.771483672,0.586202181,0.512817138,0.771483672,0.82786617,0.543134402,0.753671234,0.753671234
0.508762243,0.753671234,0.753671234,0.735830207,0.753671234,0.823718234,0.636967204,0.890852246,0.773525066
0.763962737,0.753671234,0.738229555,0.470753983,0.771483672,0.474732472,0.460769767,0.835872644,0.771483672
0.913312297,0.669106187,0.835872644,0.476817787,0.669106187,0.753671234,0.549868467,0.890852246,0.753671234
0.468960093,0.753671234,0.835872644,0.558502627,1,0.753671234,0.509750164,0.881189179,0.835872644
0.711882678,0.669106187,0.584840254,0.526628747,0.890852246,0.651326772,0.565646212,0.773525066,0.753671234
0.53367727,0.753671234,0.684830813,0.585085028,0.881189179,0.669106187,0.695566577,0.800417827,0.684830813
0.519434382,0.881189179,0.771483672,0.485713445,0.753671234,0.657148292,0.510691902,0.835872644,0.771483672
0.5568429,0.741144614,0.669106187,1,0.881189179,0.684830813,0.695566577,0.749886533,0.753671234
0.913312297,1,0.650795277,0.636967204,1,0.835872644,0.426703872,1,0.771483672
0.461995309,0.753671234,0.753671234,0.510691902,0.726881098,0.771483672,0.526628747,0.753671234,0.778233264
0.443951468,1,0.622511209,0.545612616,0.753671234,0.753671234,0.510691902,0.915600728,1
0.575122142,0.776319813,0.753671234,0.678750913,0.741144614,0.771483672,0.510691902,0.669106187,0.753671234
0.382297559,0.753671234,0.773525066,0.525575622,1,0.773525066,0.524222786,1,0.753671234
0.48418976,0.881189179,0.726881098,0.8278482,0.881189179,1,0.452654272,0.776319813,0.771483672
0.885903887,0.753671234,0.753671234,0.524222786,0.936828075,0.559930409,0.695566577,0.835872644,0.771483672
0.536050265,0.669106187,0.835872644,0.695566577,0.835872644,0.649173594,0.508762243,0.881189179,0.666361255
0.503675184,0.753671234,0.684830813,0.735830207,0.753671234,0.835872644,0.587034284,0.890852246,0.545099394
0.519434382,0.669106187,1,0.344547971,0.771483672,0.554573525,0.496511317,0.669106187,0.666361255
