ROI,module,number of triangles,weighted clustering coefficient,degree centrality,betweenness centrality
Amygdala_L,0.0,6,0.36754761044440265,0.2222222222222222,0.0
Amygdala_R,0.0,6,0.3732614244275161,0.2222222222222222,0.0
Dorsal_striatum_L,1.0,52,0.28086613567953006,0.5555555555555556,0.028616934989484012
Dorsal_striatum_R,1.0,49,0.30438298861716884,0.5185185185185185,0.026554639148907624
Fusiform_gyrus_L,2.0,2,0.13169264612469556,0.2222222222222222,0.03164584703046242
Fusiform_gyrus_R,2.0,1,0.52685488576991,0.14814814814814814,0.0
Hippocampus_L,0.0,11,0.1461794999508292,0.37037037037037035,0.10763735035982397
Hippocampus_R,0.0,7,0.2730739014213809,0.25925925925925924,0.011312002337643366
Insula_L,3.0,55,0.20782001628907082,0.6296296296296295,0.1472139809243882
Insula_R,3.0,30,0.2643000255599477,0.4444444444444444,0.03256179187551737
Intracalcarine_cortex_L,3.0,6,0.1732078142493797,0.2962962962962963,0.05503031826561238
Intracalcarine_cortex_R,3.0,7,0.14138851952893577,0.3333333333333333,0.1130070965289668
lOFC_L,2.0,3,0.3744661064860217,0.18518518518518517,0.0
lOFC_R,3.0,6,0.1448345258714258,0.2962962962962963,0.031207538899846593
mOFC_L,2.0,1,0.12734256800846075,0.18518518518518517,0.023551756885090223
mOFC_R,2.0,2,0.1417826669907671,0.2222222222222222,0.035254583972532685
Oral_somatosensory_cortex_R,1.0,40,0.37943068772399946,0.4444444444444444,0.0025587157940099117
Oral_somatosensory_cortex_L,1.0,54,0.21722105692356483,0.6296296296296295,0.1510159453975442
Precuneus_L,2.0,0,0,0.1111111111111111,0.0
Precuneus_R,2.0,15,0.258186652963703,0.3333333333333333,0.07407407407407408
Ventral_striatum_L,2.0,32,0.26385742783025584,0.4444444444444444,0.03840883712678584
Ventral_striatum_R,1.0,18,0.17814654028163296,0.4074074074074074,0.10636068584786534
vlPFC_L,3.0,28,0.41270034250458343,0.37037037037037035,0.0
vlPFC_R,3.0,28,0.393829574066639,0.37037037037037035,0.0
vlThalamus_L,3.0,12,0.30782523422492153,0.2962962962962963,0.005669820375702728
vlThalamus_R,3.0,13,0.23892649411996905,0.3333333333333333,0.03897898230477416
vmPFC_L,2.0,49,0.24789019356929543,0.5555555555555556,0.08942263535023717
vmPFC_R,2.0,49,0.30420497914404104,0.5185185185185185,0.026554639148907624
