ID,metric,condition,Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R,module0_mean,module1_mean,module2_mean,module3_mean,module4_mean,module5_mean,module6_mean,module7_mean,module8_mean
1,clustering,reward,0.888888889,0.938095238,0.877492877,0.877492877,0.906666667,0.894927536,0.889328063,0.877492877,0.920289855,0.913333333,0.886153846,0.89,0.920948617,0.93115942,0.889230769,0.89,0.902173913,0.892307692,0.942857143,0.913043478,0.906432749,0.886153846,0.895384615,0.889473684,0.913333333,0.913333333,0.895384615,0.929824561,0.898451267,0.88736684,0.895299145,0.890360461,0.915072464,0.926054018,0.927950311,0.896293297,0.902516869
2,clustering,reward,0.868945869,0.868945869,0.97826087,0.97826087,0.956666667,1,0.868945869,0.876923077,0.934782609,0.926666667,0.963768116,0.932806324,0.955555556,0.945454545,0.967391304,0.910769231,0.995238095,0.956666667,0.910769231,0.956666667,0.868945869,0.956666667,0.956666667,0.991341991,0.868945869,0.868945869,0.97826087,0.956666667,0.870940171,0.977106625,0.944942401,0.965524813,0.899835253,0.950505051,0.933717949,0.912806268,0.970734049
3,clustering,reward,0.935672515,0.880952381,0.851449275,0.827692308,0.833333333,0.831168831,0.935672515,0.926315789,0.866666667,0.826086957,0.871345029,0.857142857,0.800569801,0.847619048,0.841897233,0.82,0.800569801,0.868421053,0.935897436,0.778656126,0.873517787,0.865800866,0.844202899,0.85,0.835497835,0.868421053,0.83,0.849802372,0.9196533,0.837033109,0.831743522,0.853218906,0.849168128,0.824094424,0.857276781,0.869659326,0.843501318
4,clustering,reward,0.800724638,0.852380952,0.852380952,0.815789474,0.742753623,0.8,0.816993464,0.732026144,0.826086957,0.857894737,0.821428571,0.779220779,0.778985507,0.752631579,0.786231884,0.786666667,0.826839827,0.801470588,0.801470588,0.822222222,0.891666667,0.795238095,0.844155844,0.858333333,0.806324111,0.763333333,0.818181818,0.842105263,0.800531299,0.82412021,0.771884058,0.80021645,0.813409784,0.765808543,0.811846405,0.843452381,0.840694065
5,clustering,reward,0.940711462,0.908831909,0.966666667,0.935384615,0.938461538,0.913846154,0.908831909,0.908831909,0.908831909,0.926666667,0.934782609,0.908831909,0.966666667,0.935384615,0.953333333,0.953333333,0.938461538,0.935384615,1,0.952380952,0.94,0.952380952,0.938461538,0.938461538,0.953333333,0.908831909,0.966666667,0.976284585,0.916801797,0.943974359,0.948376068,0.919153557,0.924415954,0.951025641,0.976190476,0.946190476,0.954968582
6,clustering,reward,0.766233766,0.807017544,0.857142857,0.830039526,0.816993464,0.733333333,0.830039526,0.868421053,0.780952381,0.729230769,0.705128205,0.818181818,0.750988142,0.796536797,0.766666667,0.555555556,0.830039526,0.830039526,0.705263158,0.622222222,0.782608696,0.871428571,0.878947368,0.819047619,0.803921569,0.815789474,0.847953216,0.836842105,0.817927972,0.836815359,0.713071895,0.752214452,0.782473548,0.773762469,0.66374269,0.827018634,0.845697577
7,clustering,reward,0.929230769,0.944664032,0.929230769,0.926666667,0.917378917,0.917378917,0.942028986,0.926153846,0.917378917,0.939393939,0.927536232,0.917378917,0.938405797,0.945652174,0.926153846,0.917378917,0.917378917,0.917378917,0.923333333,0.923076923,0.961904762,0.95256917,0.942028986,0.966666667,0.923913043,0.928853755,0.917378917,0.926666667,0.935519408,0.922663818,0.920303894,0.920764689,0.927384914,0.942028986,0.923205128,0.957236966,0.938185309
9,clustering,reward,0.985294118,0.926153846,0.950769231,0.923076923,0.926153846,0.976666667,0.947692308,0.96,0.950769231,0.923076923,0.923076923,0.96,0.953333333,0.95256917,0.923076923,0.976666667,0.950769231,0.923076923,0.949275362,0.983333333,0.949275362,0.929230769,0.947692308,0.947692308,0.947692308,0.947692308,0.923076923,0.956666667,0.954785068,0.936923077,0.941965812,0.953247863,0.942307692,0.952951252,0.966304348,0.939253066,0.943782051
10,clustering,reward,0.904761905,0.92,0.92,0.901538462,0.92,0.91503268,0.883190883,0.90942029,0.984189723,0.916666667,0.92,0.94,0.960144928,0.901538462,0.949275362,0.973856209,0.964426877,0.883190883,0.909090909,0.92,0.92,0.92,0.88,0.964426877,0.934782609,0.916666667,0.883190883,0.92,0.904343269,0.917289056,0.947710524,0.925010893,0.938076416,0.930841695,0.914545455,0.92,0.91190444
11,clustering,reward,1,0.945454545,1,1,0.62745098,1,0.846153846,0.683333333,1,1,0.81871345,0.869281046,0.963636364,0.933823529,0.869281046,0.869281046,1,1,0.963636364,0.919117647,0.763157895,0.675,0.593333333,0.924242424,0.924242424,0.615942029,0.924242424,1,0.868735431,1,0.788671024,0.895998165,0.885046113,0.948729947,0.941377005,0.719078947,0.860454545
12,clustering,reward,0.973333333,0.985507246,0.968660969,0.968660969,0.968660969,0.972307692,0.968660969,0.968660969,0.968660969,0.968660969,0.975384615,0.972307692,0.972307692,0.968660969,0.975384615,0.968660969,0.968660969,0.968660969,0.987012987,0.968660969,0.968660969,0.981538462,0.986666667,0.981538462,0.968660969,0.968660969,0.97,0.981538462,0.974040629,0.968660969,0.970902184,0.973333333,0.968660969,0.97048433,0.977836978,0.975099715,0.979935897
13,clustering,reward,0.916666667,0.8,0.887681159,0.803076923,0.887681159,0.826839827,0.887681159,0.857142857,0.887681159,0.843333333,0.821052632,0.776666667,0.89010989,0.77173913,0.787692308,0.848484848,0.920948617,0.90513834,0.818181818,0.963157895,0.970760234,0.9,0.926315789,0.920948617,0.887681159,0.926406926,0.920948617,0.833333333,0.865372671,0.87921126,0.841286105,0.808186375,0.886275645,0.83092451,0.890669856,0.935380117,0.900386589
14,clustering,reward,0.923976608,0.963235294,0.89047619,0.806324111,0.787692308,0.806324111,0.802371542,0.798418972,0.847826087,0.826086957,0.854545455,0.911111111,0.757142857,0.790513834,0.780952381,0.866666667,0.826666667,0.826666667,0.830039526,0.794117647,0.85770751,0.927272727,0.894736842,0.835497835,0.847826087,0.887445887,0.868421053,0.833333333,0.872000604,0.837533409,0.811770452,0.857326892,0.852296254,0.773828346,0.812078586,0.892490119,0.857997266
15,clustering,reward,0.942105263,0.892307692,0.877492877,0.886666667,0.877492877,0.893280632,0.90942029,0.892307692,0.877492877,0.942105263,0.896666667,0.904761905,0.891774892,0.932806324,0.902173913,0.923913043,0.929824561,0.905797101,0.931578947,0.893333333,0.89,0.910526316,0.889230769,0.896666667,0.896666667,0.883076923,0.877492877,0.920948617,0.909035234,0.899945302,0.901193278,0.898236401,0.899835433,0.912290608,0.91245614,0.900263158,0.896084732
16,clustering,reward,0.948529412,0.92022792,0.97,0.92022792,0.97,0.941538462,0.95,0.92022792,0.92022792,0.946666667,0.92022792,0.92022792,0.944615385,0.956521739,0.952898551,0.974637681,0.944615385,0.92022792,0.926153846,0.934640523,0.948616601,0.95,0.952898551,0.941538462,0.95,0.944615385,0.923913043,0.92022792,0.934746313,0.938767806,0.965845411,0.927331434,0.940377493,0.950568562,0.930397185,0.9493083,0.934644494
17,clustering,reward,0.943019943,0.945652174,0.943019943,0.943019943,0.956521739,0.952898551,0.943019943,0.963768116,0.950769231,0.943019943,0.964426877,0.956521739,0.943019943,0.943019943,0.946666667,0.947692308,0.943019943,0.950769231,0.946666667,0.95,0.947692308,0.943019943,0.943019943,0.947692308,0.952898551,0.95,0.956666667,0.956666667,0.948865044,0.944957265,0.950293571,0.957949056,0.949171931,0.943019943,0.948333333,0.945356125,0.951011396
18,clustering,reward,0.981884058,0.982683983,0.966153846,0.917378917,0.917378917,0.966153846,0.966153846,0.93,0.973333333,0.932806324,0.966153846,0.966153846,0.966153846,0.966153846,0.976666667,0.926153846,0.966153846,0.926666667,0.972222222,0.917378917,0.976284585,0.917378917,0.976666667,0.966153846,0.966153846,0.966153846,0.966153846,0.926153846,0.965180472,0.944088319,0.940066477,0.966153846,0.959611837,0.966153846,0.94480057,0.946831751,0.958782051
19,clustering,reward,0.842105263,0.876190476,0.758893281,0.941176471,0.784313725,0.679487179,0.842105263,0.842105263,0.877192982,0.794736842,0.754940711,0.742753623,0.764705882,0.695652174,0.742857143,0.721052632,0.808333333,0.699604743,0.941176471,0.816176471,0.716666667,0.847953216,0.764705882,0.854545455,0.731225296,0.79047619,0.730769231,0.8,0.850626566,0.802001957,0.749407833,0.725727171,0.798407828,0.730179028,0.878676471,0.782309942,0.787505142
20,clustering,reward,0.842105263,0.983333333,0.780952381,0.955882353,0.754385965,0.747252747,0.826315789,0.847368421,0.871345029,0.68115942,0.735507246,0.76284585,0.741666667,0.676190476,0.742647059,0.712418301,0.742647059,0.714285714,0.983333333,0.778947368,0.753246753,0.895424837,0.769230769,0.866666667,0.693333333,0.897058824,0.730769231,0.916666667,0.874780702,0.798441877,0.736483775,0.748535281,0.785724152,0.708928571,0.881140351,0.824335795,0.820833333
21,clustering,reward,0.857894737,0.796536797,0.776190476,0.782608696,0.742857143,0.909090909,0.816993464,0.862745098,0.813852814,0.778985507,0.826315789,0.782608696,0.764705882,0.745098039,0.85,0.768115942,0.852631579,0.852631579,0.786561265,0.730769231,0.794466403,0.796536797,0.846153846,0.830882353,0.775362319,0.802371542,0.754940711,0.847619048,0.833542524,0.816015582,0.786991028,0.839338465,0.792643045,0.754901961,0.758665248,0.7955016,0.81989899
22,clustering,reward,1,0.941666667,0.823333333,0.843333333,0.833992095,0.876190476,0.784615385,0.84057971,0.84057971,0.846666667,0.923076923,0.868421053,0.857142857,0.948717949,0.855072464,0.916666667,0.869565217,0.917748918,0.918128655,0.90513834,0.90513834,0.855072464,0.869565217,0.885375494,0.84,0.818461538,0.887445887,0.887445887,0.89171544,0.8634952,0.868577075,0.889229484,0.836426979,0.902930403,0.911633497,0.880105402,0.882458122
24,clustering,reward,0.930735931,0.920948617,0.863247863,0.863247863,0.883333333,0.923976608,0.905797101,0.924901186,0.904761905,0.863247863,0.861538462,0.873846154,0.928104575,0.894736842,0.926315789,0.88,0.863247863,0.864615385,0.905797101,0.865612648,0.898550725,0.913419913,0.873517787,0.921568627,0.863247863,0.898550725,0.891304348,0.928853755,0.920595709,0.863589744,0.896549708,0.886453741,0.882452089,0.911420709,0.885704875,0.905985319,0.903811129
25,clustering,reward,0.901185771,0.923333333,0.871794872,0.871794872,0.924901186,0.920289855,0.927536232,0.980952381,0.871794872,0.960474308,0.884057971,0.891304348,0.871794872,0.965367965,0.96969697,0.923913043,0.871794872,0.871794872,0.910526316,0.918128655,0.871794872,0.923333333,1,0.914285714,0.92,0.904615385,0.873846154,0.944664032,0.933251929,0.871794872,0.939503733,0.898550725,0.914221141,0.918581419,0.914327485,0.897564103,0.933198975
26,clustering,reward,0.821428571,0.866666667,0.886666667,0.883333333,0.833992095,0.823333333,0.820512821,0.849802372,0.893280632,0.886666667,0.889705882,0.924901186,0.862318841,0.960784314,0.886666667,0.833992095,0.894927536,0.90942029,0.808823529,0.883333333,0.887681159,0.89,0.88,0.966666667,0.916666667,0.916666667,0.909090909,0.902173913,0.839602608,0.893586957,0.851550285,0.879313467,0.903320158,0.911551577,0.846078431,0.88884058,0.914482872
27,clustering,reward,0.941538462,0.964912281,0.94017094,0.96,0.94017094,0.953333333,0.94017094,0.947619048,0.94017094,0.96,0.94017094,0.953846154,0.941538462,0.94017094,0.936666667,0.953846154,0.950769231,0.953846154,0.966666667,0.976666667,0.989130435,0.94017094,0.94017094,0.94017094,0.974025974,0.963333333,0.96,0.96,0.948560183,0.951196581,0.943561254,0.949116809,0.959382562,0.940854701,0.971666667,0.964650687,0.95008547
28,clustering,reward,0.869565217,0.871428571,0.842857143,0.822463768,0.912280702,0.869565217,0.837944664,0.905263158,0.843076923,0.869565217,0.80952381,0.823333333,0.815384615,0.824615385,0.846666667,0.880434783,0.833992095,0.847826087,0.861904762,0.911764706,0.853754941,0.860294118,0.829710145,0.878787879,0.843076923,0.865800866,0.868421053,0.945454545,0.871050403,0.836784773,0.87979405,0.834140787,0.855379982,0.82,0.886834734,0.857024529,0.880593405
29,clustering,reward,0.857894737,0.851449275,0.796923077,0.8,0.865612648,0.933823529,0.876190476,0.953216374,0.8,0.941520468,0.838095238,0.847619048,0.792022792,0.9,0.894736842,0.847826087,0.792022792,0.844155844,0.923809524,0.888888889,0.8,0.818461538,0.974358974,0.865497076,0.858695652,0.858695652,0.83982684,0.931578947,0.884687716,0.808275428,0.869391859,0.873179272,0.864727943,0.846011396,0.906349206,0.809230769,0.902815459
30,clustering,reward,0.877470356,0.855384615,0.89,0.855384615,0.989473684,0.889328063,0.83982684,0.83625731,0.88,0.88,0.948616601,0.89,0.948051948,0.961038961,0.87,0.89,0.965367965,0.898550725,0.858974359,0.818181818,0.9004329,0.844202899,0.841897233,0.857142857,0.898550725,0.948616601,0.823361823,0.823361823,0.85223478,0.902325826,0.916491228,0.909314888,0.901791831,0.954545455,0.838578089,0.872317899,0.836440934
31,clustering,reward,0.93115942,0.896666667,0.901185771,0.952380952,0.942028986,0.93115942,0.93115942,0.909090909,0.886153846,0.851851852,0.851851852,0.886153846,0.916666667,0.966666667,0.913333333,0.942028986,0.913333333,0.913333333,0.772727273,0.855384615,0.886153846,0.886153846,0.891666667,0.915789474,0.873846154,0.865800866,0.913333333,0.901185771,0.917019104,0.920058347,0.932463768,0.889721706,0.869413179,0.941666667,0.814055944,0.886153846,0.905493811
32,clustering,reward,0.906432749,0.855384615,0.854700855,0.900584795,0.854700855,0.896103896,0.876666667,0.867692308,0.90513834,0.893280632,0.88,0.88,0.867692308,0.876666667,0.86,0.928104575,0.855384615,0.889328063,0.942105263,0.866666667,0.917748918,0.865612648,0.901185771,0.89047619,0.889473684,0.867692308,0.88,0.941520468,0.876544085,0.874999582,0.880935143,0.885367965,0.888896241,0.872179487,0.904385965,0.891680783,0.903295607
33,clustering,reward,0.9,0.917748918,0.906666667,0.936758893,0.84,1,0.894927536,0.843333333,0.948616601,0.986928105,0.831908832,0.846153846,0.906666667,0.85,0.927536232,0.913043478,0.88,0.952631579,0.877192982,0.88,0.948616601,0.873188406,0.939393939,0.921568627,0.896666667,0.906666667,0.89,0.896666667,0.889002447,0.919014285,0.89352657,0.892687559,0.93471951,0.878333333,0.878596491,0.910902503,0.911907308
34,clustering,reward,0.950769231,0.945868946,0.966153846,0.966153846,0.966153846,0.963333333,0.945868946,0.945868946,0.945868946,0.96,0.945868946,0.966153846,0.983333333,0.980237154,0.945868946,0.96,0.945868946,0.983333333,0.961904762,0.945868946,0.971014493,0.964912281,0.966153846,0.956666667,0.945868946,0.945868946,0.953846154,0.945868946,0.947094017,0.965377493,0.957340931,0.958452042,0.949401709,0.981785244,0.953886854,0.967963387,0.955633903
35,clustering,reward,0.918128655,0.884057971,0.865942029,0.831908832,0.831908832,0.85,0.943722944,0.922077922,0.870769231,0.883333333,0.896666667,0.870769231,0.836956522,0.955555556,0.852813853,0.883040936,0.843076923,0.924901186,0.923809524,0.902173913,0.930735931,0.930735931,0.837944664,0.910526316,0.836666667,0.928571429,0.866666667,0.876666667,0.916996873,0.866457242,0.855921207,0.872478632,0.879835165,0.896256039,0.912991718,0.930735931,0.872951078
36,clustering,reward,0.916996047,0.863333333,0.842105263,0.84,0.902173913,0.961538462,0.87,0.843333333,0.849230769,0.871345029,0.876811594,0.897233202,0.849230769,0.916996047,0.887681159,0.947619048,0.87,0.87,0.830769231,0.900584795,0.947712418,0.945454545,0.887681159,0.820512821,0.886666667,0.827692308,0.929824561,0.926315789,0.873415679,0.855526316,0.912491373,0.911861086,0.858733693,0.883113408,0.865677013,0.946583482,0.891083583
