ID,metric,condition,module1,module2,module3,module4,Amygdala_L,Amygdala_R,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_L,Fusiform_gyrus_R,Hippocampus_L,Hippocampus_R,Insula_L,Insula_R,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_L,lOFC_R,mOFC_L,mOFC_R,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_L,Ventral_striatum_R,vlPFC_L,vlPFC_R,vlThalamus_L,vlThalamus_R,vmPFC_L,vmPFC_R
1,clustering,reward,0.597222222,0.601462463,0.730308233,0.605844156,1,0,0.641666667,0.803030303,0.666666667,0.516483516,0.722222222,0.666666667,0.67032967,0.757575758,1,0.714285714,0,0.709090909,0.747252747,1,0.452380952,0.50877193,0.833333333,0.666666667,1,0.541666667,0.619047619,0.7,0.818181818,0.933333333,0.606060606,0.608333333
2,clustering,reward,0.425457875,0.641853715,0.583123178,0.716666667,0,0.692307692,0.596491228,0.68627451,0.644444444,0,0.676190476,0.333333333,0.720588235,0.863636364,0.6,0.733333333,0.8,0.733333333,0,0.333333333,0.626315789,0.658333333,0,0.78021978,0.857142857,0.725,0.777777778,0.755555556,0.916666667,0.730769231,0.577777778,0.647058824
3,clustering,reward,0.540476191,0.80170502,0.88226616,0.785964912,0.333333333,0,0.770562771,0.678362573,0.714285714,0.905263158,0.828571429,1,0.905263158,0.74025974,0.905263158,0.905263158,0.333333333,1,0.921568627,0.993464052,0.878947368,0.878947368,0.918128655,0.9,0.993464052,0.9,0.970760234,0.883040936,1,0.5,0.9,0.970760234
4,clustering,reward,0.441025641,0.652625153,0.637607988,0.52979798,0.7,0,0.561904762,0.866666667,0.785714286,1,0.666666667,0.397435897,0.641025641,0.590909091,0.545454545,0.622222222,0.618181818,0.333333333,0.6,0.563636364,0.626373626,0.555555556,0.621212121,0,0.619047619,0.549450549,0.805555556,0.636363636,1,0.571428571,0.505263158,0.712121212
5,clustering,reward,0.405753968,0.754732021,0.794799074,0.84589169,0.678571429,0,0.705627706,0.711462451,0.70952381,0.833333333,0.944444444,0,0.773684211,0.805263158,1,0.803921569,0.847619048,0.732026144,0.854545455,0.838095238,0.771428571,0.830409357,0.895238095,0.704761905,0.821052632,0.641666667,0.895238095,0.812865497,0.671936759,0.810457516,0.830409357,0.81871345
6,clustering,reward,0.710154062,0.630827068,0.651574896,0.581944445,0.588235294,0.833333333,0.504761905,0.723809524,0.725274725,0.555555556,0.619047619,0.8,0.909090909,0.620915033,0.5,0.472222222,0.6,0.755555556,0.712121212,0.4,0.733333333,0.561403509,0.625,0.733333333,0.571428571,0.666666667,0.733333333,0.733333333,0.549019608,0.654411765,0.619047619,0.616666667
7,clustering,reward,0.703661616,0.666126856,0.607882467,0.661858077,0.8,0.638888889,0.615789474,0.758241758,0.6,0.6,0.666666667,0.709090909,0.821428571,0.713235294,0.633333333,0.617647059,0.653594771,0.742857143,0.666666667,0.833333333,0.714285714,0.576190476,0.8,0.787878788,0,0,0.666666667,0.676470588,0.637362637,0.58974359,0.6,0.733333333
9,clustering,reward,0.665734266,0.712878788,0.570558914,0.642149517,0.727272727,0.690909091,1,0.560606061,0.428571429,1,0.653846154,0.590909091,0.637362637,0.666666667,0.619047619,0.653846154,0.636363636,0.659340659,0.527472527,0.4,0.654545455,0.636363636,0.527272727,0.866666667,0.333333333,0,0.777777778,0.619047619,0.602941176,0.575163399,0.666666667,0.5
10,clustering,reward,0.536363636,0.559576535,0.625734856,0.687400794,0.333333333,0.6,0.461538462,0.454545455,0.763636364,0.805555556,0.666666667,0.545454545,0.787878788,0.666666667,0.65,0.685714286,0.805555556,0.608333333,0.712121212,0.714285714,0.6,0.722222222,0,0.333333333,1,0.441666667,0.560606061,0.5,0.769230769,0.794871795,0.628571429,0.533333333
11,clustering,reward,0.613419914,0.4375,0.360799964,0.435714286,0.472727273,0.571428571,0.4,0.333333333,0,0.7,0.6,0.80952381,0,0,0.476190476,1,0,0.266666667,0.9,0.733333333,0.35,0.666666667,0,0,0.607142857,0.5,0.454545455,0.8,0,0.5,0.577777778,0
12,clustering,reward,0.449404762,0.526098901,0.583658009,0.442857143,0.5,0.333333333,0.362637363,0.5,0.638888889,1,0.428571429,0.535714286,0.615384615,0.888888889,0.19047619,0.666666667,0.380952381,0.533333333,0.2,0.666666667,0.626373626,0.615384615,0.4,0.555555556,0.6,0.5,0.428571429,0.58974359,0.392857143,0.604395604,0.681818182,0.575757576
13,clustering,reward,0.530223797,0.637878788,0.659433786,0.448572384,0.520467836,0.628205128,0.628571429,0.651515152,0.581818182,0.590909091,0.472222222,0.5,0.705128205,0.653846154,0.638095238,0.595588235,0,0.560606061,0.638888889,0.711111111,0.7,0.571428571,0.7,0.757575758,0.666666667,0.615384615,0.557894737,0.866666667,0.549707602,0.727272727,0.666666667,0.561403509
14,clustering,reward,0.583333333,0.518055556,0.428075397,0.5,0.833333333,0.3,0.305555556,0.6,0.444444444,0.428571429,0.5,0.7,0.25,0.4,1,0.333333333,0.333333333,0.333333333,0.733333333,0.571428571,0.5,0.666666667,0,0,0.4,0.5,0.3,1,0.5,0.464285714,0.357142857,0.5
15,clustering,reward,0.517399267,0.605357143,0.652805467,0.528846154,0.4,0.523809524,0.504761905,0.694444444,0.571428571,1,0.552380952,0.593406593,0.666666667,1,0.545454545,0.454545455,0.472527473,0.642857143,0.637362637,0.777777778,0.666666667,0.555555556,0.666666667,0.495238095,0.503267974,0.866666667,0.785714286,0,0.552380952,0.636363636,0.694444444,0.590909091
16,clustering,reward,0.711011905,0.671726191,0.732186307,0.771694972,0.653846154,0.785714286,0.571428571,0.60952381,0.591666667,0.616666667,0.725,0.679487179,0.669117647,0.619883041,0.654545455,0.717948718,1,0.714285714,0.80952381,0.666666667,0.780952381,0.725,1,0.742424242,0.683823529,0.9,0.733333333,0.807692308,0.75,0.708333333,0.683823529,0.732026144
17,clustering,reward,0.497023809,0.629434046,0.533245574,0.586499612,0.333333333,1,0.785714286,0.636363636,0.444444444,0.6,0.321428571,0.333333333,0.583333333,0.8,0.654545455,0.666666667,0.422222222,0.602564103,0.6,0.6,0.514705882,0.580952381,0,0.41025641,0,0.549450549,0.636363636,0.833333333,0.666666667,0.533333333,0.711111111,0.563636364
