,Amygdala_LÊ,Amygdala_RÊ,Dorsal_striatum_L,Dorsal_striatum_R,Fusiform_gyrus_LÊ,Fusiform_gyrus_RÊ,Hippocampus_L,Hippocampus_R,Insula_LÊ,Insula_RÊ,Intracalcarine_cortex_L,Intracalcarine_cortex_R,lOFC_LÊ,lOFC_RÊ,mOFC_LÊ,mOFC_RÊ,Oral_somatosensory_cortex_R,Oral_somatosensory_cortex_L,Precuneus_L,Precuneus_R,Ventral_striatum_LÊ,Ventral_striatum_RÊ,vlPFC_L,vlPFC_R,vlThalamus_LÊ,vlThalamus_RÊ,vmPFC_L,vmPFC_R
Amygdala_LÊ,,0.0766190,0.3617569,0.6714580,0.0670187,0.8291863,0.4228221,0.0749715,0.9809504,0.6365482,0.9646838,0.9073110,0.6374178,0.5330511,0.9132825,0.8513085,0.3617569,0.5369916,0.7095444,0.0279878,0.9866325,0.8941704,0.3330069,0.6149932,0.4161323,0.5974024,0.9646838,0.9542753
Amygdala_RÊ,0.0766190,,0.9646838,0.8009541,0.9680726,0.9531844,0.9646838,0.3813381,0.3369691,0.9073110,0.9519835,0.6051244,0.6098773,0.8009541,0.5380346,0.8009541,0.5666031,0.6714580,0.7616263,0.4250495,0.9646838,0.9809504,0.2606897,0.5456183,0.9906497,0.0741840,0.6714580,0.6714580
Dorsal_striatum_L,0.3617569,0.9646838,,0.0457129,0.9044417,0.8291863,0.7762280,0.7592722,0.2241169,0.3487642,0.4121323,0.3330069,0.8009541,0.9646838,0.8513085,0.7826853,0.0002166,0.0000627,0.8134627,0.7826853,0.8009541,0.9866325,0.0208579,0.4778270,0.5456183,0.4228221,0.6101820,0.2145085
Dorsal_striatum_R,0.6714580,0.8009541,0.0457129,,0.7022918,0.9866325,0.5666031,0.6714580,0.0544247,0.0950514,0.7472061,0.9202697,0.7471609,0.3518013,0.8513085,0.4228221,0.2571296,0.0065483,0.9932756,0.2720536,0.0950514,0.8479185,0.3550672,0.9680726,0.4815160,0.9646838,0.1109040,0.0036196
Fusiform_gyrus_LÊ,0.0670187,0.9680726,0.9044417,0.7022918,,0.9906497,0.4035533,0.1811176,0.8009541,0.7897930,0.9542753,0.8513085,0.9009666,0.9073110,0.6051244,0.5380346,0.9646838,0.9646838,0.9531844,0.4228221,0.6365482,0.9646838,0.9428793,0.6714580,0.9542753,0.6096646,0.8751386,0.0950514
Fusiform_gyrus_RÊ,0.8291863,0.9531844,0.8291863,0.9866325,0.9906497,,0.8009541,0.9202697,0.9646838,0.9428793,0.0002166,0.4729067,0.8510700,0.6714580,0.1924682,0.2872450,0.6098773,0.4259931,0.5380346,0.4778270,0.9646838,0.7095444,0.6163389,0.5356991,0.7802421,0.2195291,0.8510700,0.8751386
Hippocampus_L,0.4228221,0.9646838,0.7762280,0.5666031,0.4035533,0.8009541,,0.0004206,0.6926006,0.6714580,0.7195358,0.4704589,0.8291863,0.3617569,0.6694542,0.6365482,0.4778270,0.7760992,0.9202697,0.2520436,0.4839174,0.7095444,0.9203838,0.9630098,0.7095444,0.6807252,0.1001699,0.4328579
Hippocampus_R,0.0749715,0.3813381,0.7592722,0.6714580,0.1811176,0.9202697,0.0004206,,0.8941704,0.9866325,0.9202697,0.7195358,0.6714580,0.3617569,0.3813381,0.4228221,0.6714580,0.9932756,0.6714580,0.0950514,0.4195076,0.6149932,0.4161323,0.4228221,0.8751386,0.6714580,0.4041366,0.4404853
Insula_LÊ,0.9809504,0.3369691,0.2241169,0.0544247,0.8009541,0.9646838,0.6926006,0.8941704,,0.1861496,0.5565231,0.9139422,0.4228221,0.7049281,0.9906497,0.9680726,0.3617569,0.1106345,0.9646838,0.4729067,0.3041005,0.8291863,0.3330069,0.8513085,0.9531844,0.2701757,0.5892382,0.4228221
Insula_RÊ,0.6365482,0.9073110,0.3487642,0.0950514,0.7897930,0.9428793,0.6714580,0.9866325,0.1861496,,0.9646838,0.9073110,0.6098773,0.2701757,0.9839174,0.7607652,0.7826853,0.6366523,0.9646838,0.9646838,0.4839174,0.8009541,0.3550672,0.8009541,0.2812184,0.5456183,0.2005588,0.2701757
Intracalcarine_cortex_L,0.9646838,0.9519835,0.4121323,0.7472061,0.9542753,0.0002166,0.7195358,0.9202697,0.5565231,0.9646838,,0.0856535,0.6895200,0.9646838,0.5380346,0.8009541,0.3813381,0.0950514,0.9149677,0.6101820,0.9531844,0.8513085,0.9956721,0.8291863,0.8009541,0.2315184,0.7589698,0.9646838
Intracalcarine_cortex_R,0.9073110,0.6051244,0.3330069,0.9202697,0.8513085,0.4729067,0.4704589,0.7195358,0.9139422,0.9073110,0.0856535,,0.4023705,0.3234248,0.8291863,0.5330511,0.1783720,0.1002910,0.9125800,0.7226633,0.4228221,0.9546383,0.6101820,0.9646838,0.6365482,0.1811176,0.8745432,0.9531844
lOFC_LÊ,0.6374178,0.6098773,0.8009541,0.7471609,0.9009666,0.8510700,0.8291863,0.6714580,0.4228221,0.6098773,0.6895200,0.4023705,,0.9227046,0.6921363,0.3845428,0.5808148,0.2401442,0.5211357,0.4739632,0.9818271,0.7049281,0.9866325,0.9646838,0.6714580,0.9646838,0.6149932,0.6051244
lOFC_RÊ,0.5330511,0.8009541,0.9646838,0.3518013,0.9073110,0.6714580,0.3617569,0.3617569,0.7049281,0.2701757,0.9646838,0.3234248,0.9227046,,0.8009541,0.9809504,0.8134627,0.9809504,0.5808148,0.5565231,0.1332846,0.9646838,0.9646838,0.9809504,0.8923036,0.5211357,0.0950514,0.6163389
mOFC_LÊ,0.9132825,0.5380346,0.8513085,0.8513085,0.6051244,0.1924682,0.6694542,0.3813381,0.9906497,0.9839174,0.5380346,0.8291863,0.6921363,0.8009541,,0.0022274,0.7592722,0.8301225,0.8220336,0.8291863,0.0950514,0.6714580,0.7592722,0.5892382,0.6714580,0.3813381,0.6098773,0.4259931
mOFC_RÊ,0.8513085,0.8009541,0.7826853,0.4228221,0.5380346,0.2872450,0.6365482,0.4228221,0.9680726,0.7607652,0.8009541,0.5330511,0.3845428,0.9809504,0.0022274,,0.6714580,0.4228221,0.7049281,0.9646838,0.3654453,0.8479185,0.9906497,0.4228221,0.9809504,0.6365482,0.6051244,0.3617569
Oral_somatosensory_cortex_R,0.3617569,0.5666031,0.0002166,0.2571296,0.9646838,0.6098773,0.4778270,0.6714580,0.3617569,0.7826853,0.3813381,0.1783720,0.5808148,0.8134627,0.7592722,0.6714580,,0.0000026,0.7095444,0.4259931,0.6051244,0.9349394,0.0026858,0.1386202,0.8009541,0.0950514,0.9531844,0.0950514
Oral_somatosensory_cortex_L,0.5369916,0.6714580,0.0000627,0.0065483,0.9646838,0.4259931,0.7760992,0.9932756,0.1106345,0.6366523,0.0950514,0.1002910,0.2401442,0.9809504,0.8301225,0.4228221,0.0000026,,0.4778270,0.8479185,0.4872841,0.4467308,0.1053237,0.8751386,0.9171563,0.2145085,0.3997419,0.0269506
Precuneus_L,0.7095444,0.7616263,0.8134627,0.9932756,0.9531844,0.5380346,0.9202697,0.6714580,0.9646838,0.9646838,0.9149677,0.9125800,0.5211357,0.5808148,0.8220336,0.7049281,0.7095444,0.4778270,,0.2616060,0.7596608,0.7095444,0.6531985,0.6517151,0.6149932,0.9646838,0.9932756,0.5356991
Precuneus_R,0.0279878,0.4250495,0.7826853,0.2720536,0.4228221,0.4778270,0.2520436,0.0950514,0.4729067,0.9646838,0.6101820,0.7226633,0.4739632,0.5565231,0.8291863,0.9646838,0.4259931,0.8479185,0.2616060,,0.6676029,0.8350430,0.7195358,0.6374178,0.7589698,0.5898600,0.7298341,0.9202697
Ventral_striatum_LÊ,0.9866325,0.9646838,0.8009541,0.0950514,0.6365482,0.9646838,0.4839174,0.4195076,0.3041005,0.4839174,0.9531844,0.4228221,0.9818271,0.1332846,0.0950514,0.3654453,0.6051244,0.4872841,0.7596608,0.6676029,,0.4228221,0.7195358,0.9061811,0.5356991,0.9580575,0.0546293,0.1332846
Ventral_striatum_RÊ,0.8941704,0.9809504,0.9866325,0.8479185,0.9646838,0.7095444,0.7095444,0.6149932,0.8291863,0.8009541,0.8513085,0.9546383,0.7049281,0.9646838,0.6714580,0.8479185,0.9349394,0.4467308,0.7095444,0.8350430,0.4228221,,0.8751386,0.6714580,0.6163389,0.8513085,0.1097380,0.6426231
vlPFC_L,0.3330069,0.2606897,0.0208579,0.3550672,0.9428793,0.6163389,0.9203838,0.4161323,0.3330069,0.3550672,0.9956721,0.6101820,0.9866325,0.9646838,0.7592722,0.9906497,0.0026858,0.1053237,0.6531985,0.7195358,0.7195358,0.8751386,,0.0399356,0.6714580,0.1332846,0.8751386,0.3330069
vlPFC_R,0.6149932,0.5456183,0.4778270,0.9680726,0.6714580,0.5356991,0.9630098,0.4228221,0.8513085,0.8009541,0.8291863,0.9646838,0.9646838,0.9809504,0.5892382,0.4228221,0.1386202,0.8751386,0.6517151,0.6374178,0.9061811,0.6714580,0.0399356,,0.9646838,0.9171563,0.8641590,0.8341733
vlThalamus_LÊ,0.4161323,0.9906497,0.5456183,0.4815160,0.9542753,0.7802421,0.7095444,0.8751386,0.9531844,0.2812184,0.8009541,0.6365482,0.6714580,0.8923036,0.6714580,0.9809504,0.8009541,0.9171563,0.6149932,0.7589698,0.5356991,0.6163389,0.6714580,0.9646838,,0.4729067,0.4654116,0.3617569
vlThalamus_RÊ,0.5974024,0.0741840,0.4228221,0.9646838,0.6096646,0.2195291,0.6807252,0.6714580,0.2701757,0.5456183,0.2315184,0.1811176,0.9646838,0.5211357,0.3813381,0.6365482,0.0950514,0.2145085,0.9646838,0.5898600,0.9580575,0.8513085,0.1332846,0.9171563,0.4729067,,0.8751386,0.5380346
vmPFC_L,0.9646838,0.6714580,0.6101820,0.1109040,0.8751386,0.8510700,0.1001699,0.4041366,0.5892382,0.2005588,0.7589698,0.8745432,0.6149932,0.0950514,0.6098773,0.6051244,0.9531844,0.3997419,0.9932756,0.7298341,0.0546293,0.1097380,0.8751386,0.8641590,0.4654116,0.8751386,,0.3487642
vmPFC_R,0.9542753,0.6714580,0.2145085,0.0036196,0.0950514,0.8751386,0.4328579,0.4404853,0.4228221,0.2701757,0.9646838,0.9531844,0.6051244,0.6163389,0.4259931,0.3617569,0.0950514,0.0269506,0.5356991,0.9202697,0.1332846,0.6426231,0.3330069,0.8341733,0.3617569,0.5380346,0.3487642,
